,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_100K_0,NoChange_basic_F,0.5058650586505865,0.011481460868995447,00:00:02,739 B,[]
1,sine_abrupt_100K_0,MajClass_basic_F,0.5077150771507715,0.012394400878451414,00:00:03,845 B,[]
2,sine_abrupt_100K_0,NB_basic_F,0.5882358823588236,0.17655882024855188,00:00:09,17.11 KB,[]
3,sine_abrupt_100K_0,NB_ADWIN_F,0.8877688776887769,0.7754543652078213,00:00:22,26.05 KB,"[20127, 40191, 60255, 80255]"
4,sine_abrupt_100K_0,NB_CUSUM_F,0.8923289232892329,0.7845790742950451,00:00:16,17.81 KB,"[20055, 40063, 60028, 80041]"
5,sine_abrupt_100K_0,NB_DDM_F,0.8566985669856698,0.7132820199910985,00:00:18,32.46 KB,"[20067, 40132, 62512, 81386, 81644]"
6,sine_abrupt_100K_0,NB_ECDD_F,0.8890988909889099,0.7781331809443687,00:00:18,39.09 KB,"[521, 1642, 2607, 3308, 4146, 4446, 5990, 6131, 6178, 6652, 7545, 8309, 9053, 10260, 10834, 10943, 11760, 12855, 14024, 14597, 14877, 15446, 16943, 17973, 18253, 18742, 19416, 19935, 20002, 20420, 21641, 22393, 22606, 23307, 23953, 24318, 25747, 26653, 28251, 30337, 30833, 30973, 31759, 32854, 34023, 34596, 34876, 35445, 36942, 37972, 38252, 38741, 39415, 39934, 40003, 40402, 40795, 41619, 41718, 42088, 43098, 43298, 43933, 44158, 44405, 44742, 44851, 45334, 45728, 46828, 47109, 47235, 47391, 47652, 47807, 48232, 48550, 48807, 49008, 49595, 50464, 50635, 50698, 50808, 51158, 51543, 51720, 52163, 53164, 53429, 54365, 55284, 55437, 55625, 56125, 56244, 57089, 57957, 59315, 59999, 60401, 60775, 61398, 61617, 62087, 62270, 63097, 63297, 64157, 64404, 64741, 64850, 65333, 65727, 66827, 67108, 67234, 67390, 67651, 67806, 68231, 68549, 68806, 69007, 69594, 70463, 70634, 70697, 70807, 71157, 71542, 71719, 72162, 73163, 73428, 74364, 75283, 75436, 75624, 76124, 76243, 77088, 77956, 79314, 80000, 80517, 81322, 81378, 81615, 81921, 82603, 83012, 83296, 83950, 84586, 85322, 85744, 86648, 87541, 88305, 89049, 90256, 90830, 90970, 91756, 92851, 94020, 94593, 94873, 95442, 96939, 97964, 98249, 98738, 99109]"
7,sine_abrupt_100K_0,NB_EDDM_F,0.8821188211882118,0.7641552147442683,00:00:16,19.53 KB,"[434, 3584, 3856, 20121, 20228, 40478, 40615, 42138, 42386, 43099, 44027, 51662, 60388, 60535, 60686, 62092, 63316, 80691, 81106, 83632, 89167, 94230]"
8,sine_abrupt_100K_0,NB_GMA_F,0.5882358823588236,0.17655882024855188,00:00:16,17.55 KB,[]
9,sine_abrupt_100K_0,NB_HDDMA_F,0.8926289262892629,0.7851780735308187,00:00:18,26.28 KB,"[20001, 40002, 60068, 80078]"
10,sine_abrupt_100K_0,NB_HDDMW_F,0.8942589425894258,0.7884399210859968,00:00:17,20.7 KB,"[20008, 40009, 60003, 80003]"
11,sine_abrupt_100K_0,NB_KSWIN1_F,0.8936089360893609,0.787138011255625,00:00:51,18.57 KB,"[20017, 40019, 60018, 80020]"
12,sine_abrupt_100K_0,NB_KSWIN51_F,0.8937089370893709,0.7873382232008259,00:00:49,18.57 KB,"[20017, 40018, 60014, 80019]"
13,sine_abrupt_100K_0,NB_KSWIN101_F,0.8936489364893649,0.7872169624191425,00:00:49,18.57 KB,"[20017, 40020, 60017, 80022]"
14,sine_abrupt_100K_0,NB_KSWIN151_F,0.8935989359893599,0.7871179360388995,00:00:49,18.57 KB,"[20017, 40019, 60017, 80025]"
15,sine_abrupt_100K_0,NB_KSWIN201_F,0.8935989359893599,0.7871178010181864,00:00:46,18.57 KB,"[20017, 40018, 60018, 80023]"
16,sine_abrupt_100K_0,NB_PH_F,0.8894988949889499,0.7789156151375345,00:00:14,17.77 KB,"[20124, 40154, 60138, 80158]"
17,sine_abrupt_100K_0,NB_RDDM_F,0.8827388273882739,0.7653917919684535,00:00:15,74.87 KB,"[5008, 5326, 8329, 8842, 11245, 11406, 11759, 11964, 14296, 15780, 15934, 17073, 18315, 18633, 20008, 40051, 40253, 40544, 60045, 80129]"
18,sine_abrupt_100K_0,NB_STEPD_F,0.8935689356893569,0.7870582505467719,00:00:29,45.71 KB,"[71, 3589, 4152, 4471, 8526, 10921, 11730, 20004, 20182, 23588, 23648, 24158, 28525, 28841, 30939, 31729, 40004, 40336, 40551, 42103, 42372, 44742, 44911, 48240, 50463, 55706, 56125, 56945, 57978, 60001, 60554, 62100, 62385, 68239, 68354, 70462, 75705, 76124, 76944, 77977, 80001, 83585, 84148, 87565, 88838, 90936, 91726]"
19,sine_abrupt_100K_2,NoChange_basic_F,0.5089650896508965,0.01765882737201116,00:00:02,731 B,[]
20,sine_abrupt_100K_2,MajClass_basic_F,0.5079450794507945,0.012612446243326336,00:00:02,837 B,[]
21,sine_abrupt_100K_2,NB_basic_F,0.5861958619586196,0.17236818783238775,00:00:08,14.99 KB,[]
22,sine_abrupt_100K_2,NB_ADWIN_F,0.8864988649886499,0.7729113600589498,00:00:19,25.87 KB,"[16703, 19775, 20063, 36575, 40095, 60255, 80223]"
23,sine_abrupt_100K_2,NB_CUSUM_F,0.8880988809888098,0.7761133545539846,00:00:14,17.63 KB,"[20054, 40077, 60074, 80071]"
