,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_100K_0,BOLE_BOCD_F,0.9079290792907929,0.8157993830600494,01:35:42,215.06 MB,[]
1,sine_gradual_100K_2,BOLE_BOCD_F,0.900769007690077,0.801474075273686,01:22:14,407.16 MB,[]
2,sine_gradual_100K_4,BOLE_BOCD_F,0.9053390533905339,0.8106315514916486,01:19:53,240.85 MB,[]
3,sine_gradual_100K_6,BOLE_BOCD_F,0.9078790787907879,0.8157093952104991,01:26:30,225.21 MB,[]
4,sine_gradual_100K_8,BOLE_BOCD_F,0.9068490684906849,0.8136459143974002,01:24:11,430.24 MB,[]
5,sine_gradual_100K_10,BOLE_BOCD_F,0.9069590695906959,0.8138569422172828,01:26:38,141.46 MB,[]
6,sine_gradual_100K_12,BOLE_BOCD_F,0.9068790687906879,0.8137048241079249,01:26:33,288.07 MB,[]
7,sine_gradual_100K_14,BOLE_BOCD_F,0.9060090600906009,0.8119502913444616,01:17:51,136.86 MB,[]
8,sine_gradual_100K_16,BOLE_BOCD_F,0.9081790817908179,0.8163156558782018,01:20:31,185.77 MB,[]
9,sine_gradual_100K_18,BOLE_BOCD_F,0.9068190681906819,0.813580821012679,01:28:08,100.05 MB,[]
10,sine_gradual_100K_20,BOLE_BOCD_F,0.9056190561905619,0.8111674255530505,01:12:29,219.76 MB,[]
11,sine_gradual_100K_22,BOLE_BOCD_F,0.9043790437904379,0.8086939791728698,01:18:30,108.55 MB,[]
12,sine_gradual_100K_24,BOLE_BOCD_F,0.9036990369903699,0.8073585492327571,01:19:54,221.48 MB,[]
13,sine_gradual_100K_26,BOLE_BOCD_F,0.9017390173901739,0.8034692973025779,01:18:28,181.41 MB,[]
14,sine_gradual_100K_28,BOLE_BOCD_F,0.9046290462904629,0.8092016178969119,01:19:46,191.24 MB,[]
15,sine_gradual_100K_30,BOLE_BOCD_F,0.906549065490655,0.8130378651680027,01:19:08,189.1 MB,[]
16,sine_gradual_100K_32,BOLE_BOCD_F,0.9092190921909219,0.8183654014884831,01:29:16,127.4 MB,[]
17,sine_gradual_100K_34,BOLE_BOCD_F,0.9077390773907739,0.8154377852530725,01:16:47,163.52 MB,[]
18,sine_gradual_100K_36,BOLE_BOCD_F,0.9080290802908029,0.8160228604946117,01:22:09,71.8 MB,[]
19,sine_gradual_100K_38,BOLE_BOCD_F,0.905469054690547,0.810892939216138,01:20:19,49.86 MB,[]
20,sine_gradual_100K_40,BOLE_BOCD_F,0.9089090890908909,0.8177986383894278,01:24:18,500.54 MB,[]
21,sine_gradual_100K_42,BOLE_BOCD_F,0.9084190841908419,0.8167854237894197,01:18:27,299.98 MB,[]
22,sine_gradual_100K_44,BOLE_BOCD_F,0.9024390243902439,0.8048173624546063,01:25:02,283.28 MB,[]
23,sine_gradual_100K_46,BOLE_BOCD_F,0.9049190491904919,0.8097900906271218,01:33:11,402.24 MB,[]
24,sine_gradual_100K_48,BOLE_BOCD_F,0.9040590405904059,0.8080619188790663,01:31:55,196.2 MB,[]
25,sine_gradual_100K_50,BOLE_BOCD_F,0.9027590275902759,0.8054544459749395,01:27:38,149.1 MB,[]
26,sine_gradual_100K_52,BOLE_BOCD_F,0.9081790817908179,0.8163013789794386,01:32:09,655.64 MB,[]
27,sine_gradual_100K_54,BOLE_BOCD_F,0.9045990459904599,0.8091237227099563,01:32:56,80.27 MB,[]
28,sine_gradual_100K_56,BOLE_BOCD_F,0.9078390783907839,0.8156449627535729,01:33:51,74.71 MB,[]
29,sine_gradual_100K_58,BOLE_BOCD_F,0.9080490804908049,0.8160545429072832,01:25:51,188.67 MB,[]
