,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_100K_0,HT_basic_F,0.7146871468714687,0.4282851158283285,00:00:07,679.96 KB,[]
1,sine_gradual_100K_0,HT_ADWIN_F,0.9166991669916699,0.8333751611868396,00:00:13,72.82 KB,"[2527, 4319, 6495, 9983, 11743, 13887, 19935, 20479, 23807, 27519, 31103, 38271, 40031, 40543, 43071, 51167, 60159, 61055, 76927, 80223, 80991, 85311, 87711, 91583, 93791, 98175]"
2,sine_gradual_100K_0,HT_CUSUM_F,0.9401594015940159,0.8802852192521432,00:00:09,218.57 KB,"[19928, 40006, 60001, 80074]"
3,sine_gradual_100K_0,HT_DDM_F,0.9340493404934049,0.8680720530277393,00:00:10,219.76 KB,"[19908, 40016, 60127, 80184]"
4,sine_gradual_100K_0,HT_ECDD_F,0.8906089060890608,0.781158302437439,00:00:09,55.56 KB,"[756, 1037, 1443, 1854, 2607, 3181, 3385, 3752, 4150, 4446, 5031, 5619, 6610, 7202, 7798, 8236, 8816, 9053, 9431, 10050, 10450, 11260, 11760, 11954, 12855, 13441, 14270, 14461, 14866, 15446, 16076, 16662, 17003, 17589, 17929, 18252, 18742, 19333, 19600, 19887, 23075, 23387, 23971, 24163, 24463, 25049, 25626, 26627, 27223, 27854, 28241, 28841, 29445, 30244, 30852, 31397, 31740, 31982, 32871, 33458, 35710, 36225, 37012, 37606, 37987, 38269, 38759, 39349, 39927, 42644, 43123, 43969, 44305, 44441, 44924, 45644, 45764, 46180, 46382, 46789, 47270, 47427, 47846, 48994, 49157, 49631, 51024, 52457, 53199, 54358, 55735, 56313, 57156, 57372, 57774, 57993, 59117, 59868, 62661, 63636, 65780, 66197, 66460, 66881, 67287, 67444, 68860, 69061, 69648, 71041, 71211, 71596, 71773, 72474, 72907, 73095, 74381, 75752, 76118, 77169, 77791, 78010, 79235, 79962, 83126, 83274, 83523, 84022, 84218, 84514, 85099, 85677, 86678, 87274, 87905, 88292, 88892, 89496, 90295, 90903, 91448, 91791, 92033, 92922, 93509, 95761, 96276, 97063, 97657, 98038, 98320, 98810, 99400]"
5,sine_gradual_100K_0,HT_EDDM_F,0.9287792877928779,0.857505798596612,00:00:09,225.68 KB,"[419, 1498, 2354, 2775, 3233, 4666, 5388, 19968, 20022, 20079, 40164, 40241, 60646, 60909, 80949]"
6,sine_gradual_100K_0,HT_GMA_F,0.7146871468714687,0.4282851158283285,00:00:10,682.07 KB,[]
7,sine_gradual_100K_0,HT_HDDMA_F,0.93809938099381,0.8761710464703347,00:00:09,225.86 KB,"[19909, 39983, 59978, 79995]"
8,sine_gradual_100K_0,HT_HDDMW_F,0.938249382493825,0.8764709198025462,00:00:10,217.63 KB,"[19913, 39966, 59945, 79964]"
9,sine_gradual_100K_0,HT_KSWIN1_F,0.7732377323773237,0.5460773909499339,00:00:41,202.11 KB,[80107]
10,sine_gradual_100K_0,HT_KSWIN51_F,0.7732377323773237,0.5460773909499339,00:00:41,202.11 KB,[80107]
11,sine_gradual_100K_0,HT_KSWIN101_F,0.7146871468714687,0.4282851158283285,00:00:45,683.01 KB,[]
12,sine_gradual_100K_0,HT_KSWIN151_F,0.7146871468714687,0.4282851158283285,00:00:43,683.01 KB,[]
13,sine_gradual_100K_0,HT_KSWIN201_F,0.7146871468714687,0.4282851158283285,00:00:40,683.01 KB,[]
14,sine_gradual_100K_0,HT_PH_F,0.9355393553935539,0.8710675990029433,00:00:09,191.08 KB,"[20219, 40370, 60460, 80358]"
15,sine_gradual_100K_0,HT_RDDM_F,0.936929369293693,0.8738225778502109,00:00:10,254.72 KB,"[19838, 20055, 39928, 60025, 80091]"
16,sine_gradual_100K_0,HT_STEPD_F,0.9192591925919259,0.8384691591455162,00:00:24,69.51 KB,"[71, 19425, 19769, 19909, 20356, 22848, 23411, 24176, 24776, 25343, 26948, 27361, 27776, 28185, 28797, 38285, 38629, 38689, 39746, 39986, 40075, 40135, 42657, 48432, 48598, 51208, 55734, 59473, 59888, 60146, 60436, 62673, 68866, 71216, 75752, 79490, 79963, 80412, 81417, 82238, 82626, 82835, 84335, 84783, 86192, 86605, 86802, 87412, 87834, 88051, 98039, 98806]"
17,sine_gradual_100K_2,HT_basic_F,0.7023370233702337,0.404330418756257,00:00:08,725.83 KB,[]
18,sine_gradual_100K_2,HT_ADWIN_F,0.9183191831918319,0.836571342803797,00:00:14,89.28 KB,"[3839, 8415, 12223, 16319, 20031, 20607, 23679, 25695, 28127, 31743, 34847, 38431, 40095, 41119, 53855, 59903, 60479, 68799, 79935, 80383, 85087, 86879, 91551, 95679, 97695]"
19,sine_gradual_100K_2,HT_CUSUM_F,0.938209382093821,0.8763755802880803,00:00:10,210.59 KB,"[19909, 40026, 59960, 80005]"
20,sine_gradual_100K_2,HT_DDM_F,0.936749367493675,0.8734567174873927,00:00:10,237.61 KB,"[19889, 39990, 40093, 60049, 80093]"
21,sine_gradual_100K_2,HT_ECDD_F,0.8905589055890559,0.7810357225219811,00:00:11,62.44 KB,"[206, 370, 955, 1463, 2419, 2971, 3147, 3536, 3946, 4120, 4521, 5318, 5865, 6657, 8027, 8998, 10223, 10703, 12011, 12395, 13177, 13966, 14630, 15621, 16098, 16502, 16914, 17339, 18342, 19374, 19443, 19686, 19875, 21505, 21920, 22306, 22836, 23436, 24116, 24530, 25233, 25415, 26374, 27109, 28396, 28563, 29161, 29509, 29865, 30476, 31070, 33250, 33552, 34149, 34768, 35758, 37300, 38262, 39246, 39870, 40108, 41702, 42390, 42560, 42846, 43033, 44041, 45137, 45748, 46271, 47241, 47920, 48445, 48655, 48867, 49881, 50447, 51958, 52159, 52371, 52888, 53610, 54532, 55321, 56340, 57188, 57672, 58775, 58951, 59732, 59868, 60106, 61698, 62842, 63133, 63422, 63625, 64241, 65332, 65744, 66364, 67237, 67452, 67916, 68441, 68651, 70005, 70443, 70554, 70763, 71027, 71765, 72372, 72884, 73606, 74288, 74528, 74728, 75317, 75937, 76073, 76327, 77184, 77517, 77665, 78263, 78681, 79811, 83848, 84065, 84465, 85101, 85652, 85849, 86649, 88011, 88980, 90072, 90827, 91642, 92093, 92492, 92806, 93117, 93559, 94151, 95001, 96170, 96301, 96504, 96904, 97323, 98337, 99130, 99355, 99421]"
22,sine_gradual_100K_2,HT_EDDM_F,0.9258592585925859,0.8516913945433593,00:00:09,188.89 KB,"[308, 962, 1359, 1979, 2738, 3398, 3718, 20041, 20152, 40115, 60795, 61230, 80856]"
23,sine_gradual_100K_2,HT_GMA_F,0.7023370233702337,0.404330418756257,00:00:10,727.95 KB,[]
24,sine_gradual_100K_2,HT_HDDMA_F,0.936669366693667,0.8732936310618438,00:00:12,231.5 KB,"[19899, 39983, 59951, 65813, 79971]"
25,sine_gradual_100K_2,HT_HDDMW_F,0.936819368193682,0.873601175859007,00:00:11,194.43 KB,"[19888, 21508, 39972, 59880, 79892]"
26,sine_gradual_100K_2,HT_KSWIN1_F,0.7023370233702337,0.404330418756257,00:00:45,728.89 KB,[]
27,sine_gradual_100K_2,HT_KSWIN51_F,0.7023370233702337,0.404330418756257,00:00:42,728.89 KB,[]
28,sine_gradual_100K_2,HT_KSWIN101_F,0.7023370233702337,0.404330418756257,00:00:45,728.89 KB,[]
29,sine_gradual_100K_2,HT_KSWIN151_F,0.8963089630896309,0.7925672424769057,00:00:42,366.65 KB,"[20111, 59884]"
30,sine_gradual_100K_2,HT_KSWIN201_F,0.7023370233702337,0.404330418756257,00:00:51,728.89 KB,[]
31,sine_gradual_100K_2,HT_PH_F,0.9320493204932049,0.8640549468966572,00:00:11,197.69 KB,"[20144, 40360, 60299, 80327]"
32,sine_gradual_100K_2,HT_RDDM_F,0.9377093770937709,0.8753859051679371,00:00:13,247.99 KB,"[19853, 20085, 39906, 40109, 59958, 80016]"
33,sine_gradual_100K_2,HT_STEPD_F,0.9230892308923089,0.8461100844345183,00:00:28,36.58 KB,"[61, 129, 1934, 2529, 2589, 3210, 3611, 5466, 5843, 6829, 7240, 7842, 8248, 19309, 19872, 20198, 39763, 39884, 40325, 45837, 56592, 57200, 59814, 59882, 60215, 65837, 75458, 77209, 79811, 79878, 80321, 80954, 81361, 81918, 82525, 92257, 92816, 93038, 97346, 98369, 99146, 99948]"
34,sine_gradual_100K_4,HT_basic_F,0.7219772197721978,0.44332275605691224,00:00:06,610.66 KB,[]
35,sine_gradual_100K_4,HT_ADWIN_F,0.923649236492365,0.8472375452872253,00:00:15,28.43 KB,"[4831, 10975, 18143, 19967, 20351, 21567, 25663, 31807, 36319, 40063, 40959, 60191, 62271, 68415, 80191, 81727, 88895, 93695, 95807, 99391]"
36,sine_gradual_100K_4,HT_CUSUM_F,0.939029390293903,0.8780248485322001,00:00:08,184.28 KB,"[19944, 39976, 59955, 79997]"
37,sine_gradual_100K_4,HT_DDM_F,0.938829388293883,0.8776179712168167,00:00:07,221.12 KB,"[19906, 19948, 39965, 60063, 80100]"
38,sine_gradual_100K_4,HT_ECDD_F,0.8938689386893869,0.7876386706509908,00:00:07,45.14 KB,"[60, 495, 896, 1286, 1687, 1999, 2142, 2842, 3437, 3632, 4528, 4876, 5048, 5227, 5990, 6969, 7480, 8275, 8850, 10050, 11424, 11941, 12529, 14319, 15021, 15621, 16416, 16756, 17523, 18901, 19732, 19956, 23762, 24139, 24543, 24740, 25345, 25991, 26725, 27514, 28124, 28501, 28851, 30192, 31943, 32530, 33713, 33804, 34162, 35022, 35800, 36473, 36757, 37330, 38526, 39258, 39624, 39769, 39972, 41472, 41674, 43624, 44184, 46567, 47033, 48245, 48383, 48465, 48799, 49772, 50705, 52448, 54065, 55083, 55589, 55780, 55995, 56304, 56491, 57528, 57697, 58131, 58859, 59770, 59892, 61473, 63625, 65499, 65621, 66728, 67200, 67569, 68383, 69773, 69987, 70706, 71361, 71778, 73277, 73957, 74065, 74272, 74507, 75084, 75402, 75793, 75995, 77528, 78801, 79385, 79771, 79944, 82965, 83323, 84101, 84687, 85231, 85994, 86789, 87280, 87662, 88136, 88504, 88900, 89887, 90524, 90995, 91667, 92455, 93603, 93961, 94166, 94967, 95338, 95368, 95991, 96306, 96703, 97527, 98757, 99356]"
39,sine_gradual_100K_4,HT_EDDM_F,0.9285692856928569,0.8570824012020972,00:00:06,176.06 KB,"[548, 762, 1176, 1587, 2244, 2839, 3462, 3754, 4150, 4573, 5104, 19985, 40154, 60796, 61147, 80717]"
40,sine_gradual_100K_4,HT_GMA_F,0.7219772197721978,0.44332275605691224,00:00:07,612.77 KB,[]
41,sine_gradual_100K_4,HT_HDDMA_F,0.9376993769937699,0.875350986869731,00:00:08,205.89 KB,"[19860, 19957, 39941, 59959, 68661, 79961]"
42,sine_gradual_100K_4,HT_HDDMW_F,0.940019400194002,0.8799990942101805,00:00:08,207.35 KB,"[19954, 39965, 59955, 79967]"
43,sine_gradual_100K_4,HT_KSWIN1_F,0.7219772197721978,0.44332275605691224,00:00:31,613.71 KB,[]
44,sine_gradual_100K_4,HT_KSWIN51_F,0.7397473974739748,0.4792893857592894,00:00:41,465.81 KB,[25752]
45,sine_gradual_100K_4,HT_KSWIN101_F,0.8432584325843259,0.6864582413130381,00:00:39,230.96 KB,"[19970, 75411]"
46,sine_gradual_100K_4,HT_KSWIN151_F,0.7450474504745047,0.48984285669971217,00:00:42,247.47 KB,[74574]
47,sine_gradual_100K_4,HT_KSWIN201_F,0.7566675666756667,0.5131005956933112,00:00:43,475.05 KB,[28311]
48,sine_gradual_100K_4,HT_PH_F,0.9359193591935919,0.8717932220072017,00:00:08,158.04 KB,"[20201, 40327, 60231, 80283]"
49,sine_gradual_100K_4,HT_RDDM_F,0.939319393193932,0.8785902310155526,00:00:09,215.07 KB,"[19846, 20082, 39876, 40142, 59962, 79994]"
50,sine_gradual_100K_4,HT_STEPD_F,0.9222892228922289,0.8444973245275019,00:00:22,151.6 KB,"[12696, 13219, 13891, 14694, 19768, 19962, 20152, 20251, 20845, 20941, 23382, 27657, 39606, 39792, 39969, 40098, 40586, 45498, 56776, 58382, 59774, 59966, 60432, 64583, 65499, 74299, 75106, 78383, 79783, 79989, 80133, 80735, 83404, 84038, 93427, 93939, 94736]"
51,sine_gradual_100K_6,HT_basic_F,0.6839368393683937,0.3683396491792639,00:00:06,646.87 KB,[]
52,sine_gradual_100K_6,HT_ADWIN_F,0.918459184591846,0.8368470402688254,00:00:13,55.72 KB,"[4095, 6367, 8799, 12383, 16223, 19967, 20383, 23967, 27551, 31423, 34495, 36255, 39967, 40863, 49055, 60095, 61183, 71103, 80063, 80543, 84543, 89151, 93247, 97279, 99295]"
53,sine_gradual_100K_6,HT_CUSUM_F,0.936809368093681,0.8735794024256506,00:00:09,190.96 KB,"[19894, 39919, 59921, 79935]"
54,sine_gradual_100K_6,HT_DDM_F,0.933139331393314,0.8662355186917001,00:00:10,218.44 KB,"[19873, 39911, 60024, 80061]"
55,sine_gradual_100K_6,HT_ECDD_F,0.8946089460894608,0.7891444893984525,00:00:10,44.98 KB,"[772, 1192, 2209, 2789, 3384, 3967, 4488, 4860, 5461, 5956, 6151, 6638, 6836, 8348, 9076, 9858, 10339, 11234, 11822, 12224, 12817, 13620, 13886, 14298, 14443, 15536, 16167, 17140, 17563, 17959, 18668, 19464, 19674, 19795, 28835, 28931, 29479, 30436, 31218, 31986, 32379, 32790, 33164, 33568, 33770, 34294, 35084, 35394, 35799, 36470, 37074, 37516, 37903, 38840, 39652, 39776, 41828, 42800, 42981, 44589, 45637, 48453, 48750, 49419, 49651, 50790, 51656, 51870, 52038, 53854, 54217, 54413, 54758, 55106, 55282, 55811, 56701, 57376, 57881, 58075, 58934, 59710, 63324, 63407, 63749, 63889, 64567, 64865, 65035, 66788, 67346, 68004, 70373, 70774, 71855, 72022, 73838, 74449, 74942, 75266, 75614, 75876, 76398, 76685, 78772, 78919, 79760, 82145, 84075, 84450, 85229, 85780, 86179, 86574, 86973, 87440, 88098, 88286, 88649, 89045, 89224, 90064, 90275, 91170, 91757, 92351, 92742, 93177, 93715, 94246, 95036, 95577, 96422, 97076, 98347, 98968, 99557]"
56,sine_gradual_100K_6,HT_EDDM_F,0.9229892298922989,0.845935653336048,00:00:09,238.82 KB,"[424, 884, 1648, 2078, 2416, 2633, 2877, 3428, 4035, 4272, 4649, 5500, 6152, 6579, 6941, 7145, 19956, 20004, 20130, 40083, 40184, 60597, 80719]"
57,sine_gradual_100K_6,HT_GMA_F,0.6839368393683937,0.3683396491792639,00:00:09,648.98 KB,[]
58,sine_gradual_100K_6,HT_HDDMA_F,0.93809938099381,0.8761621020044481,00:00:11,192.87 KB,"[19814, 39836, 59848, 79861]"
59,sine_gradual_100K_6,HT_HDDMW_F,0.9382593825938259,0.8764713080603442,00:00:11,194.42 KB,"[19854, 39878, 59822, 79853]"
60,sine_gradual_100K_6,HT_KSWIN1_F,0.6839368393683937,0.3683396491792639,00:00:45,649.92 KB,[]
61,sine_gradual_100K_6,HT_KSWIN51_F,0.6839368393683937,0.3683396491792639,00:00:43,649.92 KB,[]
62,sine_gradual_100K_6,HT_KSWIN101_F,0.6839368393683937,0.3683396491792639,00:00:42,649.92 KB,[]
63,sine_gradual_100K_6,HT_KSWIN151_F,0.6839368393683937,0.3683396491792639,00:00:39,649.92 KB,[]
64,sine_gradual_100K_6,HT_KSWIN201_F,0.6839368393683937,0.3683396491792639,00:00:45,649.92 KB,[]
65,sine_gradual_100K_6,HT_PH_F,0.934219342193422,0.8684045949549855,00:00:09,191.01 KB,"[20176, 40262, 60212, 80244]"
66,sine_gradual_100K_6,HT_RDDM_F,0.938269382693827,0.8764959997037411,00:00:10,248.04 KB,"[19817, 20075, 39818, 59952, 79941]"
67,sine_gradual_100K_6,HT_STEPD_F,0.923419234192342,0.8467929253073315,00:00:24,151.49 KB,"[19674, 19789, 20227, 20794, 21176, 21784, 22192, 32738, 39771, 39844, 40444, 43355, 43788, 43916, 44587, 48040, 53177, 55118, 59762, 60087, 60412, 63326, 68451, 70861, 73159, 75102, 78076, 79754, 80333, 80827, 85471, 86483, 94657]"
68,sine_gradual_100K_8,HT_basic_F,0.7070770707707077,0.41386966493764454,00:00:07,640.71 KB,[]
