,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_10K_0,BOLE_basic_F,0.8360836083608361,0.6719736588720895,00:00:05,899.16 KB,[]
1,sine_gradual_10K_0,BOLE_ADWIN_F,0.8426842684268426,0.6851827732799247,00:00:11,286.52 KB,[]
2,sine_gradual_10K_0,BOLE_BOCD_F,0.8367836783678367,0.6735680325850092,00:07:13,80.45 MB,[]
3,sine_gradual_10K_0,BOLE_CUSUM_F,0.8363836383638363,0.6724044084197442,00:00:07,244.53 KB,[]
4,sine_gradual_10K_0,BOLE_DDM_F,0.8237823782378237,0.6471622398122026,00:00:08,433.73 KB,[]
5,sine_gradual_10K_0,BOLE_ECDD_F,0.7782778277827783,0.5564004400899704,00:00:08,345.68 KB,[]
6,sine_gradual_10K_0,BOLE_EDDM_F,0.7978797879787979,0.5955711755544136,00:00:06,337.59 KB,[]
7,sine_gradual_10K_0,BOLE_GMA_F,0.8360836083608361,0.6719736588720895,00:00:07,914.85 KB,[]
8,sine_gradual_10K_0,BOLE_HDDMA_F,0.7867786778677868,0.5732189317554468,00:00:09,298.81 KB,[]
9,sine_gradual_10K_0,BOLE_HDDMW_F,0.808980898089809,0.6177853267721926,00:00:09,282.36 KB,[]
10,sine_gradual_10K_0,BOLE_KSWIN1_F,0.8380838083808381,0.6757856710132355,00:00:41,443.77 KB,[]
11,sine_gradual_10K_0,BOLE_KSWIN51_F,0.8317831783178318,0.6632770369131725,00:00:40,377.58 KB,[]
12,sine_gradual_10K_0,BOLE_KSWIN101_F,0.8350835083508351,0.6701308195148038,00:00:39,426.51 KB,[]
13,sine_gradual_10K_0,BOLE_KSWIN151_F,0.8294829482948295,0.6588041271577869,00:00:41,386.81 KB,[]
14,sine_gradual_10K_0,BOLE_KSWIN201_F,0.8358835883588359,0.6718561772773015,00:00:41,385.86 KB,[]
15,sine_gradual_10K_0,BOLE_PH_F,0.8445844584458446,0.6886822766645955,00:00:07,395.43 KB,[]
16,sine_gradual_10K_0,BOLE_RDDM_F,0.8065806580658066,0.6128126035013972,00:00:07,0.96 MB,[]
17,sine_gradual_10K_0,BOLE_STEPD_F,0.7962796279627963,0.5924672859262359,00:00:15,412.74 KB,[]
18,sine_gradual_10K_2,BOLE_basic_F,0.804980498049805,0.6099400651981368,00:00:05,912.71 KB,[]
19,sine_gradual_10K_2,BOLE_ADWIN_F,0.8422842284228422,0.6846658672736885,00:00:11,278.69 KB,[]
20,sine_gradual_10K_2,BOLE_BOCD_F,0.8367836783678367,0.6735593083630306,00:06:28,180.48 MB,[]
21,sine_gradual_10K_2,BOLE_CUSUM_F,0.836983698369837,0.6738477238437837,00:00:07,277.73 KB,[]
22,sine_gradual_10K_2,BOLE_DDM_F,0.8301830183018302,0.6604029751674542,00:00:08,513.79 KB,[]
23,sine_gradual_10K_2,BOLE_ECDD_F,0.7865786578657866,0.573074966769946,00:00:08,298.14 KB,[]
24,sine_gradual_10K_2,BOLE_EDDM_F,0.8026802680268027,0.6052947057803979,00:00:07,381.61 KB,[]
25,sine_gradual_10K_2,BOLE_GMA_F,0.804980498049805,0.6099400651981368,00:00:07,928.39 KB,[]
26,sine_gradual_10K_2,BOLE_HDDMA_F,0.7982798279827983,0.5964853338761552,00:00:09,300.79 KB,[]
27,sine_gradual_10K_2,BOLE_HDDMW_F,0.802980298029803,0.6058662807051368,00:00:09,327.41 KB,[]
