,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_1M_0,BOLE_basic_F,0.9876689876689877,0.9753316363993375,00:08:11,78.78 MB,[]
1,sine_abrupt_1M_0,BOLE_ADWIN_F,0.9215349215349216,0.8430326426787412,00:14:25,799.41 KB,[]
2,sine_abrupt_1M_0,BOLE_CUSUM_F,0.9784799784799785,0.956949411632799,00:10:20,1.58 MB,[]
3,sine_abrupt_1M_0,BOLE_DDM_F,0.9797679797679798,0.9595260352536126,00:10:46,5 MB,[]
4,sine_abrupt_1M_0,BOLE_ECDD_F,0.8454388454388454,0.6907934492449502,00:10:59,4.11 MB,[]
5,sine_abrupt_1M_0,BOLE_EDDM_F,0.973935973935974,0.9478611483391287,00:09:17,11.75 MB,[]
6,sine_abrupt_1M_0,BOLE_GMA_F,0.9876689876689877,0.9753316363993375,00:11:04,78.8 MB,[]
7,sine_abrupt_1M_0,BOLE_HDDMA_F,0.8694638694638694,0.7388647838139135,00:12:05,2.94 MB,[]
8,sine_abrupt_1M_0,BOLE_HDDMW_F,0.9008999008999009,0.8017552501662842,00:11:52,2.12 MB,[]
9,sine_abrupt_1M_0,BOLE_PH_F,0.9925949925949926,0.9851863819899283,00:09:51,6.67 MB,[]
10,sine_abrupt_1M_0,BOLE_RDDM_F,0.9363039363039363,0.8725802633892563,00:10:29,2.71 MB,[]
11,sine_abrupt_1M_0,BOLE_STEPD_F,0.874035874035874,0.7480056650406881,00:20:08,2.91 MB,[]
12,sine_abrupt_1M_2,BOLE_basic_F,0.9871879871879872,0.9743688664069168,00:08:04,74.21 MB,[]
13,sine_abrupt_1M_2,BOLE_ADWIN_F,0.9211159211159211,0.8421887901125447,00:14:28,926.57 KB,[]
14,sine_abrupt_1M_2,BOLE_CUSUM_F,0.979064979064979,0.9581193841375303,00:10:21,1.58 MB,[]
15,sine_abrupt_1M_2,BOLE_DDM_F,0.9791369791369792,0.9582625069100819,00:10:32,6.48 MB,[]
16,sine_abrupt_1M_2,BOLE_ECDD_F,0.8448448448448449,0.6896029214026779,00:11:20,4.15 MB,[]
17,sine_abrupt_1M_2,BOLE_EDDM_F,0.9639139639139639,0.9278106279573324,00:09:30,7.26 MB,[]
18,sine_abrupt_1M_2,BOLE_GMA_F,0.9871879871879872,0.9743688664069168,00:11:44,74.23 MB,[]
19,sine_abrupt_1M_2,BOLE_HDDMA_F,0.8685108685108686,0.7369469994545841,00:12:53,3.05 MB,[]
