,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_1M_0,BOLE_KSWIN1_F,0.9478299478299478,0.8956317705144277,01:12:24,1.86 MB,[]
1,sine_abrupt_1M_0,BOLE_KSWIN51_F,0.9421299421299422,0.8842337596813676,01:11:59,1.14 MB,[]
2,sine_abrupt_1M_0,BOLE_KSWIN101_F,0.9448509448509449,0.8896739803141119,01:14:25,1.38 MB,[]
3,sine_abrupt_1M_0,BOLE_KSWIN151_F,0.9453399453399454,0.8906568465947291,01:06:31,1.62 MB,[]
4,sine_abrupt_1M_0,BOLE_KSWIN201_F,0.9475629475629476,0.89510204966491,00:58:31,1.38 MB,[]
5,sine_abrupt_1M_2,BOLE_KSWIN1_F,0.9566749566749567,0.9133263572120167,00:59:10,1.63 MB,[]
6,sine_abrupt_1M_2,BOLE_KSWIN51_F,0.9422679422679423,0.8845054414771739,00:59:49,1.18 MB,[]
7,sine_abrupt_1M_2,BOLE_KSWIN101_F,0.9502129502129502,0.9003944431046392,00:58:59,1.4 MB,[]
8,sine_abrupt_1M_2,BOLE_KSWIN151_F,0.9387179387179387,0.8774038389319541,01:02:19,1.68 MB,[]
9,sine_abrupt_1M_2,BOLE_KSWIN201_F,0.9434709434709435,0.8869048191727537,01:04:16,1.8 MB,[]
10,sine_abrupt_1M_4,BOLE_KSWIN1_F,0.946919946919947,0.893809711938672,00:59:55,1.6 MB,[]
11,sine_abrupt_1M_4,BOLE_KSWIN51_F,0.934997934997935,0.8699618665771587,00:59:47,1.21 MB,[]
12,sine_abrupt_1M_4,BOLE_KSWIN101_F,0.9577409577409577,0.9154599884143731,00:59:17,1.32 MB,[]
13,sine_abrupt_1M_4,BOLE_KSWIN151_F,0.9444699444699445,0.8889042324103389,01:14:09,1.77 MB,[]
14,sine_abrupt_1M_4,BOLE_KSWIN201_F,0.9399489399489399,0.8798628732916876,01:13:27,1.14 MB,[]
15,sine_abrupt_1M_6,BOLE_KSWIN1_F,0.952980952980953,0.9059413435792837,01:13:21,1.4 MB,[]
16,sine_abrupt_1M_6,BOLE_KSWIN51_F,0.9420509420509421,0.8840740140467339,01:14:00,1.75 MB,[]
17,sine_abrupt_1M_6,BOLE_KSWIN101_F,0.9477859477859478,0.8955438154929705,01:12:24,1.68 MB,[]
