,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_1M_0,HT_basic_F,0.8951048951048951,0.7901780043113373,00:01:26,2.76 MB,[]
1,sine_abrupt_1M_0,HT_ADWIN_F,0.9289049289049289,0.857765709552019,00:02:41,152.35 KB,"[2527, 4319, 6495, 9983, 11743, 13887, 20159, 22559, 27167, 30815, 32447, 36031, 39935, 43743, 45279, 49439, 56479, 57503, 61183, 65183, 66719, 70719, 77311, 79647, 82143, 86143, 89215, 92287, 95359, 99295, 101503, 105087, 109535, 113247, 117791, 118943, 123551, 125695, 129759, 136863, 139935, 141727, 145823, 150431, 154847, 157151, 160863, 167391, 170783, 175103, 179199, 183295, 184831, 188735, 192607, 195007, 200063, 202335, 204127, 207871, 211455, 215039, 219295, 225439, 227711, 228287, 232895, 236095, 241087, 243071, 246143, 251103, 254463, 258047, 261855, 269023, 273119, 276703, 278687, 284831, 286623, 288671, 289823, 295967, 299839, 301791, 304191, 307263, 311359, 314719, 321887, 323807, 325855, 327647, 334783, 338879, 346047, 349631, 351167, 355263, 359807, 363327, 366911, 370367, 372383, 374303, 378399, 381919, 385503, 391647, 395583, 400095, 402207, 413471, 429855, 436831, 461535, 473311, 480479, 492767, 506175, 518463, 532799, 533887, 543999, 570271, 580383, 600191, 619935, 633247, 642143, 655231, 664735, 679071, 687103, 701439, 717407, 735039, 743711, 772383, 784671, 797119, 800063, 802335, 804127, 807839, 811551, 813887, 820159, 822559, 827167, 830815, 832447, 836031, 839935, 843743, 845279, 849439, 856479, 857503, 861183, 865183, 866719, 870719, 877311, 879647, 882143, 886143, 889215, 892287, 895359, 899295, 901503, 905087, 909535, 913247, 917791, 918943, 923551, 925695, 929759, 936863, 939935, 941727, 945823, 950431, 954847, 957151, 960863, 967391, 970783, 975103, 979199, 983295, 984831, 988735, 992607, 995007]"
2,sine_abrupt_1M_0,HT_CUSUM_F,0.9758249758249758,0.9516374758155146,00:01:53,528.31 KB,"[200047, 400065, 600053, 800069]"
3,sine_abrupt_1M_0,HT_DDM_F,0.9747189747189747,0.9494255027198101,00:01:54,545.57 KB,"[200085, 400109, 600211, 800258, 800289]"
4,sine_abrupt_1M_0,HT_ECDD_F,0.8965228965228965,0.7929863829214092,00:02:04,82.6 KB,"[756, 1037, 1443, 1854, 2607, 3181, 3385, 3752, 4150, 4446, 5031, 5619, 6610, 7202, 7798, 8236, 8816, 9053, 9431, 10050, 10450, 11260, 11760, 11954, 12855, 13441, 14270, 14461, 14866, 15446, 16076, 16662, 17003, 17589, 17929, 18252, 18742, 19333, 19927, 20327, 20776, 20976, 21179, 21548, 22355, 23330, 23958, 24686, 25281, 25684, 26500, 27269, 27846, 28387, 28778, 29772, 30361, 31306, 31603, 32057, 33123, 33496, 34047, 34720, 35706, 36259, 36661, 36834, 37444, 38233, 38654, 40004, 40551, 40961, 41561, 41987, 43010, 43527, 44880, 45213, 45935, 46298, 46990, 47768, 48134, 48930, 49892, 50477, 51277, 51347, 51811, 52034, 52637, 53056, 53517, 54038, 54659, 54844, 55043, 55345, 55948, 56381, 57529, 57881, 58883, 59658, 60085, 60820, 61091, 61597, 62601, 63187, 65352, 65887, 65992, 66588, 66888, 67298, 67862, 68460, 68874, 69795, 70191, 70581, 70993, 71983, 72373, 73179, 73442, 74250, 74646, 75240, 75479, 75946, 76522, 77878, 78205, 79352, 81070, 81472, 81872, 82470, 82666, 83876, 84321, 84970, 85620, 86392, 86789, 87608, 87844, 88447, 89680, 90185, 90790, 91291, 92038, 94212, 94381, 94857, 95138, 95383, 95976, 96486, 97106, 98629, 99089, 99521, 100124, 100344, 101016, 101136, 101399, 101925, 102316, 104702, 105385, 105568, 105728, 106155, 106416, 106820, 107215, 107836, 108228, 108474, 109073, 109572, 109892, 111779, 111960, 112363, 112760, 112958, 116296, 117401, 117537, 117923, 118144, 118306, 118619, 119241, 119639, 120031, 120193, 120798, 121396, 121588, 122203, 123161, 123953, 124254, 124457, 125038, 125430, 125920, 126204, 126646, 127059, 127449, 128445, 128827, 129254, 129562, 130170, 130578, 131440, 132384, 132890, 133336, 133806, 134745, 135336, 135915, 136435, 136830, 137066, 137686, 138272, 138892, 139501, 139610, 140018, 140907, 141282, 141683, 142965, 144531, 144724, 145532, 146117, 147098, 147323, 147927, 148677, 149794, 150962, 152154, 152744, 153144, 153785, 154213, 154807, 155245, 155639, 156028, 156426, 157161, 157462, 158429, 159014, 159412, 159900, 160777, 162561, 163324, 163663, 164656, 166157, 167117, 168313, 169200, 169748, 170535, 171354, 171939, 172696, 173103, 173915, 174258, 174472, 174870, 175689, 176405, 176997, 177558, 177724, 178275, 178687, 179063, 179799, 180196, 180617, 180822, 181035, 181442, 181778, 182428, 182793, 183391, 183981, 184509, 184915, 185323, 185930, 186279, 186773, 187183, 187397, 188072, 188594, 189563, 190105, 192051, 192623, 192992, 194315, 194678, 195069, 195270, 195580, 195986, 196399, 196659, 196855, 197869, 198388, 198779, 199972, 201877, 202515, 203167, 203954, 204532, 205033, 205668, 206653, 207246, 207759, 208149, 208745, 209980, 210764, 211561, 211965, 212855, 213441, 214217, 214597, 214802, 215446, 216049, 216453, 217434, 217968, 218164, 218742, 219335, 219934, 220487, 220776, 220981, 224769, 224991, 225686, 226104, 226502, 227075, 227659, 228112, 228307, 228955, 229633, 230230, 231010, 231306, 231509, 232803, 233549, 233945, 234350, 234757, 235564, 236259, 236661, 236834, 237442, 237839, 238312, 238730, 239326, 240115, 240521, 240960, 241561, 241966, 242377, 242859, 243458, 244240, 244436, 244820, 245213, 245935, 246298, 246990, 247570, 248355, 249343, 249934, 250343, 252131, 252231, 252443, 252638, 253450, 253828, 254443, 254724, 254844, 255359, 255958, 256555, 257638, 257719, 259619, 260594, 260964, 261597, 261652, 264538, 265458, 266035, 266588, 266888, 267426, 267863, 268132, 268731, 269794, 270581, 270993, 271187, 271983, 272373, 272494, 272821, 273457, 274267, 274672, 275237, 275670, 276369, 276779, 277569, 278237, 279352, 279943, 280392, 280770, 281317, 282955, 283430, 283656, 284262, 284942, 285213, 286023, 286400, 286791, 286917, 287520, 288116, 288310, 288562, 288966, 289550, 291391, 292091, 292868, 293271, 294065, 294475, 294857, 295139, 295346, 295745, 296442, 299604, 300010, 300344, 300618, 300961, 301136, 301404, 301925, 302326, 302723, 303315, 303878, 304299, 304514, 305318, 306165, 306560, 307131, 307836, 308423, 308692, 309020, 309572, 309892, 310680, 311269, 311479, 312239, 312856, 312957, 316296, 317155, 317941, 318144, 318306, 318619, 319241, 320006, 320193, 320798, 321396, 321588, 322203, 322932, 323735, 324875, 325444, 325701, 326203, 326646, 327059, 327450, 328445, 328828, 329254, 329562, 330170, 330578, 331440, 332384, 332890, 333336, 333806, 334745, 335336, 335915, 336435, 336830, 337066, 337686, 338272, 338892, 339501, 339610, 340018, 340907, 341282, 341683, 342965, 344531, 344724, 345532, 346117, 347098, 347323, 347927, 348677, 349794, 350962, 352154, 352744, 353144, 353785, 354213, 354807, 355245, 355639, 356028, 356426, 357161, 357462, 358429, 359014, 359412, 359900, 360777, 362561, 363324, 363663, 364656, 366157, 367117, 368313, 369200, 369748, 370535, 371354, 371939, 372696, 373143, 373745, 375274, 375689, 376405, 376997, 377558, 377724, 378275, 378687, 379063, 379799, 380196, 380617, 380822, 381035, 381442, 381778, 382428, 382793, 383391, 383981, 384509, 384915, 385323, 385930, 386279, 386773, 387183, 387397, 388072, 388594, 389563, 390105, 392051, 392623, 392992, 394315, 394678, 395069, 395270, 395580, 395986, 396399, 396659, 396855, 397869, 398388, 398779, 399972, 401401, 402044, 402091, 402782, 403101, 403935, 404271, 404407, 404890, 405610, 405730, 406146, 406348, 406755, 407236, 407393, 407812, 408960, 409123, 409597, 410990, 412423, 413165, 414324, 415701, 416279, 417122, 417338, 417740, 417959, 419083, 420295, 420685, 420975, 421556, 423335, 424042, 425109, 425440, 426044, 426523, 427070, 427858, 429197, 429359, 429970, 431226, 431824, 432144, 432390, 433359, 433774, 434816, 435488, 435782, 436364, 437139, 438297, 438479, 438957, 439647, 440907, 441079, 441732, 441871, 443986, 444509, 444958, 445207, 446298, 446534, 447843, 449553, 450252, 451133, 451905, 453196, 453538, 453767, 455127, 455321, 455772, 456169, 456669, 456814, 457305, 457700, 458329, 459187, 459378, 460785, 461093, 461540, 461943, 462127, 462368, 463283, 463558, 463805, 464005, 464648, 465092, 465277, 466180, 466592, 466770, 466966, 467225, 467362, 469039, 469816, 470155, 471085, 472233, 472610, 473221, 473590, 473780, 474053, 474499, 474685, 474758, 475324, 476666, 478373, 478898, 479638, 480555, 480718, 481054, 481868, 482379, 482875, 483000, 484114, 485147, 485278, 485686, 486221, 486410, 486597, 487064, 487264, 489262, 490186, 491364, 492227, 493170, 494861, 495190, 495653, 495842, 496145, 496536, 497360, 499870, 501029, 501204, 501938, 502425, 502925, 503084, 504300, 505026, 505203, 505641, 506051, 507388, 508016, 509046, 509700, 509879, 510060, 511192, 511569, 513233, 513666, 514336, 514830, 516324, 516633, 517325, 518913, 519315, 519824, 520017, 521572, 521788, 522053, 522715, 523471, 524459, 524682, 526323, 528399, 528727, 528874, 529288, 529390, 529552, 530084, 530856, 531235, 531941, 532173, 532567, 534225, 534665, 535018, 535892, 536898, 537311, 537635, 537809, 538033, 538107, 538983, 539083, 539380, 540164, 540336, 540485, 541645, 541804, 542810, 543866, 544424, 544761, 546069, 546499, 547730, 548140, 549643, 550384, 551825, 552180, 552958, 553162, 554821, 556213, 558031, 559668, 559787, 560093, 561694, 561916, 562927, 563176, 563357, 563580, 563702, 564022, 564581, 565492, 565567, 565846, 566121, 566303, 566613, 566868, 568598, 568730, 568929, 569337, 570307, 570438, 570877, 571248, 571625, 572054, 573871, 575634, 575995, 577534, 577978, 578738, 579073, 579253, 580309, 582435, 584191, 584367, 584986, 586034, 587523, 588340, 588532, 588719, 590283, 591973, 593338, 593569, 593764, 594117, 595014, 596206, 596297, 596992, 598013, 598536, 598623, 599204, 599970, 600862, 601048, 601168, 601401, 601527, 601720, 602610, 602768, 603100, 603299, 603935, 604271, 604407, 604890, 605610, 605987, 607166, 607393, 607657, 607809, 608655, 608809, 610990, 611330, 611537, 612423, 613165, 614287, 614592, 615505, 615626, 616292, 617122, 617338, 617434, 618092, 618671, 619247, 620295, 620685, 620782, 620975, 621410, 621857, 623508, 624609, 625287, 625440, 625687, 626178, 626828, 627151, 627858, 629197, 629359, 629970, 630661, 631018, 631104, 631827, 632144, 632390, 633090, 633358, 633534, 635086, 635496, 635682, 636363, 636667, 637099, 637153, 637642, 639424, 639646, 639767, 641175, 643067, 643622, 645211, 646599, 647843, 648200, 648997, 649498, 649970, 651525, 651901, 652419, 653169, 653529, 653767, 653858, 655127, 655321, 655772, 655991, 656814, 657305, 657535, 657700, 659187, 660787, 661093, 661481, 661930, 662421, 663283, 663556, 663805, 665750, 665970, 666177, 666862, 668089, 668534, 669575, 669954, 671366, 673038, 673288, 673581, 673780, 674052, 674499, 674680, 674775, 674867, 675289, 675709, 675911, 676666, 678373, 678898, 680715, 681054, 681868, 682379, 682754, 683150, 683982, 684572, 684732, 685148, 685278, 685766, 686221, 686410, 686598, 686882, 687367, 687947, 688698, 688877, 688949, 689562, 690186, 690486, 691364, 692227, 692874, 693111, 694719, 694770, 695032, 695740, 696226, 696536, 696575, 697708, 698068, 698263, 698434, 698628, 700283, 700664, 701029, 701323, 701936, 702425, 702925, 703543, 704193, 704640, 705029, 705203, 705505, 706249, 707515, 709526, 710231, 711129, 711762, 712575, 713233, 713666, 714337, 714830, 716324, 716633, 717325, 718913, 719404, 719824, 721094, 721728, 723130, 723471, 724461, 724682, 726323, 728135, 730084, 730331, 730856, 730917, 732678, 735017, 735389, 735642, 735687, 735747, 736787, 737311, 737807, 738107, 738311, 738459, 738890, 738984, 739435, 740164, 740335, 742810, 743866, 744424, 744762, 746160, 747359, 750228, 751825, 752180, 752958, 754569, 755577, 756217, 757295, 757465, 758638, 760151, 760820, 761694, 763175, 763377, 763466, 763580, 764022, 764581, 765311, 765846, 765920, 766306, 766614, 767190, 768182, 768342, 768598, 769777, 769935, 770606, 770878, 771837, 772049, 773871, 774959, 775638, 775785, 775996, 777534, 778738, 779073, 779387, 780589, 782172, 782366, 784191, 784367, 784986, 786034, 786646, 787123, 787400, 788720, 789613, 790285, 791073, 793198, 793338, 793482, 794116, 794928, 795115, 796206, 796297, 796992, 798013, 798536, 799203, 799970, 800036, 800435, 801466, 801924, 802515, 802831, 803236, 803455, 803954, 804150, 804446, 805031, 805609, 806610, 807206, 807837, 808224, 808824, 809428, 810227, 810835, 811380, 811723, 811965, 812854, 813441, 815693, 816208, 816995, 817589, 817970, 818252, 818742, 819332, 819935, 820904, 821344, 821733, 822938, 823330, 823593, 823953, 824319, 824711, 824908, 825966, 826440, 826816, 827215, 827659, 828375, 829162, 829893, 830471, 831256, 831509, 832768, 833309, 833734, 834084, 834720, 835804, 836259, 836873, 837443, 838244, 838793, 839209, 839997, 840891, 841561, 841956, 841990, 842193, 842483, 842909, 844178, 844436, 844820, 845213, 845935, 846298, 846990, 847484, 847771, 848321, 848803, 849556, 850776, 851062, 851350, 852034, 852625, 852736, 853144, 853700, 854038, 854659, 854845, 855231, 855838, 856383, 856582, 856908, 857185, 857672, 858027, 858848, 859619, 860087, 860290, 860545, 861091, 861597, 862586, 863165, 864786, 865152, 865989, 866887, 867426, 867862, 868132, 868393, 868789, 869789, 869995, 870581, 870993, 871983, 872362, 874072, 874651, 875237, 875830, 876418, 877878, 878250, 879352, 879982, 880392, 880770, 881317, 882385, 882956, 883732, 884321, 884920, 885913, 886400, 886917, 887154, 887415, 888206, 888821, 889414, 890037, 890423, 892597, 892987, 893290, 893884, 894448, 894857, 895138, 895383, 895976, 896486, 897106, 898629, 899089, 899521, 900124, 900344, 901016, 901136, 901399, 901925, 902316, 904702, 905385, 905568, 905728, 906155, 906416, 906820, 907215, 907836, 908228, 908474, 909073, 909572, 909892, 911779, 911960, 912363, 912760, 912958, 916296, 917401, 917537, 917923, 918144, 918306, 918619, 919241, 919639, 920031, 920193, 920798, 921396, 921588, 922203, 923161, 923953, 924254, 924457, 925038, 925430, 925920, 926204, 926646, 927059, 927449, 928445, 928827, 929254, 929562, 930170, 930578, 931440, 932384, 932890, 933336, 933806, 934745, 935336, 935915, 936435, 936830, 937066, 937686, 938272, 938892, 939501, 939610, 940018, 940907, 941282, 941683, 942965, 944531, 944724, 945532, 946117, 947098, 947323, 947927, 948677, 949794, 950962, 952154, 952744, 953144, 953785, 954213, 954807, 955245, 955639, 956028, 956426, 957161, 957462, 958429, 959014, 959412, 959900, 960777, 962561, 963324, 963663, 964656, 966157, 967117, 968313, 969200, 969748, 970535, 971354, 971939, 972696, 973103, 973915, 974258, 974472, 974870, 975689, 976405, 976997, 977558, 977724, 978275, 978687, 979063, 979799, 980196, 980617, 980822, 981035, 981442, 981778, 982428, 982793, 983391, 983981, 984509, 984915, 985323, 985930, 986279, 986773, 987183, 987397, 988072, 988594, 989563, 990105, 992051, 992623, 992992, 994315, 994678, 995069, 995270, 995580, 995986, 996399, 996659, 996855, 997869, 998388, 998779, 999972]"
5,sine_abrupt_1M_0,HT_EDDM_F,0.9694579694579695,0.9388985847711855,00:01:41,561.7 KB,"[419, 1498, 2354, 2775, 3233, 4666, 5388, 200470, 400679, 400872, 603106, 603544, 808888, 809296, 810223, 810895, 811732, 812045]"
6,sine_abrupt_1M_0,HT_GMA_F,0.8951048951048951,0.7901780043113373,00:01:54,2.76 MB,[]
7,sine_abrupt_1M_0,HT_HDDMA_F,0.9749089749089749,0.9498066244138519,00:01:56,523.53 KB,"[200038, 400073, 600007, 800015]"
8,sine_abrupt_1M_0,HT_HDDMW_F,0.973967973967974,0.9479224146127446,00:01:51,525.05 KB,"[200009, 400012, 600008, 800011]"
9,sine_abrupt_1M_0,HT_KSWIN1_F,0.9742299742299743,0.948446515940976,00:05:32,522.82 KB,"[200015, 400021, 600014, 800021]"
