,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_1M_0,NoChange_basic_F,0.5044655044655044,0.008689670370944761,00:00:23,739 B,[]
1,sine_abrupt_1M_0,MajClass_basic_F,0.5077885077885078,0.012497921937201248,00:00:31,845 B,[]
2,sine_abrupt_1M_0,NB_basic_F,0.5889495889495889,0.17795424165850546,00:01:33,17.11 KB,[]
3,sine_abrupt_1M_0,NB_ADWIN_F,0.8929298929298929,0.7857852938189485,00:03:22,28.33 KB,"[200351, 400383, 600607, 800639]"
4,sine_abrupt_1M_0,NB_CUSUM_F,0.8941278941278942,0.7881817858618476,00:02:36,17.92 KB,"[200026, 400029, 495032, 533664, 600065, 695032, 733664, 800076]"
5,sine_abrupt_1M_0,NB_DDM_F,0.8714488714488714,0.7428113968593584,00:02:47,32.54 KB,"[200202, 400306, 400412, 400460, 400542, 628716, 628871, 629000, 803992]"
6,sine_abrupt_1M_0,NB_ECDD_F,0.8898218898218898,0.7795776117706215,00:02:48,87.53 KB,"[521, 1642, 2607, 3308, 4146, 4446, 5990, 6131, 6178, 6652, 7545, 8309, 9053, 10260, 10834, 10943, 11760, 12855, 14024, 14597, 14877, 15446, 16943, 17973, 18253, 18742, 19416, 19935, 20487, 20776, 20988, 21227, 21981, 23350, 24499, 24909, 25684, 26440, 26816, 27214, 27659, 28112, 28375, 29848, 31306, 33293, 34084, 34720, 36259, 36831, 37443, 38654, 40132, 40966, 41561, 42250, 42547, 43032, 43225, 44219, 45213, 45935, 46298, 46990, 47768, 47806, 48321, 50621, 51149, 51348, 51782, 52036, 52690, 53828, 54236, 54724, 54844, 55043, 55353, 56072, 56383, 56620, 58431, 59911, 60090, 61091, 62038, 62606, 63269, 63515, 64786, 65316, 66888, 67863, 68132, 68393, 68789, 69795, 71209, 71983, 72527, 74587, 74659, 75780, 75922, 76522, 77806, 79227, 80324, 81073, 81948, 84321, 84970, 85620, 86397, 86932, 87154, 88117, 89417, 90185, 91291, 92038, 92670, 93052, 94073, 94857, 95139, 95550, 96193, 97495, 98506, 99089, 99603, 100344, 100503, 100619, 100961, 101136, 101404, 101925, 102477, 103878, 104513, 104827, 105221, 105728, 106155, 106770, 107215, 107836, 108692, 109572, 110262, 111499, 112239, 112957, 113870, 114284, 115363, 116720, 117494, 117984, 118306, 118617, 118916, 119497, 120285, 121094, 121588, 122932, 124647, 125790, 126203, 126949, 128530, 131195, 132384, 133806, 135458, 136105, 137066, 137451, 137924, 138169, 138892, 139704, 140460, 140907, 141788, 142772, 143177, 143715, 144783, 145766, 146438, 146735, 147228, 148202, 148677, 148997, 149306, 150019, 152142, 153513, 154942, 155491, 156310, 157401, 158429, 159014, 160777, 161481, 162433, 163357, 164895, 165990, 166380, 166453, 167363, 168332, 168915, 170038, 171437, 173143, 173912, 174258, 174974, 175995, 176997, 177724, 178220, 180241, 181035, 181449, 182077, 182552, 182793, 183453, 184194, 185006, 186279, 188320, 188443, 188883, 191010, 191100, 191201, 192040, 192991, 193441, 193877, 194270, 194532, 195580, 195992, 196260, 196868, 198364, 200000, 200521, 201642, 202394, 202547, 202607, 203308, 203954, 204319, 205748, 206654, 208252, 210338, 210834, 210974, 211760, 212855, 214024, 214597, 214877, 215446, 216943, 217973, 218253, 218742, 219416, 219935, 220487, 220776, 220988, 221227, 221981, 223350, 224499, 224909, 225684, 226440, 226816, 227214, 227659, 228112, 228375, 229848, 231306, 233293, 234084, 234720, 236259, 236831, 237443, 238654, 240132, 240966, 241561, 242250, 242547, 243032, 243225, 244219, 245213, 245935, 246298, 246990, 247768, 247806, 248321, 250621, 251149, 251348, 251782, 252036, 252690, 253828, 254236, 254724, 254844, 255043, 255353, 256072, 256383, 256620, 258431, 259911, 260090, 261091, 262038, 262606, 263269, 263515, 264786, 265316, 266888, 267863, 268132, 268393, 268789, 269795, 271209, 271983, 272527, 274587, 274659, 275780, 275922, 276522, 277806, 279227, 280324, 281073, 281948, 284321, 284970, 285620, 286397, 286932, 287154, 288117, 289417, 290185, 291291, 292038, 292670, 293052, 294073, 294857, 295139, 295550, 296193, 297495, 298506, 299089, 299603, 300344, 300503, 300619, 300961, 301136, 301404, 301925, 302477, 303878, 304513, 304827, 305221, 305728, 306155, 306770, 307215, 307836, 308692, 309572, 310262, 311499, 312239, 312957, 313870, 314284, 315363, 316720, 317494, 317984, 318306, 318617, 318916, 319497, 320285, 321094, 321588, 322932, 324647, 325790, 326203, 326949, 328530, 331195, 332384, 333806, 335458, 336105, 337066, 337451, 337924, 338169, 338892, 339704, 340460, 340907, 341788, 342772, 343177, 343715, 344783, 345766, 346438, 346735, 347228, 348202, 348677, 348997, 349306, 350019, 352142, 353513, 354942, 355491, 356310, 357401, 358429, 359014, 360777, 361481, 362433, 363357, 364895, 365990, 366380, 366453, 367363, 368332, 368915, 370038, 371437, 373143, 373912, 374258, 374974, 375995, 376997, 377724, 378220, 380241, 381035, 381449, 382077, 382552, 382793, 383453, 384194, 385006, 386279, 388320, 388443, 388883, 391010, 391100, 391201, 392040, 392991, 393441, 393877, 394270, 394532, 395580, 395992, 396260, 396868, 398364, 400000, 400532, 401168, 401401, 401527, 401720, 402090, 403100, 403935, 404160, 404386, 404744, 404858, 404979, 405336, 405730, 406830, 407111, 407237, 407393, 407654, 407809, 408234, 408552, 408809, 409010, 409597, 410466, 410637, 410700, 410810, 411160, 411545, 411722, 412165, 413166, 413431, 414367, 415286, 415439, 415627, 416127, 416246, 417091, 417959, 419317, 420272, 420685, 420749, 420975, 421410, 422160, 422361, 422530, 424080, 425001, 425199, 425440, 425753, 426041, 426948, 427563, 428865, 429020, 429214, 429359, 429970, 430937, 431103, 431151, 431827, 432144, 432417, 434020, 434240, 434897, 435086, 435180, 435495, 435681, 435773, 436074, 436941, 437153, 437642, 438014, 438879, 439452, 439645, 439767, 440906, 441080, 441732, 442305, 442458, 442528, 443251, 443622, 444322, 445212, 446599, 447771, 448995, 449498, 449997, 450252, 451492, 452295, 453538, 453767, 454371, 454776, 455184, 455321, 455991, 456241, 456814, 457090, 457439, 457700, 458181, 458324, 458734, 459187, 459764, 460573, 460790, 461017, 461093, 461481, 461930, 462171, 462809, 462946, 463284, 463805, 465092, 465290, 465775, 465969, 466770, 466913, 467361, 468113, 468327, 468533, 469407, 469679, 471560, 473028, 473288, 473683, 473780, 474758, 475289, 476553, 477886, 478244, 478373, 478974, 479531, 480248, 480556, 480715, 481055, 481471, 481867, 482520, 482751, 482875, 483261, 483869, 485050, 485278, 485668, 486038, 486958, 487368, 487947, 489384, 490185, 490504, 491364, 492025, 492854, 493170, 493658, 493841, 493999, 494734, 495156, 495653, 495737, 496227, 496536, 497140, 497665, 498227, 498628, 499796, 500664, 500961, 501136, 501324, 501938, 503084, 503486, 505029, 505203, 505395, 506120, 507388, 508218, 508602, 508908, 510020, 510741, 511154, 511391, 511804, 512574, 513235, 513666, 514185, 514376, 514830, 516413, 516633, 517940, 518200, 518525, 518849, 519314, 519823, 520341, 521178, 521787, 521867, 522053, 523471, 524268, 524461, 524682, 525156, 525511, 526078, 526793, 527321, 528432, 528774, 528874, 528968, 529389, 529552, 529884, 530331, 530856, 530917, 531826, 532441, 533376, 534900, 535193, 535271, 535746, 536488, 537121, 537607, 537755, 537810, 538036, 538106, 538459, 538892, 538984, 539883, 540336, 540485, 540943, 541646, 542638, 543522, 543866, 544424, 544568, 544827, 545316, 545781, 546158, 547235, 547613, 548740, 549242, 549828, 550386, 551477, 552181, 552865, 553162, 553392, 553814, 554744, 555584, 556222, 556465, 556954, 558144, 558548, 558638, 558709, 559592, 559787, 560151, 560999, 561429, 561917, 562251, 562925, 563177, 563296, 563466, 563577, 564395, 564923, 565158, 565384, 565567, 565845, 566307, 566613, 567190, 567414, 567723, 568342, 568730, 569053, 569935, 570694, 570877, 571248, 571735, 572634, 572972, 573759, 573997, 574701, 575537, 575634, 576004, 576683, 577916, 578734, 579158, 580025, 580616, 582435, 583269, 583881, 584191, 584367, 584986, 585305, 586020, 586542, 587123, 587400, 587986, 588719, 589120, 589211, 589322, 589612, 589663, 590180, 591073, 592226, 593197, 593569, 593764, 594116, 594896, 595868, 596297, 596572, 596992, 597289, 598020, 598535, 599204, 599929, 600003, 600404, 600778, 601401, 601621, 602090, 602273, 603100, 603935, 604160, 604386, 604744, 604858, 604979, 605336, 605730, 606830, 607111, 607237, 607393, 607654, 607809, 608234, 608552, 608809, 609010, 609597, 610466, 610637, 610700, 610810, 611160, 611545, 611722, 612165, 613166, 613431, 614367, 615286, 615439, 615627, 616127, 616246, 617091, 617959, 619317, 620272, 620685, 620749, 620975, 621410, 622160, 622361, 622530, 624080, 625001, 625199, 625440, 625753, 626041, 626948, 627563, 628865, 629020, 629214, 629359, 629970, 630937, 631103, 631151, 631827, 632144, 632417, 634020, 634240, 634897, 635086, 635180, 635495, 635681, 635773, 636074, 636941, 637153, 637642, 638014, 638879, 639452, 639645, 639767, 640906, 641080, 641732, 642305, 642458, 642528, 643251, 643622, 644322, 645212, 646599, 647771, 648995, 649498, 649997, 650252, 651492, 652295, 653538, 653767, 654371, 654776, 655184, 655321, 655991, 656241, 656814, 657090, 657439, 657700, 658181, 658324, 658734, 659187, 659764, 660573, 660790, 661017, 661093, 661481, 661930, 662171, 662809, 662946, 663284, 663805, 665092, 665290, 665775, 665969, 666770, 666913, 667361, 668113, 668327, 668533, 669407, 669679, 671560, 673028, 673288, 673683, 673780, 674758, 675289, 676553, 677886, 678244, 678373, 678974, 679531, 680248, 680556, 680715, 681055, 681471, 681867, 682520, 682751, 682875, 683261, 683869, 685050, 685278, 685668, 686038, 686958, 687368, 687947, 689384, 690185, 690504, 691364, 692025, 692854, 693170, 693658, 693841, 693999, 694734, 695156, 695653, 695737, 696227, 696536, 697140, 697665, 698227, 698628, 699796, 700664, 700961, 701136, 701324, 701938, 703084, 703486, 705029, 705203, 705395, 706120, 707388, 708218, 708602, 708908, 710020, 710741, 711154, 711391, 711804, 712574, 713235, 713666, 714185, 714376, 714830, 716413, 716633, 717940, 718200, 718525, 718849, 719314, 719823, 720341, 721178, 721787, 721867, 722053, 723471, 724268, 724461, 724682, 725156, 725511, 726078, 726793, 727321, 728432, 728774, 728874, 728968, 729389, 729552, 729884, 730331, 730856, 730917, 731826, 732441, 733376, 734900, 735193, 735271, 735746, 736488, 737121, 737607, 737755, 737810, 738036, 738106, 738459, 738892, 738984, 739883, 740336, 740485, 740943, 741646, 742638, 743522, 743866, 744424, 744568, 744827, 745316, 745781, 746158, 747235, 747613, 748740, 749242, 749828, 750386, 751477, 752181, 752865, 753162, 753392, 753814, 754744, 755584, 756222, 756465, 756954, 758144, 758548, 758638, 758709, 759592, 759787, 760151, 760999, 761429, 761917, 762251, 762925, 763177, 763296, 763466, 763577, 764395, 764923, 765158, 765384, 765567, 765845, 766307, 766613, 767190, 767414, 767723, 768342, 768730, 769053, 769935, 770694, 770877, 771248, 771735, 772634, 772972, 773759, 773997, 774701, 775537, 775634, 776004, 776683, 777916, 778734, 779158, 780025, 780616, 782435, 783269, 783881, 784191, 784367, 784986, 785305, 786020, 786542, 787123, 787400, 787986, 788719, 789120, 789211, 789322, 789612, 789663, 790180, 791073, 792226, 793197, 793569, 793764, 794116, 794896, 795868, 796297, 796572, 796992, 797289, 798020, 798535, 799204, 799929, 800005, 800421, 801642, 802394, 802607, 803308, 803752, 804590, 805748, 806653, 807545, 808330, 809431, 810050, 811965, 813439, 814024, 814597, 814877, 815446, 816960, 817973, 818253, 818742, 819416, 820041, 820218, 821086, 821549, 822629, 823975, 824909, 825684, 825727, 826040, 826440, 827858, 828003, 828375, 829848, 831306, 832997, 833496, 834047, 834720, 836259, 836834, 836957, 837565, 838845, 840522, 840966, 841561, 842243, 842547, 843032, 843225, 844219, 845213, 845935, 846298, 846990, 847768, 847806, 848321, 850621, 851149, 851348, 851782, 852036, 852690, 853828, 854236, 854724, 854844, 855043, 855353, 856072, 856383, 856620, 858431, 859911, 860090, 861091, 862038, 862606, 863269, 863515, 864786, 865316, 866888, 867863, 868132, 868393, 868789, 869795, 871209, 871983, 872527, 874587, 874659, 875780, 875922, 876522, 877806, 879227, 880324, 881073, 881948, 884321, 884970, 885620, 886397, 886932, 887154, 888117, 889417, 890185, 891291, 892038, 892670, 893052, 894073, 894857, 895139, 895550, 896193, 897495, 898506, 899089, 899603, 900344, 900503, 900619, 900961, 901136, 901404, 901925, 902477, 903878, 904513, 904827, 905221, 905728, 906155, 906770, 907215, 907836, 908692, 909572, 910262, 911499, 912239, 912957, 913870, 914284, 915363, 916720, 917494, 917984, 918306, 918617, 918916, 919497, 920285, 921094, 921588, 922932, 924647, 925790, 926203, 926949, 928530, 931195, 932384, 933806, 935458, 936105, 937066, 937451, 937924, 938169, 938892, 939704, 940460, 940907, 941788, 942772, 943177, 943715, 944783, 945766, 946438, 946735, 947228, 948202, 948677, 948997, 949306, 950019, 952142, 953513, 954942, 955491, 956310, 957401, 958429, 959014, 960777, 961481, 962433, 963357, 964895, 965990, 966380, 966453, 967363, 968332, 968915, 970038, 971437, 973143, 973912, 974258, 974974, 975995, 976997, 977724, 978220, 980241, 981035, 981449, 982077, 982552, 982793, 983453, 984194, 985006, 986279, 988320, 988443, 988883, 991010, 991100, 991201, 992040, 992991, 993441, 993877, 994270, 994532, 995580, 995992, 996260, 996868, 998364]"
7,sine_abrupt_1M_0,NB_EDDM_F,0.8772038772038772,0.7543286406237891,00:02:27,34.76 KB,"[434, 3584, 3856, 200448, 200543, 202827, 209790, 209883, 210101, 404947, 405132, 405359, 405508, 405651, 405831, 411540, 411648, 411835, 411997, 412171, 412315, 412452, 412887, 414378, 414433, 414615, 607873, 608068, 608239, 608383, 608832, 811421, 811615, 811787, 812067, 814169, 817521, 818778, 822207, 834756, 834828, 844905, 844978, 845319, 846147, 851516, 851595, 853202, 853289, 853878, 854270, 854952, 856733, 856847]"
8,sine_abrupt_1M_0,NB_GMA_F,0.5889495889495889,0.17795424165850546,00:02:30,17.55 KB,[]
9,sine_abrupt_1M_0,NB_HDDMA_F,0.8942168942168942,0.788359630225618,00:02:53,33.28 KB,"[200042, 400049, 430026, 600018, 630026, 800025]"
