,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_1M_0,BOLE_basic_F,0.9882639882639883,0.9765221201091722,00:11:06,86.6 MB,[]
1,sine_gradual_1M_0,BOLE_ADWIN_F,0.9213169213169213,0.8425937388277174,00:18:44,686.8 KB,[]
2,sine_gradual_1M_0,BOLE_CUSUM_F,0.9784199784199784,0.9568289052252874,00:13:04,2.11 MB,[]
3,sine_gradual_1M_0,BOLE_DDM_F,0.9807779807779807,0.9615470582994988,00:13:18,4.96 MB,[]
4,sine_gradual_1M_0,BOLE_ECDD_F,0.8442858442858443,0.6884959682641214,00:14:31,4.07 MB,[]
5,sine_gradual_1M_0,BOLE_EDDM_F,0.9717909717909717,0.9435710066294148,00:11:41,11.45 MB,[]
6,sine_gradual_1M_0,BOLE_GMA_F,0.9882639882639883,0.9765221201091722,00:14:34,86.62 MB,[]
7,sine_gradual_1M_0,BOLE_HDDMA_F,0.868024868024868,0.735986935360596,00:15:46,2.92 MB,[]
8,sine_gradual_1M_0,BOLE_HDDMW_F,0.9003299003299003,0.8006114577628639,00:15:37,1.65 MB,[]
9,sine_gradual_1M_0,BOLE_PH_F,0.9917209917209917,0.983437996307724,00:12:17,6.56 MB,[]
10,sine_gradual_1M_0,BOLE_RDDM_F,0.936007936007936,0.8719833639028618,00:13:24,3.12 MB,[]
11,sine_gradual_1M_0,BOLE_STEPD_F,0.8737568737568737,0.7474521297612942,00:25:20,2.88 MB,[]
12,sine_gradual_1M_2,BOLE_basic_F,0.9871049871049871,0.9742029356971409,00:11:00,83.31 MB,[]
13,sine_gradual_1M_2,BOLE_ADWIN_F,0.9210819210819211,0.8421240589693114,00:20:02,733.93 KB,[]
14,sine_gradual_1M_2,BOLE_CUSUM_F,0.9761229761229762,0.9522318929999092,00:14:09,1.82 MB,[]
15,sine_gradual_1M_2,BOLE_DDM_F,0.9794049794049794,0.9587993950083021,00:14:46,4.54 MB,[]
16,sine_gradual_1M_2,BOLE_ECDD_F,0.8447918447918448,0.6894911983515536,00:15:58,4.12 MB,[]
17,sine_gradual_1M_2,BOLE_EDDM_F,0.9684049684049684,0.9367956840264667,00:12:38,8.86 MB,[]
18,sine_gradual_1M_2,BOLE_GMA_F,0.9871049871049871,0.9742029356971409,00:15:49,83.33 MB,[]
19,sine_gradual_1M_2,BOLE_HDDMA_F,0.8672058672058672,0.7343402112881494,00:16:20,2.98 MB,[]
20,sine_gradual_1M_2,BOLE_HDDMW_F,0.8998698998698998,0.7996839432534364,00:16:06,1.7 MB,[]
21,sine_gradual_1M_2,BOLE_PH_F,0.9926799926799926,0.9853559184835667,00:12:49,8.96 MB,[]
22,sine_gradual_1M_2,BOLE_RDDM_F,0.9457059457059457,0.8913860844088214,00:13:48,2.54 MB,[]
23,sine_gradual_1M_2,BOLE_STEPD_F,0.8731448731448731,0.7462156238272876,00:25:52,2.9 MB,[]
24,sine_gradual_1M_4,BOLE_basic_F,0.9863299863299864,0.972652299101133,00:11:09,77.87 MB,[]
25,sine_gradual_1M_4,BOLE_ADWIN_F,0.9213739213739214,0.8427055268030486,00:18:58,745.79 KB,[]
26,sine_gradual_1M_4,BOLE_CUSUM_F,0.9793949793949794,0.9587791757736176,00:13:14,1.07 MB,[]
27,sine_gradual_1M_4,BOLE_DDM_F,0.9770659770659771,0.9541192624133747,00:14:30,3.94 MB,[]
28,sine_gradual_1M_4,BOLE_ECDD_F,0.8452098452098452,0.6903241120715148,00:15:06,4.11 MB,[]
29,sine_gradual_1M_4,BOLE_EDDM_F,0.9737719737719738,0.9475312685354175,00:12:06,5.9 MB,[]
30,sine_gradual_1M_4,BOLE_GMA_F,0.9863299863299864,0.972652299101133,00:14:45,77.89 MB,[]
31,sine_gradual_1M_4,BOLE_HDDMA_F,0.8685978685978686,0.7371220463472423,00:16:39,3.06 MB,[]
32,sine_gradual_1M_4,BOLE_HDDMW_F,0.900991900991901,0.8019262655836704,00:16:27,1.69 MB,[]
33,sine_gradual_1M_4,BOLE_PH_F,0.991957991957992,0.9839114988208592,00:13:27,7.02 MB,[]
34,sine_gradual_1M_4,BOLE_RDDM_F,0.9338669338669339,0.8677036647832853,00:14:14,2.17 MB,[]
35,sine_gradual_1M_4,BOLE_STEPD_F,0.8750818750818751,0.7500847336849236,00:26:17,2.94 MB,[]
36,sine_gradual_1M_6,BOLE_basic_F,0.9874639874639874,0.9749217470705374,00:11:43,89.1 MB,[]
37,sine_gradual_1M_6,BOLE_ADWIN_F,0.9212829212829213,0.8425321678522066,00:20:20,857.44 KB,[]
38,sine_gradual_1M_6,BOLE_CUSUM_F,0.9783409783409783,0.9566718711973781,00:14:21,1.54 MB,[]
39,sine_gradual_1M_6,BOLE_DDM_F,0.9807759807759808,0.9615435557033662,00:14:25,3.76 MB,[]
40,sine_gradual_1M_6,BOLE_ECDD_F,0.8446418446418447,0.6892069167265282,00:15:50,4.09 MB,[]
41,sine_gradual_1M_6,BOLE_EDDM_F,0.9732269732269733,0.9464415400483338,00:12:28,6.87 MB,[]
42,sine_gradual_1M_6,BOLE_GMA_F,0.9874639874639874,0.9749217470705374,00:15:37,89.12 MB,[]
43,sine_gradual_1M_6,BOLE_HDDMA_F,0.867999867999868,0.7359350356379247,00:16:47,2.95 MB,[]
44,sine_gradual_1M_6,BOLE_HDDMW_F,0.8991348991348992,0.7982227926872368,00:16:33,1.65 MB,[]
45,sine_gradual_1M_6,BOLE_PH_F,0.9916329916329917,0.9832616487836847,00:12:48,5.73 MB,[]
46,sine_gradual_1M_6,BOLE_RDDM_F,0.938933938933939,0.8778426611661582,00:13:55,2.34 MB,[]
47,sine_gradual_1M_6,BOLE_STEPD_F,0.8741268741268742,0.7481878303399597,00:26:20,2.92 MB,[]
48,sine_gradual_1M_8,BOLE_basic_F,0.9860689860689861,0.9721297582003415,00:11:15,76.15 MB,[]
49,sine_gradual_1M_8,BOLE_ADWIN_F,0.9203129203129203,0.8405856564753245,00:19:27,775.65 KB,[]
50,sine_gradual_1M_8,BOLE_CUSUM_F,0.9785009785009785,0.9569904515574792,00:13:45,1.7 MB,[]
51,sine_gradual_1M_8,BOLE_DDM_F,0.9795459795459796,0.9590803933642464,00:14:12,4.61 MB,[]
52,sine_gradual_1M_8,BOLE_ECDD_F,0.8448128448128448,0.6895316681298036,00:15:02,4.03 MB,[]
53,sine_gradual_1M_8,BOLE_EDDM_F,0.9646019646019646,0.9291893374879824,00:11:45,7.42 MB,[]
54,sine_gradual_1M_8,BOLE_GMA_F,0.9860689860689861,0.9721297582003415,00:14:29,76.17 MB,[]
55,sine_gradual_1M_8,BOLE_HDDMA_F,0.866986866986867,0.7338942802396501,00:16:27,2.94 MB,[]
56,sine_gradual_1M_8,BOLE_HDDMW_F,0.8979178979178979,0.7957761163558913,00:15:54,1.9 MB,[]
57,sine_gradual_1M_8,BOLE_PH_F,0.9924719924719925,0.9849397713291628,00:12:21,7.16 MB,[]
