,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_1M_0,BOLE_KSWIN1_F,0.9448539448539448,0.8896794966947307,01:09:20,1.57 MB,[]
1,sine_gradual_1M_0,BOLE_KSWIN51_F,0.9514869514869515,0.9029527984980653,01:09:58,1.07 MB,[]
2,sine_gradual_1M_0,BOLE_KSWIN101_F,0.9413659413659413,0.8827055737715873,01:12:18,1.96 MB,[]
3,sine_gradual_1M_0,BOLE_KSWIN151_F,0.9443159443159443,0.8886067781936174,01:12:09,1.63 MB,[]
4,sine_gradual_1M_0,BOLE_KSWIN201_F,0.9507429507429508,0.9014628313866317,01:12:45,1.11 MB,[]
5,sine_gradual_1M_2,BOLE_KSWIN1_F,0.9385359385359385,0.8770381853043425,01:13:29,1.51 MB,[]
6,sine_gradual_1M_2,BOLE_KSWIN51_F,0.9432809432809433,0.8865273755331008,01:13:01,1.79 MB,[]
7,sine_gradual_1M_2,BOLE_KSWIN101_F,0.9561519561519561,0.9122807610693171,01:11:51,1.27 MB,[]
8,sine_gradual_1M_2,BOLE_KSWIN151_F,0.9473169473169473,0.8946089826690536,00:58:43,1.69 MB,[]
9,sine_gradual_1M_2,BOLE_KSWIN201_F,0.9520219520219521,0.9040204690276814,00:58:56,1.68 MB,[]
10,sine_gradual_1M_4,BOLE_KSWIN1_F,0.94005294005294,0.8800795995101433,00:58:57,1.23 MB,[]
11,sine_gradual_1M_4,BOLE_KSWIN51_F,0.9417039417039417,0.8833783606012328,00:58:48,1.4 MB,[]
12,sine_gradual_1M_4,BOLE_KSWIN101_F,0.9452159452159452,0.8904075451903469,01:00:22,1.63 MB,[]
13,sine_gradual_1M_4,BOLE_KSWIN151_F,0.9365529365529366,0.8730738996572526,01:05:11,1.63 MB,[]
14,sine_gradual_1M_4,BOLE_KSWIN201_F,0.9486949486949487,0.897363414411337,01:00:10,1.39 MB,[]
15,sine_gradual_1M_6,BOLE_KSWIN1_F,0.9562349562349562,0.9124527534015707,00:59:31,1.41 MB,[]
16,sine_gradual_1M_6,BOLE_KSWIN51_F,0.9458819458819459,0.8917426566077792,00:59:01,1.45 MB,[]
17,sine_gradual_1M_6,BOLE_KSWIN101_F,0.9421449421449422,0.8842655765783943,01:09:05,1.73 MB,[]
18,sine_gradual_1M_6,BOLE_KSWIN151_F,0.9389809389809389,0.877932416687748,01:13:28,1.97 MB,[]
19,sine_gradual_1M_6,BOLE_KSWIN201_F,0.9357149357149357,0.8713999210891862,01:13:31,1.68 MB,[]
20,sine_gradual_1M_8,BOLE_KSWIN1_F,0.9536359536359537,0.9072434313861094,01:13:49,1.66 MB,[]
21,sine_gradual_1M_8,BOLE_KSWIN51_F,0.9623429623429623,0.9246642529788712,01:12:32,1.72 MB,[]
22,sine_gradual_1M_8,BOLE_KSWIN101_F,0.9462569462569462,0.8924805017569666,01:14:24,1.46 MB,[]
23,sine_gradual_1M_8,BOLE_KSWIN151_F,0.9567119567119567,0.9134041791725536,01:01:48,1.12 MB,[]
24,sine_gradual_1M_8,BOLE_KSWIN201_F,0.9395829395829396,0.8791331601961077,00:59:16,1.81 MB,[]
25,sine_gradual_1M_10,BOLE_KSWIN1_F,0.9504519504519504,0.900876977515708,00:59:59,1.56 MB,[]
26,sine_gradual_1M_10,BOLE_KSWIN51_F,0.9478189478189478,0.8956070684981748,01:05:50,1.54 MB,[]
27,sine_gradual_1M_10,BOLE_KSWIN101_F,0.9367149367149367,0.8733989662598443,01:06:19,1.92 MB,[]
28,sine_gradual_1M_10,BOLE_KSWIN151_F,0.9408159408159408,0.8816030040224272,01:06:31,1.05 MB,[]
29,sine_gradual_1M_10,BOLE_KSWIN201_F,0.9313929313929314,0.8627547539395023,01:02:36,1.46 MB,[]
30,sine_gradual_1M_12,BOLE_KSWIN1_F,0.9600439600439601,0.920069588891264,00:59:49,1.42 MB,[]
31,sine_gradual_1M_12,BOLE_KSWIN51_F,0.936010936010936,0.8719918550811682,01:11:03,1.13 MB,[]
32,sine_gradual_1M_12,BOLE_KSWIN101_F,0.9554039554039554,0.9107823040463083,01:13:16,1.58 MB,[]
