,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_1M_0,HT_basic_F,0.8965598965598965,0.7930647139267057,00:01:27,2.85 MB,[]
1,sine_gradual_1M_0,HT_ADWIN_F,0.9274519274519275,0.8548609130630583,00:02:41,119.48 KB,"[2527, 4319, 6495, 9983, 11743, 13887, 20159, 22559, 27167, 30815, 32447, 36031, 39935, 43743, 45279, 49439, 56479, 57503, 61183, 65183, 66719, 70719, 77311, 79647, 82143, 86143, 89215, 92287, 95359, 99295, 101503, 105087, 109535, 113247, 117791, 118943, 123551, 125695, 129759, 136863, 139935, 141727, 145823, 150431, 154847, 157151, 160863, 167391, 170783, 175103, 179199, 183295, 184831, 188735, 192607, 195007, 199967, 200415, 201023, 204607, 208703, 211135, 215231, 223199, 225407, 229439, 233023, 236223, 239967, 243903, 250047, 256223, 258271, 259903, 262207, 266303, 270399, 274591, 276639, 280223, 284767, 285951, 290559, 292095, 295167, 299295, 302879, 304447, 311615, 315199, 322015, 326111, 329695, 335839, 338911, 346079, 348607, 352191, 356287, 359871, 363135, 366719, 371327, 375327, 381471, 385567, 389247, 395679, 400063, 400511, 420159, 432447, 440095, 452383, 459551, 469151, 482463, 494751, 500927, 517311, 534975, 540223, 554655, 559295, 568543, 582879, 583903, 597247, 598271, 600095, 600575, 620767, 633055, 640863, 658303, 665983, 675199, 677663, 694047, 710431, 730303, 739519, 748735, 757151, 766143, 784575, 798399, 800191, 802367, 804607, 808063, 809599, 813951, 820095, 826239, 828735, 832639, 835711, 839903, 842175, 846271, 851103, 854687, 858527, 864735, 868319, 870367, 876511, 878815, 885823, 889727, 894079, 897983, 900031, 903615, 907199, 911359, 915199, 919295, 921727, 925887, 928415, 929567, 931359, 934783, 941887, 946015, 949599, 951647, 959007, 960799, 962367, 964575, 968543, 970079, 974687, 978303, 979839, 983391, 987839, 991775, 995327]"
2,sine_gradual_1M_0,HT_CUSUM_F,0.976106976106976,0.9522019025074819,00:01:51,530.41 KB,"[199934, 400006, 600015, 800084]"
3,sine_gradual_1M_0,HT_DDM_F,0.975017975017975,0.9500231655362606,00:01:52,561.28 KB,"[200020, 400086, 600243, 800328]"
4,sine_gradual_1M_0,HT_ECDD_F,0.8959238959238959,0.7917886704146336,00:02:02,98.18 KB,"[756, 1037, 1443, 1854, 2607, 3181, 3385, 3752, 4150, 4446, 5031, 5619, 6610, 7202, 7798, 8236, 8816, 9053, 9431, 10050, 10450, 11260, 11760, 11954, 12855, 13441, 14270, 14461, 14866, 15446, 16076, 16662, 17003, 17589, 17929, 18252, 18742, 19333, 19927, 20327, 20776, 20976, 21179, 21548, 22355, 23330, 23958, 24686, 25281, 25684, 26500, 27269, 27846, 28387, 28778, 29772, 30361, 31306, 31603, 32057, 33123, 33496, 34047, 34720, 35706, 36259, 36661, 36834, 37444, 38233, 38654, 40004, 40551, 40961, 41561, 41987, 43010, 43527, 44880, 45213, 45935, 46298, 46990, 47768, 48134, 48930, 49892, 50477, 51277, 51347, 51811, 52034, 52637, 53056, 53517, 54038, 54659, 54844, 55043, 55345, 55948, 56381, 57529, 57881, 58883, 59658, 60085, 60820, 61091, 61597, 62601, 63187, 65352, 65887, 65992, 66588, 66888, 67298, 67862, 68460, 68874, 69795, 70191, 70581, 70993, 71983, 72373, 73179, 73442, 74250, 74646, 75240, 75479, 75946, 76522, 77878, 78205, 79352, 81070, 81472, 81872, 82470, 82666, 83876, 84321, 84970, 85620, 86392, 86789, 87608, 87844, 88447, 89680, 90185, 90790, 91291, 92038, 94212, 94381, 94857, 95138, 95383, 95976, 96486, 97106, 98629, 99089, 99521, 100124, 100344, 101016, 101136, 101399, 101925, 102316, 104702, 105385, 105568, 105728, 106155, 106416, 106820, 107215, 107836, 108228, 108474, 109073, 109572, 109892, 111779, 111960, 112363, 112760, 112958, 116296, 117401, 117537, 117923, 118144, 118306, 118619, 119241, 119639, 120031, 120193, 120798, 121396, 121588, 122203, 123161, 123953, 124254, 124457, 125038, 125430, 125920, 126204, 126646, 127059, 127449, 128445, 128827, 129254, 129562, 130170, 130578, 131440, 132384, 132890, 133336, 133806, 134745, 135336, 135915, 136435, 136830, 137066, 137686, 138272, 138892, 139501, 139610, 140018, 140907, 141282, 141683, 142965, 144531, 144724, 145532, 146117, 147098, 147323, 147927, 148677, 149794, 150962, 152154, 152744, 153144, 153785, 154213, 154807, 155245, 155639, 156028, 156426, 157161, 157462, 158429, 159014, 159412, 159900, 160777, 162561, 163324, 163663, 164656, 166157, 167117, 168313, 169200, 169748, 170535, 171354, 171939, 172696, 173103, 173915, 174258, 174472, 174870, 175689, 176405, 176997, 177558, 177724, 178275, 178687, 179063, 179799, 180196, 180617, 180822, 181035, 181442, 181778, 182428, 182793, 183391, 183981, 184509, 184915, 185323, 185930, 186279, 186773, 187183, 187397, 188072, 188594, 189563, 190105, 192051, 192623, 192992, 194315, 194678, 195069, 195270, 195580, 195986, 196399, 196659, 196855, 197869, 198388, 198779, 199327, 199839, 202202, 202256, 202621, 202845, 203240, 204458, 205621, 206668, 207254, 207773, 208163, 208759, 209445, 210138, 211919, 212451, 212868, 213455, 214248, 214611, 214816, 215460, 216063, 216467, 217448, 217982, 218178, 218756, 219349, 219948, 220501, 220790, 220995, 224783, 225005, 225700, 226118, 226516, 227089, 227673, 228126, 228321, 228969, 229647, 230244, 231024, 231320, 231523, 232817, 233563, 233959, 234364, 234771, 235578, 236273, 236675, 236848, 237456, 237853, 238326, 238744, 239340, 240129, 240535, 240974, 241575, 241980, 242391, 242873, 243472, 244254, 244450, 244834, 245227, 245949, 246312, 247004, 247584, 248369, 249357, 249948, 250357, 252145, 252245, 252457, 252652, 253464, 253842, 254457, 254738, 254858, 255373, 255972, 256569, 257652, 257733, 259633, 260608, 260978, 261611, 261666, 264552, 265472, 266049, 266602, 266902, 267440, 267877, 268146, 268745, 269808, 270595, 271007, 271201, 271997, 272387, 272508, 272835, 273471, 274281, 274686, 275251, 275684, 276383, 276793, 277583, 278251, 279366, 279957, 280406, 280784, 281331, 282969, 283444, 283670, 284276, 284956, 285227, 286037, 286414, 286805, 286931, 287534, 288130, 288324, 288576, 288980, 289564, 291405, 292105, 292882, 293285, 294079, 294489, 294871, 295153, 295360, 295759, 296456, 299618, 300024, 300358, 300632, 300975, 301150, 301418, 301939, 302340, 302737, 303329, 303892, 304313, 304528, 305332, 306179, 306574, 307145, 307850, 308437, 308706, 309034, 309586, 309906, 310694, 311283, 311493, 312253, 312870, 312971, 316310, 317169, 317955, 318158, 318320, 318633, 319255, 320020, 320207, 320812, 321410, 321602, 322217, 322946, 323749, 324889, 325458, 325715, 326217, 326660, 327073, 327464, 328459, 328842, 329268, 329576, 330184, 330592, 331454, 332398, 332904, 333350, 333820, 334759, 335350, 335929, 336449, 336844, 337080, 337700, 338286, 338906, 339515, 339624, 340032, 340921, 341296, 341697, 342979, 344545, 344738, 345546, 346131, 347112, 347337, 347941, 348691, 349808, 350976, 352168, 352758, 353158, 353799, 354227, 354821, 355259, 355653, 356042, 356440, 357175, 357476, 358443, 359028, 359426, 359914, 360791, 362575, 363338, 363677, 364670, 366171, 367131, 368327, 369214, 369762, 370549, 371368, 371953, 372710, 373157, 373759, 375288, 375703, 376419, 377011, 377572, 377738, 378289, 378701, 379077, 379813, 380210, 380631, 380836, 381049, 381456, 381792, 382442, 382807, 383405, 383995, 384523, 384929, 385337, 385944, 386293, 386787, 387197, 387411, 388086, 388608, 389577, 390119, 392065, 392637, 393006, 394329, 394692, 395083, 395284, 395594, 396000, 396413, 396673, 396869, 397883, 398402, 398793, 399341, 399946, 402420, 403919, 404886, 405115, 405469, 406858, 407139, 407264, 407421, 407840, 408988, 409151, 409625, 411018, 412451, 413193, 414352, 415729, 416307, 417150, 417366, 417768, 417987, 419111, 420323, 420713, 421003, 421584, 423363, 424070, 425137, 425468, 426072, 426551, 427098, 427886, 429225, 429387, 429998, 431254, 431852, 432172, 432418, 433387, 433802, 434844, 435516, 435810, 436392, 437167, 438325, 438507, 438985, 439675, 440935, 441107, 441760, 441899, 444014, 444537, 444986, 445235, 446326, 446562, 447871, 449581, 450280, 451161, 451933, 453224, 453566, 453795, 455155, 455349, 455800, 456197, 456697, 456842, 457333, 457728, 458357, 459215, 459406, 460813, 461121, 461568, 461971, 462155, 462396, 463311, 463586, 463833, 464033, 464676, 465120, 465305, 466208, 466620, 466798, 466994, 467253, 467390, 469067, 469844, 470183, 471113, 472261, 472638, 473249, 473618, 473808, 474081, 474527, 474713, 474786, 475352, 476694, 478401, 478926, 479666, 480583, 480746, 481082, 481896, 482407, 482903, 483028, 484142, 485175, 485306, 485714, 486249, 486438, 486625, 487092, 487292, 489290, 490214, 491392, 492255, 493198, 494889, 495218, 495681, 495870, 496173, 496564, 497388, 499898, 501057, 501232, 501966, 502453, 502953, 503112, 504328, 505054, 505231, 505669, 506079, 507416, 508044, 509074, 509728, 509907, 510088, 511220, 511597, 513261, 513694, 514364, 514858, 516352, 516661, 517353, 518941, 519343, 519852, 520045, 521600, 521816, 522081, 522743, 523499, 524487, 524710, 526351, 528427, 528755, 528902, 529316, 529418, 529580, 530112, 530884, 531263, 531969, 532201, 532595, 534253, 534693, 535046, 535920, 536926, 537339, 537663, 537837, 538061, 538135, 539011, 539111, 539408, 540192, 540364, 540513, 541673, 541832, 542838, 543894, 544452, 544789, 546097, 546527, 547758, 548168, 549671, 550412, 551853, 552208, 552986, 553190, 554849, 556241, 558059, 559696, 559815, 560121, 561722, 561944, 562955, 563204, 563385, 563608, 563730, 564050, 564609, 565520, 565595, 565874, 566149, 566331, 566641, 566896, 568626, 568758, 568957, 569365, 570335, 570466, 570905, 571276, 571653, 572082, 573899, 575662, 576023, 577562, 578006, 578766, 579101, 579281, 580337, 582463, 584219, 584395, 585014, 586062, 587551, 588368, 588560, 588747, 590311, 592001, 593366, 593597, 593792, 594145, 595042, 596234, 596325, 597020, 598041, 598564, 598651, 599232, 599882, 602652, 602810, 603142, 603804, 604449, 604932, 605652, 605783, 607278, 607696, 607851, 608697, 608851, 611032, 611336, 611587, 611764, 612465, 612898, 613086, 614372, 615743, 616109, 617160, 617782, 618001, 619226, 620337, 620818, 621017, 621598, 622596, 622961, 623524, 624340, 625151, 625482, 626086, 626444, 627605, 628602, 628860, 629384, 630012, 631596, 632432, 633132, 633400, 633576, 635128, 635625, 635824, 636406, 636709, 637684, 638605, 639439, 639687, 640949, 641122, 641774, 641948, 644028, 644551, 644840, 645039, 645146, 645254, 645384, 646340, 646640, 647320, 647501, 647813, 648372, 648921, 650592, 651944, 652461, 653211, 653580, 653704, 653901, 654100, 654412, 655169, 655363, 655817, 656019, 656856, 657347, 657742, 658371, 658532, 659231, 659780, 660102, 660832, 661086, 661582, 661972, 662170, 662410, 663325, 665029, 665332, 666012, 666809, 666955, 667257, 667404, 669081, 669858, 670197, 671127, 672275, 672652, 673263, 673632, 673822, 674095, 674541, 674727, 674800, 675366, 676708, 678415, 678940, 679680, 680597, 680760, 681096, 681910, 682421, 682917, 683042, 684238, 685238, 685320, 685728, 686263, 686442, 686990, 687408, 687562, 687989, 688917, 689426, 689625, 690228, 690474, 690812, 690987, 691316, 692270, 692465, 692682, 692826, 693883, 694685, 695778, 697750, 698280, 700325, 701071, 701365, 702412, 702967, 703604, 703790, 704342, 705607, 707430, 707557, 709237, 710106, 711171, 711804, 712239, 712381, 712705, 713215, 714378, 716676, 717725, 717982, 719356, 719785, 720750, 721128, 721770, 722569, 722735, 723513, 724501, 724724, 726365, 728441, 728916, 729010, 729330, 729432, 729594, 730126, 730898, 732720, 733209, 733418, 734278, 734645, 735060, 735934, 736940, 737353, 737677, 737851, 738075, 738149, 739025, 739125, 739422, 740206, 740378, 740527, 741687, 742852, 743319, 744466, 744803, 746202, 746541, 747403, 747655, 747772, 748195, 748804, 749685, 751497, 751868, 752662, 753001, 753189, 754850, 754979, 755517, 755609, 757083, 757248, 757540, 758680, 758751, 760193, 760862, 761050, 761742, 761959, 762968, 763195, 763414, 763622, 763744, 764064, 764623, 765534, 765609, 765888, 766163, 766345, 766655, 766910, 768640, 768772, 768971, 769379, 770349, 770480, 770919, 771290, 771667, 771777, 772087, 773913, 774455, 775676, 777576, 777958, 778777, 779115, 779429, 780453, 782526, 784233, 785028, 786032, 786462, 786584, 787166, 788028, 788217, 788381, 788761, 789165, 789253, 789364, 790378, 791083, 792059, 792274, 792828, 794158, 794462, 794970, 796248, 797340, 798056, 798578, 798665, 799246, 799808, 800052, 801438, 802885, 803261, 804060, 804500, 805087, 805382, 806579, 807364, 807815, 808210, 808817, 809415, 810316, 810890, 811816, 812021, 812485, 812911, 813339, 814290, 814653, 814858, 815502, 816132, 816534, 817059, 817645, 818024, 818309, 818798, 819477, 819913, 820098, 820274, 821064, 821260, 822037, 823251, 824009, 824494, 824965, 825047, 825391, 825740, 825946, 827715, 828168, 828433, 829055, 829689, 830290, 831075, 831362, 831563, 832765, 833538, 834129, 834776, 835957, 836735, 837528, 837922, 838368, 838786, 839380, 839797, 840020, 840577, 841169, 841617, 842043, 842435, 843046, 843963, 844229, 844958, 845269, 845991, 846354, 847046, 847626, 848411, 849399, 849990, 850399, 852187, 852287, 852499, 852694, 853506, 853884, 854499, 854780, 854900, 855415, 856014, 856611, 857694, 857775, 859675, 860650, 861020, 861653, 861708, 864594, 865514, 866091, 866644, 866944, 867482, 867919, 868188, 868787, 869850, 870637, 871049, 871243, 872039, 872429, 872550, 872877, 873513, 874323, 874728, 875293, 875726, 876425, 876835, 877625, 878293, 879408, 879999, 880448, 880826, 881373, 883011, 883486, 883712, 884318, 884998, 885269, 885894, 886456, 886846, 887651, 887900, 887967, 888503, 889479, 893259, 893868, 894504, 894913, 895195, 895402, 895801, 896498, 899660, 900066, 900400, 900674, 901017, 902579, 903336, 903934, 904355, 904570, 905371, 906221, 906603, 906988, 907271, 907888, 908284, 908530, 909129, 909628, 909948, 911835, 912016, 912419, 912816, 913014, 916352, 917457, 917593, 917979, 918200, 918362, 918675, 919297, 919695, 920087, 920249, 920854, 921452, 921644, 922259, 923217, 924009, 924310, 924513, 925094, 925486, 925976, 926260, 926702, 927115, 927505, 928501, 928883, 929310, 929618, 930226, 930634, 931496, 932440, 932946, 933392, 933862, 934801, 935392, 935971, 936491, 936886, 937122, 937742, 938328, 938948, 939557, 939666, 940074, 940963, 941338, 941739, 943021, 944587, 944780, 945588, 946173, 947154, 947379, 947983, 948733, 949850, 951018, 952210, 952800, 953200, 953841, 954269, 954863, 955301, 955695, 956084, 956482, 957217, 957518, 958485, 959070, 959468, 959956, 960833, 962617, 963380, 963719, 964712, 966213, 967173, 968369, 969256, 969804, 970591, 971410, 971995, 972752, 973159, 973971, 974314, 974528, 974926, 975745, 976461, 977053, 977614, 977780, 978331, 978743, 979119, 979855, 980252, 980673, 980878, 981091, 981498, 981834, 982484, 982849, 983447, 984037, 984565, 984971, 985379, 985986, 986335, 986829, 987239, 987453, 988128, 988650, 989619, 990161, 992107, 992679, 993048, 994371, 994734, 995125, 995326, 995636, 996042, 996455, 996715, 996911, 997925, 998444, 998835]"
5,sine_gradual_1M_0,HT_EDDM_F,0.9694089694089694,0.9388004180496236,00:01:42,505.75 KB,"[419, 1498, 2354, 2775, 3233, 4666, 5388, 200477, 400671, 400885, 603179, 603580, 808819]"
6,sine_gradual_1M_0,HT_GMA_F,0.8965598965598965,0.7930647139267057,00:01:53,2.85 MB,[]
7,sine_gradual_1M_0,HT_HDDMA_F,0.9738479738479738,0.9476831815737534,00:02:07,567.68 KB,"[199921, 399989, 599966, 800042]"
8,sine_gradual_1M_0,HT_HDDMW_F,0.975011975011975,0.9500098645384081,00:02:02,533.87 KB,"[199978, 400060, 600012, 800092]"
9,sine_gradual_1M_0,HT_KSWIN1_F,0.9414039414039415,0.8828024366940812,00:06:35,1.2 MB,[605528]
