,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_1M_0,NoChange_basic_F,0.5044305044305044,0.008619746080881034,00:00:24,659 B,[]
1,sine_gradual_1M_0,MajClass_basic_F,0.5077935077935078,0.01251372058817891,00:00:29,765 B,[]
2,sine_gradual_1M_0,NB_basic_F,0.5889095889095889,0.17787474576018023,00:01:33,14.99 KB,[]
3,sine_gradual_1M_0,NB_ADWIN_F,0.8928948928948929,0.7857152684452802,00:03:28,27.74 KB,"[200351, 400415, 600671, 800703]"
4,sine_gradual_1M_0,NB_CUSUM_F,0.8941778941778942,0.7882804919403863,00:02:38,17.47 KB,"[199839, 399885, 495194, 533692, 600030, 695076, 733712, 800058]"
5,sine_gradual_1M_0,NB_DDM_F,0.7594697594697595,0.519098770263384,00:02:39,32.05 KB,"[200198, 200773, 204975, 210351, 401444, 801520]"
6,sine_gradual_1M_0,NB_ECDD_F,0.8894878894878895,0.7789096207274081,00:02:50,86.67 KB,"[521, 1642, 2607, 3308, 4146, 4446, 5990, 6131, 6178, 6652, 7545, 8309, 9053, 10260, 10834, 10943, 11760, 12855, 14024, 14597, 14877, 15446, 16943, 17973, 18253, 18742, 19416, 19935, 20487, 20776, 20988, 21227, 21981, 23350, 24499, 24909, 25684, 26440, 26816, 27214, 27659, 28112, 28375, 29848, 31306, 33293, 34084, 34720, 36259, 36831, 37443, 38654, 40132, 40966, 41561, 42250, 42547, 43032, 43225, 44219, 45213, 45935, 46298, 46990, 47768, 47806, 48321, 50621, 51149, 51348, 51782, 52036, 52690, 53828, 54236, 54724, 54844, 55043, 55353, 56072, 56383, 56620, 58431, 59911, 60090, 61091, 62038, 62606, 63269, 63515, 64786, 65316, 66888, 67863, 68132, 68393, 68789, 69795, 71209, 71983, 72527, 74587, 74659, 75780, 75922, 76522, 77806, 79227, 80324, 81073, 81948, 84321, 84970, 85620, 86397, 86932, 87154, 88117, 89417, 90185, 91291, 92038, 92670, 93052, 94073, 94857, 95139, 95550, 96193, 97495, 98506, 99089, 99603, 100344, 100503, 100619, 100961, 101136, 101404, 101925, 102477, 103878, 104513, 104827, 105221, 105728, 106155, 106770, 107215, 107836, 108692, 109572, 110262, 111499, 112239, 112957, 113870, 114284, 115363, 116720, 117494, 117984, 118306, 118617, 118916, 119497, 120285, 121094, 121588, 122932, 124647, 125790, 126203, 126949, 128530, 131195, 132384, 133806, 135458, 136105, 137066, 137451, 137924, 138169, 138892, 139704, 140460, 140907, 141788, 142772, 143177, 143715, 144783, 145766, 146438, 146735, 147228, 148202, 148677, 148997, 149306, 150019, 152142, 153513, 154942, 155491, 156310, 157401, 158429, 159014, 160777, 161481, 162433, 163357, 164895, 165990, 166380, 166453, 167363, 168332, 168915, 170038, 171437, 173143, 173912, 174258, 174974, 175995, 176997, 177724, 178220, 180241, 181035, 181449, 182077, 182552, 182793, 183453, 184194, 185006, 186279, 188320, 188443, 188883, 191010, 191100, 191201, 192040, 192991, 193441, 193877, 194270, 194532, 195580, 195992, 196260, 196868, 198364, 199772, 200002, 201939, 202529, 203322, 203968, 204604, 205340, 205762, 206666, 207559, 208323, 209067, 210274, 210848, 210988, 211774, 212869, 214038, 214611, 214891, 215460, 216957, 217982, 218267, 218756, 219127, 220056, 220231, 221100, 221563, 222643, 223989, 224923, 225005, 225349, 225698, 226454, 227409, 228126, 228393, 229862, 231025, 231320, 231521, 233011, 233508, 234061, 234734, 236273, 236848, 236971, 237165, 237604, 238668, 239422, 240975, 241997, 243293, 244705, 245949, 246312, 247004, 247498, 247785, 248335, 250635, 251163, 251362, 251796, 252050, 252704, 254054, 254738, 255359, 256086, 256248, 257118, 257226, 257827, 258067, 258950, 259781, 260572, 261105, 262052, 262620, 263281, 264722, 265471, 265741, 266902, 267440, 267877, 268888, 269859, 270605, 271849, 272541, 273296, 273331, 275794, 278294, 279366, 279996, 280406, 280784, 281331, 281486, 281962, 283099, 284335, 284934, 286279, 286894, 287858, 288461, 289760, 290437, 291305, 292533, 292943, 293696, 294088, 294395, 294871, 295153, 295564, 296207, 298519, 300132, 300358, 300632, 300975, 301418, 301939, 302278, 303126, 303892, 304527, 305541, 306169, 307228, 308489, 309207, 309495, 309770, 310276, 311370, 312014, 312437, 312971, 313884, 314298, 315380, 316734, 317560, 317937, 318320, 318634, 319255, 319912, 321562, 322217, 323175, 324312, 325052, 325506, 325934, 326218, 326660, 328544, 331209, 332362, 333820, 335481, 336119, 337080, 337465, 337938, 338183, 338906, 339718, 340474, 340921, 341802, 342786, 343191, 343729, 344797, 345780, 346452, 346749, 347242, 348216, 348691, 349011, 349320, 350033, 352156, 353527, 354956, 355505, 356324, 357415, 358443, 359028, 360791, 361495, 362447, 363371, 364909, 366004, 366394, 366467, 367377, 368346, 368929, 370052, 371451, 373157, 373926, 374272, 374988, 376009, 377011, 377738, 378234, 380255, 381049, 381463, 382091, 382566, 382807, 383467, 384208, 385020, 386293, 388334, 388457, 388897, 391024, 391114, 391215, 392054, 393005, 393455, 393891, 394284, 394546, 395594, 396006, 396274, 396882, 398378, 399786, 400008, 401196, 401429, 401555, 401748, 402118, 403128, 403963, 404188, 404414, 404772, 404886, 405007, 405364, 405758, 406858, 407139, 407265, 407421, 407682, 407837, 408262, 408580, 408837, 409038, 409625, 410494, 410665, 410728, 410838, 411188, 411573, 411750, 412193, 413194, 413459, 414395, 415314, 415467, 415655, 416155, 416274, 417119, 417987, 419345, 420300, 420713, 420777, 421003, 421438, 422188, 422389, 422558, 424108, 425029, 425227, 425468, 425781, 426069, 426976, 427591, 428893, 429048, 429242, 429387, 429998, 430965, 431131, 431179, 431855, 432172, 432445, 434048, 434268, 434925, 435114, 435208, 435523, 435709, 435801, 436102, 436969, 437181, 437670, 438042, 438907, 439480, 439673, 439795, 440934, 441108, 441760, 442333, 442486, 442556, 443279, 443650, 444350, 445240, 446627, 447799, 449023, 449526, 450025, 450280, 451520, 452323, 453566, 453795, 454399, 454804, 455212, 455349, 456019, 456269, 456842, 457118, 457467, 457728, 458209, 458352, 458762, 459215, 459792, 460601, 460818, 461045, 461121, 461509, 461958, 462199, 462837, 462974, 463312, 463833, 465120, 465318, 465803, 465997, 466798, 466941, 467389, 468141, 468355, 468561, 469435, 469707, 471588, 473056, 473316, 473711, 473808, 474786, 475317, 476581, 477914, 478272, 478401, 479002, 479559, 480276, 480584, 480743, 481083, 481499, 481895, 482548, 482779, 482903, 483289, 483897, 485078, 485306, 485696, 486066, 486986, 487396, 487975, 489412, 490213, 490532, 491392, 492053, 492882, 493198, 493686, 493869, 494027, 494762, 495184, 495681, 495765, 496255, 496564, 497168, 497693, 498255, 498656, 499824, 500692, 500989, 501164, 501352, 501966, 503112, 503514, 505057, 505231, 505423, 506148, 507416, 508246, 508630, 508936, 510048, 510769, 511182, 511419, 511832, 512602, 513263, 513694, 514213, 514404, 514858, 516441, 516661, 517968, 518228, 518553, 518877, 519342, 519851, 520369, 521206, 521815, 521895, 522081, 523499, 524296, 524489, 524710, 525184, 525539, 526106, 526821, 527349, 528460, 528802, 528902, 528996, 529417, 529580, 529912, 530359, 530884, 530945, 531854, 532469, 533404, 534928, 535221, 535299, 535774, 536516, 537149, 537635, 537783, 537838, 538064, 538134, 538487, 538920, 539012, 539911, 540364, 540513, 540971, 541674, 542666, 543550, 543894, 544452, 544596, 544855, 545344, 545809, 546186, 547263, 547641, 548768, 549270, 549856, 550414, 551505, 552209, 552893, 553190, 553420, 553842, 554772, 555612, 556250, 556493, 556982, 558172, 558576, 558666, 558737, 559620, 559815, 560179, 561027, 561457, 561945, 562279, 562953, 563205, 563324, 563494, 563605, 564423, 564951, 565186, 565412, 565595, 565873, 566335, 566641, 567218, 567442, 567751, 568370, 568758, 569081, 569963, 570722, 570905, 571276, 571763, 572662, 573000, 573787, 574025, 574729, 575565, 575662, 576032, 576711, 577944, 578762, 579186, 580053, 580644, 582463, 583297, 583909, 584219, 584395, 585014, 585333, 586048, 586570, 587151, 587428, 588014, 588747, 589148, 589239, 589350, 589640, 589691, 590208, 591101, 592254, 593225, 593597, 593792, 594144, 594924, 595896, 596325, 596600, 597020, 597317, 598048, 598563, 599232, 599909, 602133, 603142, 603977, 604202, 604449, 604786, 604895, 605378, 605772, 606872, 607153, 607279, 607435, 607696, 607851, 608276, 608594, 608851, 609052, 609639, 610508, 610679, 610742, 610852, 611202, 611587, 611764, 612207, 613208, 613473, 614409, 615328, 615481, 615669, 616169, 616288, 617133, 618001, 619359, 620314, 620727, 620791, 621017, 621452, 622202, 622403, 622572, 624122, 625043, 625241, 625482, 625795, 626083, 626990, 627605, 628907, 629062, 629256, 629401, 630012, 630979, 631145, 631193, 631869, 632186, 632459, 634062, 634282, 634939, 635128, 635222, 635537, 635723, 635815, 636116, 636983, 637195, 637684, 638056, 638921, 639494, 639687, 639809, 640948, 641122, 641774, 642347, 642500, 642570, 643293, 643664, 644364, 645254, 646641, 647813, 649037, 649540, 650039, 650294, 651534, 652337, 653580, 653809, 654413, 654818, 655226, 655363, 656033, 656283, 656856, 657132, 657481, 657742, 658223, 658366, 658776, 659229, 659806, 660615, 660832, 661059, 661135, 661523, 661972, 662213, 662851, 662988, 663326, 663847, 665134, 665332, 665817, 666011, 666812, 666955, 667403, 668155, 668369, 668575, 669449, 669721, 671602, 673070, 673330, 673725, 673822, 674800, 675331, 676595, 677928, 678286, 678415, 679016, 679573, 680290, 680598, 680757, 681097, 681513, 681909, 682562, 682793, 682917, 683303, 683911, 685092, 685320, 685710, 686080, 687000, 687410, 687989, 689426, 690227, 690546, 691406, 692067, 692896, 693212, 693700, 693883, 694041, 694776, 695198, 695695, 695779, 696269, 696578, 697182, 697707, 698269, 698670, 699838, 700706, 701003, 701178, 701366, 701980, 703126, 703528, 705071, 705245, 705437, 706162, 707430, 708260, 708644, 708950, 710062, 710783, 711196, 711433, 711846, 712616, 713277, 713708, 714227, 714418, 714872, 716455, 716675, 717982, 718242, 718567, 718891, 719356, 719865, 720383, 721220, 721829, 721909, 722095, 723513, 724310, 724503, 724724, 725198, 725553, 726120, 726835, 727363, 728474, 728816, 728916, 729010, 729431, 729594, 729926, 730373, 730898, 730959, 731868, 732483, 733418, 734942, 735235, 735313, 735788, 736530, 737163, 737649, 737797, 737852, 738078, 738148, 738501, 738934, 739026, 739925, 740378, 740527, 740985, 741688, 742680, 743564, 743908, 744466, 744610, 744869, 745358, 745823, 746200, 747277, 747655, 748782, 749284, 749870, 750428, 751519, 752223, 752907, 753204, 753434, 753856, 754786, 755626, 756264, 756507, 756996, 758186, 758590, 758680, 758751, 759634, 759829, 760193, 761041, 761471, 761959, 762293, 762967, 763219, 763338, 763508, 763619, 764437, 764965, 765200, 765426, 765609, 765887, 766349, 766655, 767232, 767456, 767765, 768384, 768772, 769095, 769977, 770736, 770919, 771290, 771777, 772676, 773014, 773801, 774039, 774743, 775579, 775676, 776046, 776725, 777958, 778776, 779200, 780067, 780658, 782477, 783311, 783923, 784233, 784409, 785028, 785347, 786062, 786584, 787165, 787442, 788028, 788761, 789162, 789253, 789364, 789654, 789705, 790222, 791115, 792268, 793239, 793611, 793806, 794158, 794938, 795910, 796339, 796614, 797034, 797331, 798062, 798577, 799246, 799808, 800052, 802448, 803364, 804194, 804646, 805089, 805804, 806710, 808308, 812021, 814048, 814327, 815502, 816519, 817645, 818024, 818219, 818798, 819472, 820098, 820274, 821142, 821604, 823083, 824767, 824967, 825047, 825391, 825740, 826496, 827451, 828168, 828435, 829904, 831067, 831362, 831563, 833053, 833550, 834103, 834776, 836315, 836890, 837013, 837207, 837646, 838710, 839464, 841017, 842039, 843335, 844747, 845991, 846354, 847046, 847540, 847827, 848377, 850677, 851205, 851404, 851838, 852092, 852746, 854096, 854780, 855401, 856128, 856290, 857160, 857268, 857869, 858109, 858992, 859823, 860614, 861147, 862094, 862662, 863323, 864764, 865513, 865783, 866944, 867482, 867919, 868930, 869901, 870647, 871891, 872583, 873338, 873373, 875836, 878336, 879408, 880038, 880448, 880826, 881373, 881528, 882004, 883141, 884377, 884976, 886321, 886936, 887900, 888503, 889802, 890479, 891347, 892575, 892985, 893738, 894130, 894437, 894913, 895195, 895606, 896249, 898561, 900174, 900400, 900674, 901017, 901460, 901981, 902320, 903168, 903934, 904569, 905583, 906211, 907270, 908531, 909249, 909537, 909812, 910318, 911412, 912056, 912479, 913013, 913926, 914340, 915422, 916776, 917602, 917979, 918362, 918676, 919297, 919954, 921604, 922259, 923217, 924354, 925094, 925548, 925976, 926260, 926702, 928586, 931251, 932404, 933862, 935523, 936161, 937122, 937507, 937980, 938225, 938948, 939760, 940516, 940963, 941844, 942828, 943233, 943771, 944839, 945822, 946494, 946791, 947284, 948258, 948733, 949053, 949362, 950075, 952198, 953569, 954998, 955547, 956366, 957457, 958485, 959070, 960833, 961537, 962489, 963413, 964951, 966046, 966436, 966509, 967419, 968388, 968971, 970094, 971493, 973199, 973968, 974314, 975030, 976051, 977053, 977780, 978276, 980297, 981091, 981505, 982133, 982608, 982849, 983509, 984250, 985062, 986335, 988376, 988499, 988939, 991066, 991156, 991257, 992096, 993047, 993497, 993933, 994326, 994588, 995636, 996048, 996316, 996924, 998420]"
7,sine_gradual_1M_0,NB_EDDM_F,0.886982886982887,0.7738864094971885,00:02:31,33.46 KB,"[434, 3584, 3856, 200419, 200530, 202809, 209861, 218846, 218909, 219513, 220102, 220659, 220994, 221239, 221898, 223347, 225469, 240335, 240418, 404222, 404414, 603610, 603959, 803019, 803174, 803437, 804011, 814149, 814333]"
8,sine_gradual_1M_0,NB_GMA_F,0.5889095889095889,0.17787474576018023,00:02:33,17.19 KB,[]
9,sine_gradual_1M_0,NB_HDDMA_F,0.8940828940828941,0.7880911979332792,00:02:54,32.73 KB,"[199892, 400068, 430054, 600130, 630068, 800181]"
