,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_500K_0,BOLE_basic_F,0.9831979663959328,0.966385652942494,00:05:41,46.21 MB,[]
1,sine_abrupt_500K_0,BOLE_ADWIN_F,0.9213218426436853,0.8425925218049305,00:09:26,604.27 KB,[]
2,sine_abrupt_500K_0,BOLE_CUSUM_F,0.9754579509159018,0.9509037821755546,00:06:38,0.98 MB,[]
3,sine_abrupt_500K_0,BOLE_DDM_F,0.9705259410518821,0.9410361396120296,00:06:51,4.9 MB,[]
4,sine_abrupt_500K_0,BOLE_ECDD_F,0.8450556901113803,0.6900325484135662,00:07:23,2.17 MB,[]
5,sine_abrupt_500K_0,BOLE_EDDM_F,0.9606599213198427,0.9213009826352907,00:06:04,3.98 MB,[]
6,sine_abrupt_500K_0,BOLE_GMA_F,0.9831979663959328,0.966385652942494,00:07:33,46.22 MB,[]
7,sine_abrupt_500K_0,BOLE_HDDMA_F,0.8663117326234653,0.7325510356086607,00:08:05,1.61 MB,[]
8,sine_abrupt_500K_0,BOLE_HDDMW_F,0.9029038058076116,0.8057581357884938,00:07:59,1.43 MB,[]
9,sine_abrupt_500K_0,BOLE_KSWIN1_F,0.9468778937557875,0.8937259922861882,00:32:03,1 MB,[]
10,sine_abrupt_500K_0,BOLE_KSWIN51_F,0.9414178828357657,0.8828067293629779,00:31:27,792.18 KB,[]
11,sine_abrupt_500K_0,BOLE_KSWIN101_F,0.9365938731877463,0.8731571593913627,00:31:43,1.22 MB,[]
12,sine_abrupt_500K_0,BOLE_KSWIN151_F,0.9396478792957585,0.8792673114083203,00:31:33,834.09 KB,[]
13,sine_abrupt_500K_0,BOLE_KSWIN201_F,0.9405858811717623,0.8811404762432229,00:30:55,1.21 MB,[]
14,sine_abrupt_500K_0,BOLE_PH_F,0.9905459810919622,0.9810870748221967,00:06:22,6.34 MB,[]
15,sine_abrupt_500K_0,BOLE_RDDM_F,0.9266738533477067,0.8533151734977906,00:06:41,2.18 MB,[]
16,sine_abrupt_500K_0,BOLE_STEPD_F,0.8733597467194935,0.7466504215053995,00:12:27,1.59 MB,[]
17,sine_abrupt_500K_2,BOLE_basic_F,0.9834659669319339,0.9669236784076611,00:05:18,45.52 MB,[]
18,sine_abrupt_500K_2,BOLE_ADWIN_F,0.9217778435556871,0.8435113514746361,00:09:14,876.86 KB,[]
19,sine_abrupt_500K_2,BOLE_CUSUM_F,0.975249950499901,0.950487708407622,00:06:27,966.74 KB,[]
20,sine_abrupt_500K_2,BOLE_DDM_F,0.9711859423718847,0.9423579341009944,00:06:44,3.05 MB,[]
21,sine_abrupt_500K_2,BOLE_ECDD_F,0.8451256902513805,0.6901656260669293,00:07:10,2.18 MB,[]
22,sine_abrupt_500K_2,BOLE_EDDM_F,0.9648119296238592,0.9296049759871662,00:05:53,3.3 MB,[]
23,sine_abrupt_500K_2,BOLE_GMA_F,0.9834659669319339,0.9669236784076611,00:07:19,45.54 MB,[]
