,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_gradual_500K_0,NoChange_basic_F,0.503747007494015,0.007232635096927434,00:00:10,659 B,[]
1,sine_gradual_500K_0,MajClass_basic_F,0.5080890161780324,0.01298177055525506,00:00:12,765 B,[]
2,sine_gradual_500K_0,NB_basic_F,0.5886811773623547,0.17740413238073496,00:00:41,14.99 KB,[]
3,sine_gradual_500K_0,NB_ADWIN_F,0.8917017834035668,0.7833231601760311,00:01:32,27.18 KB,"[100287, 200383, 300607, 400671]"
4,sine_gradual_500K_0,NB_CUSUM_F,0.8937397874795749,0.787399121623612,00:01:11,17.42 KB,"[99922, 199957, 295182, 299880, 395192, 399946]"
5,sine_gradual_500K_0,NB_DDM_F,0.7576475152950306,0.5154665966914284,00:01:11,32.03 KB,"[100217, 101068, 201277, 401097, 401322]"
6,sine_gradual_500K_0,NB_ECDD_F,0.8879317758635518,0.7757899685981556,00:01:16,60.23 KB,"[521, 1642, 2607, 3308, 4146, 4446, 5990, 6131, 6178, 6652, 7545, 8309, 9053, 10260, 10834, 10943, 11760, 12855, 14024, 14597, 14877, 15446, 16943, 17973, 18253, 18742, 19416, 19935, 20487, 20776, 20988, 21227, 21981, 23350, 24499, 24909, 25684, 26440, 26816, 27214, 27659, 28112, 28375, 29848, 31306, 33293, 34084, 34720, 36259, 36831, 37443, 38654, 40132, 40966, 41561, 42250, 42547, 43032, 43225, 44219, 45213, 45935, 46298, 46990, 47768, 47806, 48321, 50621, 51149, 51348, 51782, 52036, 52690, 53828, 54236, 54724, 54844, 55043, 55353, 56072, 56383, 56620, 58431, 59911, 60090, 61091, 62038, 62606, 63269, 63515, 64786, 65316, 66888, 67863, 68132, 68393, 68789, 69795, 71209, 71983, 72527, 74587, 74659, 75780, 75922, 76522, 77806, 79227, 80324, 81073, 81948, 84321, 84970, 85620, 86397, 86932, 87154, 88117, 89417, 90185, 91291, 92038, 92670, 93052, 94073, 94857, 95139, 95550, 96193, 97495, 98506, 99089, 99607, 99833, 103593, 103963, 104598, 105334, 105756, 106660, 107553, 108317, 109061, 110268, 110842, 110982, 111768, 112863, 114032, 114605, 114885, 115454, 116951, 117976, 118261, 118750, 119121, 120050, 120225, 121094, 121557, 122637, 123983, 124917, 124999, 125343, 125692, 126448, 127403, 128120, 128387, 129856, 131019, 131314, 131515, 133005, 133502, 134055, 134728, 136267, 136842, 136965, 137159, 137598, 138662, 139416, 140969, 141991, 143287, 144699, 145943, 146306, 146998, 147492, 147779, 148329, 150629, 151157, 151356, 151790, 152044, 152698, 154048, 154732, 155353, 156080, 156242, 157112, 157220, 157821, 158061, 158944, 159775, 160566, 161099, 162046, 162614, 163275, 164716, 165465, 165735, 166896, 167434, 167871, 168882, 169853, 170599, 171843, 172535, 173290, 173325, 175788, 178288, 179360, 179990, 180400, 180778, 181325, 181480, 181956, 183093, 184329, 184928, 186273, 186888, 187852, 188455, 189754, 190431, 191299, 192527, 192937, 193690, 194082, 194389, 194865, 195147, 195558, 196201, 198513, 199747, 200022, 201184, 201417, 201543, 201736, 202106, 203116, 203951, 204176, 204402, 204760, 204874, 204995, 205352, 205746, 206846, 207127, 207253, 207409, 207670, 207825, 208250, 208568, 208825, 209026, 209613, 210482, 210653, 210716, 210826, 211176, 211561, 211738, 212181, 213182, 213447, 214383, 215302, 215455, 215643, 216143, 216262, 217107, 217975, 219333, 220288, 220701, 220765, 220991, 221426, 222176, 222377, 222546, 224096, 225017, 225215, 225456, 225769, 226057, 226964, 227579, 228881, 229036, 229230, 229375, 229986, 230953, 231119, 231167, 231843, 232160, 232433, 234036, 234256, 234913, 235102, 235196, 235511, 235697, 235789, 236090, 236957, 237169, 237658, 238030, 238895, 239468, 239661, 239783, 240922, 241096, 241748, 242321, 242474, 242544, 243267, 243638, 244338, 245228, 246615, 247787, 249011, 249514, 250013, 250268, 251508, 252311, 253554, 253783, 254387, 254792, 255200, 255337, 256007, 256257, 256830, 257106, 257455, 257716, 258197, 258340, 258750, 259203, 259780, 260589, 260806, 261033, 261109, 261497, 261946, 262187, 262825, 262962, 263300, 263821, 265108, 265306, 265791, 265985, 266786, 266929, 267377, 268129, 268343, 268549, 269423, 269695, 271576, 273044, 273304, 273699, 273796, 274774, 275305, 276569, 277902, 278260, 278389, 278990, 279547, 280264, 280572, 280731, 281071, 281487, 281883, 282536, 282767, 282891, 283277, 283885, 285066, 285294, 285684, 286054, 286974, 287384, 287963, 289400, 290201, 290520, 291380, 292041, 292870, 293186, 293674, 293857, 294015, 294750, 295172, 295669, 295753, 296243, 296552, 297156, 297681, 298243, 298644, 299596, 299759, 299842, 302115, 303124, 303324, 304184, 304431, 304768, 304877, 305360, 305754, 306854, 307135, 307261, 307417, 307678, 307833, 308258, 308576, 308833, 309034, 309621, 310490, 310661, 310724, 310834, 311184, 311569, 311746, 312189, 313190, 313455, 314391, 315310, 315463, 315651, 316151, 316270, 317115, 317983, 319341, 320296, 320709, 320773, 320999, 321434, 322184, 322385, 322554, 324104, 325025, 325223, 325464, 325777, 326065, 326972, 327587, 328889, 329044, 329238, 329383, 329994, 330961, 331127, 331175, 331851, 332168, 332441, 334044, 334264, 334921, 335110, 335204, 335519, 335705, 335797, 336098, 336965, 337177, 337666, 338038, 338903, 339476, 339669, 339791, 340930, 341104, 341756, 342329, 342482, 342552, 343275, 343646, 344346, 345236, 346623, 347795, 349019, 349522, 350021, 350276, 351516, 352319, 353562, 353791, 354395, 354800, 355208, 355345, 356015, 356265, 356838, 357114, 357463, 357724, 358205, 358348, 358758, 359211, 359788, 360597, 360814, 361041, 361117, 361505, 361954, 362195, 362833, 362970, 363308, 363829, 365116, 365314, 365799, 365993, 366794, 366937, 367385, 368137, 368351, 368557, 369431, 369703, 371584, 373052, 373312, 373707, 373804, 374782, 375313, 376577, 377910, 378268, 378397, 378998, 379555, 380272, 380580, 380739, 381079, 381495, 381891, 382544, 382775, 382899, 383285, 383893, 385074, 385302, 385692, 386062, 386982, 387392, 387971, 389408, 390209, 390528, 391388, 392049, 392878, 393194, 393682, 393865, 394023, 394758, 395180, 395677, 395761, 396251, 396560, 397164, 397689, 398251, 398652, 399604, 399842, 406686, 406877, 408874, 410514, 411996, 413821, 414190, 414374, 415478, 417035, 418005, 418285, 418774, 419448, 420073, 420249, 421118, 421581, 423059, 424743, 424943, 425023, 425367, 425716, 426472, 427427, 428144, 428411, 429880, 431043, 431338, 431539, 433029, 433526, 434079, 434752, 436291, 436866, 436989, 437183, 437622, 438686, 439440, 440993, 442015, 443311, 444723, 445967, 446330, 447022, 447516, 447803, 448353, 450653, 451181, 451380, 451814, 452068, 452722, 454072, 454756, 455377, 456104, 456266, 457136, 457244, 457845, 458085, 458968, 459799, 460590, 461123, 462070, 462638, 463299, 464740, 465489, 465759, 466920, 467458, 467895, 468906, 469877, 470623, 471867, 472559, 473314, 473349, 475812, 478312, 479384, 480014, 480424, 480802, 481349, 481504, 481980, 483117, 484353, 484952, 486297, 486912, 487876, 488479, 489778, 490455, 491323, 492551, 492961, 493714, 494106, 494413, 494889, 495171, 495582, 496225, 498537]"
7,sine_gradual_500K_0,NB_EDDM_F,0.8776477552955106,0.7552226444388225,00:01:07,34.05 KB,"[434, 3584, 3856, 100138, 100213, 103632, 103845, 149252, 149306, 155686, 155855, 201242, 201417, 201635, 201778, 201947, 202136, 202305, 203284, 203567, 303790, 303951, 304091, 304243, 304422, 304560, 304767, 304963, 305197, 305374, 305533, 305675, 305855, 311564, 311672, 311859, 312021, 312195, 312339, 312476, 312911, 314402, 314457, 314639, 404170]"
8,sine_gradual_500K_0,NB_GMA_F,0.5886811773623547,0.17740413238073496,00:01:08,17.19 KB,[]
9,sine_gradual_500K_0,NB_HDDMA_F,0.8936117872235745,0.7871413933602056,00:01:17,25.89 KB,"[99860, 199882, 230042, 300082, 330050, 400141]"
