,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_50K_0,NoChange_basic_F,0.505510110202204,0.010757378018583412,00:00:01,739 B,[]
1,sine_abrupt_50K_0,MajClass_basic_F,0.507890157803156,0.01271323199457681,00:00:01,845 B,[]
2,sine_abrupt_50K_0,HT_basic_F,0.6756135122702454,0.3513063305137926,00:00:05,422.98 KB,[]
3,sine_abrupt_50K_0,HT_ADWIN_F,0.9199183983679674,0.8397844076664429,00:00:10,72.17 KB,"[2527, 4319, 6495, 9983, 10207, 13279, 14623, 18943, 20063, 29407, 30079, 40127, 42623, 48767]"
4,sine_abrupt_50K_0,HT_BOCD_F,0.9250585011700234,0.8500755054781421,01:08:18,181.65 MB,"[5446, 10005, 15824, 20005, 26477, 30008, 36109, 40012, 46551]"
5,sine_abrupt_50K_0,HT_CUSUM_F,0.9332586651733035,0.866478284097565,00:00:06,132.17 KB,"[10051, 20066, 30057, 40071]"
6,sine_abrupt_50K_0,HT_DDM_F,0.9218584371687434,0.8436477041293543,00:00:06,149.28 KB,"[10034, 20052, 30072, 40133]"
7,sine_abrupt_50K_0,HT_ECDD_F,0.8893377867557352,0.7786151635858638,00:00:06,43.86 KB,"[756, 1037, 1443, 1854, 2607, 3181, 3385, 3752, 4150, 4446, 5031, 5619, 6610, 7202, 7798, 8236, 8816, 9053, 9431, 10000, 10521, 11515, 11890, 12392, 12607, 12811, 13226, 14224, 15326, 16315, 16710, 17706, 18416, 18842, 19053, 19431, 20000, 20532, 20797, 22091, 23101, 23300, 23935, 24160, 24407, 24890, 25610, 26231, 26405, 26616, 26828, 27111, 27594, 27812, 28655, 28809, 30002, 30532, 30862, 31532, 31712, 32290, 33101, 33935, 34160, 34858, 34979, 35438, 35730, 37236, 37657, 37809, 38655, 38809, 40003, 40421, 41022, 41066, 41222, 41888, 41922, 42515, 43413, 43954, 44552, 45033, 45668, 46653, 47253, 47759, 48149, 48745, 49431]"
8,sine_abrupt_50K_0,HT_EDDM_F,0.9101182023640473,0.8201445233214576,00:00:06,124.27 KB,"[419, 1498, 2354, 2775, 3233, 4666, 5388, 10051, 10383, 10672, 11344, 20096, 20265, 30336, 30538, 30664, 40426, 40644, 41462, 41877, 42447, 42840, 43268, 44531, 45561]"
9,sine_abrupt_50K_0,HT_GMA_F,0.6756135122702454,0.3513063305137926,00:00:07,425.51 KB,[]
10,sine_abrupt_50K_0,HT_HDDMA_F,0.9369587391747835,0.8738732754708581,00:00:08,134.08 KB,"[10002, 20004, 30009, 40012]"
11,sine_abrupt_50K_0,HT_HDDMW_F,0.9362987259745195,0.872558688103957,00:00:08,135.65 KB,"[10009, 20012, 30007, 40010]"
12,sine_abrupt_50K_0,HT_KSWIN1_F,0.9363387267745354,0.8726455252692643,00:00:25,136.55 KB,"[10015, 20021, 30016, 40023]"
13,sine_abrupt_50K_0,HT_KSWIN51_F,0.9359587191743834,0.8718812251534934,00:00:24,149.98 KB,"[10016, 20021, 30014, 40022]"
14,sine_abrupt_50K_0,HT_KSWIN101_F,0.9364187283745675,0.8728062322284417,00:00:24,136.55 KB,"[10016, 20021, 30016, 40023]"
15,sine_abrupt_50K_0,HT_KSWIN151_F,0.9360387207744155,0.8720401051968851,00:00:24,133.45 KB,"[10015, 20021, 30016, 40021]"
16,sine_abrupt_50K_0,HT_KSWIN201_F,0.9363387267745354,0.8726455252692643,00:00:24,136.55 KB,"[10015, 20021, 30016, 40023]"
17,sine_abrupt_50K_0,HT_PH_F,0.9230984619692394,0.8461547431125628,00:00:07,116.88 KB,"[10246, 20312, 30220, 40307]"
