generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
sine;abrupt;1M;NB;basic;0.589;0.0004;0.1781;0.0008;85.4;6.6869;15566.848;491.0872;0.0;0.0
sine;gradual;1M;NB;basic;0.589;0.0004;0.1781;0.0008;86.2;5.7703;15349.76;0.0;0.0;0.0
sine;abrupt;1M;HT;basic;0.8842;0.005;0.7683;0.01;87.0;3.8152;2956984.32;105785.9397;0.0;0.0
sine;gradual;1M;HT;basic;0.8844;0.0053;0.7687;0.0106;81.3;6.0517;2995781.632;106495.6931;0.0;0.0
sine;abrupt;1M;NoChange;basic;0.5057;0.0005;0.0111;0.001;22.4;2.0842;703.0;17.3268;0.0;0.0
sine;gradual;1M;NoChange;basic;0.5057;0.0005;0.0111;0.001;22.7;1.619;623.0;17.3268;0.0;0.0
sine;abrupt;1M;MajClass;basic;0.508;0.0002;0.0129;0.0002;27.6;2.528;809.0;17.3268;0.0;0.0
sine;gradual;1M;MajClass;basic;0.508;0.0001;0.0129;0.0002;27.0;1.7195;729.0;17.3268;0.0;0.0
sine;abrupt;1M;BOLE;basic;0.9879;0.0002;0.9759;0.0003;696.24;30.9783;81504134.7584;1136525.1527;0.0;0.0
sine;abrupt;1M;BOLE;ADWIN;0.9219;0.0002;0.8438;0.0004;1183.7;45.5458;832541.0816;30180.9279;0.0;0.0
sine;abrupt;1M;BOLE;CUSUM;0.9792;0.0003;0.9585;0.0006;835.34;31.8727;1511828.8896;76718.2365;0.0;0.0
sine;abrupt;1M;BOLE;DDM;0.9793;0.0004;0.9585;0.0009;866.48;33.1793;5138441.8304;237310.4542;0.0;0.0
sine;abrupt;1M;BOLE;ECDD;0.8453;0.0001;0.6904;0.0003;920.86;37.0818;4294967.296;11736.2118;0.0;0.0
sine;abrupt;1M;BOLE;EDDM;0.9702;0.001;0.9404;0.002;753.84;28.7252;8792519.4752;605703.2687;0.0;0.0
sine;abrupt;1M;BOLE;GMA;0.9879;0.0002;0.9759;0.0003;921.74;38.1885;81520911.9744;1136554.9402;0.0;0.0
sine;abrupt;1M;BOLE;HDDMA;0.8684;0.0002;0.7367;0.0004;1001.88;40.2931;3104623.8208;12218.0079;0.0;0.0
sine;abrupt;1M;BOLE;HDDMW;0.9004;0.0004;0.8007;0.0008;994.76;40.24;1890582.528;57464.7189;0.0;0.0
sine;abrupt;1M;BOLE;PH;0.9929;0.0001;0.9858;0.0002;803.88;31.8621;7394767.6672;445227.3937;0.0;0.0
sine;abrupt;1M;BOLE;RDDM;0.939;0.0012;0.8779;0.0023;855.36;32.2405;2547200.8192;89172.9371;0.0;0.0
sine;abrupt;1M;BOLE;STEPD;0.8746;0.0002;0.7492;0.0003;1610.64;60.0205;3071908.2496;12249.4144;0.0;0.0
