generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
sine;abrupt;20K;NB;basic;0.5863;0.0016;0.1726;0.0031;1.0667;0.0947;15421.7813;147.3002;0.0;0.0
sine;gradual;20K;NB;basic;0.5868;0.0015;0.1737;0.0031;1.0;0.0;15349.76;0.0;0.0;0.0
sine;abrupt;20K;HT;basic;0.6056;0.003;0.2115;0.006;1.0;0.0;181434.368;4768.0719;0.0;0.0
sine;gradual;20K;HT;basic;0.6007;0.0021;0.2017;0.0041;1.0;0.0;179266.9013;3829.7172;0.0;0.0
sine;abrupt;20K;NoChange;basic;0.5068;0.0021;0.0133;0.0042;0.0;0.0;624.6;25.3859;0.0;0.0
sine;gradual;20K;NoChange;basic;0.5061;0.002;0.012;0.004;0.0;0.0;531.0;0.0;0.0;0.0
sine;abrupt;20K;MajClass;basic;0.5067;0.0007;0.0106;0.0011;0.0;0.0;730.6;25.3859;0.0;0.0
sine;gradual;20K;MajClass;basic;0.507;0.0006;0.0111;0.001;0.0;0.0;637.0;0.0;0.0;0.0
sine;abrupt;20K;HT;ADWIN;0.9035;0.0015;0.807;0.003;2.4667;0.1895;70911.6587;12532.1459;5.9667;0.4328
sine;abrupt;20K;HT;BOCD;0.9204;0.0008;0.8408;0.0015;596.5;22.6896;254548464.9813;395592.4578;4.0;0.0
sine;abrupt;20K;HT;CUSUM;0.9118;0.0008;0.8236;0.0016;1.6667;0.179;104540.8427;2526.2273;4.0;0.0
sine;abrupt;20K;HT;DDM;0.9064;0.0034;0.8128;0.0068;1.6667;0.179;118367.232;5549.702;5.7;0.7793
sine;abrupt;20K;HT;ECDD;0.8936;0.0018;0.7872;0.0037;1.7333;0.1679;40322.7307;5953.6075;35.3;1.9956
sine;abrupt;20K;HT;EDDM;0.8944;0.0023;0.7887;0.0047;1.4333;0.1882;92819.1147;16884.8763;22.9333;2.7787
sine;abrupt;20K;HT;GMA;0.6056;0.003;0.2115;0.006;1.5333;0.1895;183559.5093;4774.007;0.0;0.0
sine;abrupt;20K;HT;HDDMA;0.92;0.0008;0.8399;0.0016;1.8;0.1519;107437.7387;3300.0874;4.1667;0.1982
sine;abrupt;20K;HT;HDDMW;0.9204;0.0008;0.8407;0.0017;1.7333;0.1679;108707.84;2447.1108;4.0;0.0
sine;abrupt;20K;HT;KSWIN;0.9178;0.0017;0.8355;0.0034;7.0267;0.1596;105608.6016;1148.8707;3.9867;0.0186
sine;abrupt;20K;HT;PH;0.8946;0.0015;0.7892;0.0029;1.4667;0.1895;104730.2827;2356.5117;4.0;0.0
sine;abrupt;20K;HT;RDDM;0.9082;0.0022;0.8164;0.0044;1.6667;0.179;153989.12;12334.3178;8.7;1.3558
sine;abrupt;20K;HT;STEPD;0.9053;0.0015;0.8105;0.003;4.3;0.2622;98868.224;15176.0812;15.8667;1.3183
sine;abrupt;20K;NB;ADWIN;0.877;0.003;0.754;0.006;3.6667;0.179;25047.04;64.289;4.1;0.1503
sine;abrupt;20K;NB;BOCD;0.8908;0.003;0.7814;0.0061;671.6667;46.8804;254219212.1173;357935.7705;4.0;0.0
sine;abrupt;20K;NB;CUSUM;0.8837;0.0029;0.7674;0.0058;2.9667;0.0682;17858.56;54.1774;4.1;0.1503
sine;abrupt;20K;NB;DDM;0.8396;0.0214;0.679;0.0428;2.9667;0.0682;28811.264;2408.1722;5.0333;0.3981
sine;abrupt;20K;NB;ECDD;0.8886;0.0017;0.7771;0.0035;3.0;0.0;29762.9013;2259.6718;34.8667;2.2118
sine;abrupt;20K;NB;EDDM;0.8783;0.0028;0.7566;0.0055;2.6333;0.183;28096.1707;2517.604;20.7333;3.1102
sine;abrupt;20K;NB;GMA;0.5863;0.0016;0.1726;0.0031;2.7667;0.1606;17697.4507;48.4488;0.0;0.0
sine;abrupt;20K;NB;HDDMA;0.8891;0.0031;0.7781;0.0062;3.0;0.0;19989.504;840.5296;4.3;0.2622
sine;abrupt;20K;NB;HDDMW;0.8911;0.003;0.7821;0.006;3.0;0.0;20824.7467;64.4091;4.1333;0.1895
sine;abrupt;20K;NB;KSWIN;0.8887;0.002;0.7773;0.0041;9.2667;0.087;18773.7429;35.86;3.9867;0.0263
sine;abrupt;20K;NB;PH;0.8748;0.003;0.7495;0.006;2.7333;0.1679;17924.4373;48.8297;4.0333;0.0682
sine;abrupt;20K;NB;RDDM;0.8733;0.0078;0.7464;0.0155;3.0;0.0;83015.68;2767.9747;7.6667;1.2494
sine;abrupt;20K;NB;STEPD;0.8866;0.0033;0.7732;0.0067;5.7667;0.1606;40472.576;2472.2676;14.6667;1.4188
sine;gradual;20K;HT;ADWIN;0.8845;0.0016;0.7689;0.0031;2.3667;0.183;92337.8347;10837.0878;8.8667;0.3499
sine;gradual;20K;HT;BOCD;0.8854;0.0014;0.7708;0.0028;407.3;19.5293;155964968.6187;22576123.9895;8.0;0.0
sine;gradual;20K;HT;CUSUM;0.8933;0.0015;0.7865;0.003;1.7333;0.1679;99771.0507;3016.6746;4.0;0.0
sine;gradual;20K;HT;DDM;0.8879;0.0025;0.7757;0.0049;1.7667;0.1606;100690.2613;5032.6417;6.0667;0.7268
sine;gradual;20K;HT;ECDD;0.8721;0.0022;0.7442;0.0043;1.8333;0.1415;46092.9707;11032.197;26.1667;1.9663
sine;gradual;20K;HT;EDDM;0.885;0.0017;0.7699;0.0034;1.3667;0.183;104932.0107;12121.4531;14.1667;1.3766
sine;gradual;20K;HT;GMA;0.6007;0.0021;0.2017;0.0041;1.6333;0.183;181428.9067;3830.7422;0.0;0.0
sine;gradual;20K;HT;HDDMA;0.8902;0.0017;0.7804;0.0035;1.8667;0.1291;100279.9787;5086.5091;4.6667;0.3713
sine;gradual;20K;HT;HDDMW;0.8909;0.0017;0.7816;0.0034;1.8333;0.1415;100380.672;4533.3256;4.4667;0.2898
sine;gradual;20K;HT;KSWIN;0.6059;0.0028;0.212;0.0057;8.5;0.1829;173158.8096;4408.9961;0.12;0.0526
sine;gradual;20K;HT;PH;0.8808;0.0015;0.7615;0.003;1.6;0.1861;104739.1573;2226.4729;4.0;0.0
sine;gradual;20K;HT;RDDM;0.89;0.0018;0.7798;0.0035;1.8;0.1519;159674.368;6094.7267;7.9333;0.99
sine;gradual;20K;HT;STEPD;0.8816;0.0019;0.7632;0.0038;4.4333;0.2535;108622.5067;11983.2142;17.4333;1.42
sine;gradual;20K;NB;ADWIN;0.8651;0.0027;0.73;0.0054;2.9333;0.0947;24995.1573;60.8312;7.1;0.4636
sine;gradual;20K;NB;BOCD;0.8652;0.0029;0.7304;0.0057;388.9;20.2907;158317849.2587;18651746.1069;7.8;0.1519
