,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_100K_0,BOLE_BOCD_F,0.7599575995759957,0.4863555068025221,02:54:06,120.91 MB,[]
1,stagger_abrupt_100K_2,BOLE_BOCD_F,0.7023670236702367,0.36994625896492345,02:33:57,308.14 MB,[]
2,stagger_abrupt_100K_4,BOLE_BOCD_F,0.7546575465754658,0.4716724847383371,03:02:45,86.19 MB,[]
3,stagger_abrupt_100K_6,BOLE_BOCD_F,0.7555975559755598,0.48333663242259073,02:51:03,151.71 MB,[]
4,stagger_abrupt_100K_8,BOLE_BOCD_F,0.7379573795737957,0.4342216783942193,02:50:59,271.62 MB,[]
5,stagger_abrupt_100K_10,BOLE_BOCD_F,0.7044270442704427,0.38945123143862337,02:27:27,375.46 MB,[]
6,stagger_abrupt_100K_12,BOLE_BOCD_F,0.7150271502715028,0.38572954354017736,02:36:03,393.67 MB,[]
7,stagger_abrupt_100K_14,BOLE_BOCD_F,0.7170571705717057,0.4014264075611899,02:35:38,409.03 MB,[]
8,stagger_abrupt_100K_16,BOLE_BOCD_F,0.7483174831748317,0.4696566402641956,02:06:17,108.3 MB,[]
9,stagger_abrupt_100K_18,BOLE_BOCD_F,0.7488974889748897,0.47389498601227187,02:16:03,105.44 MB,[]
10,stagger_abrupt_100K_20,BOLE_BOCD_F,0.7431574315743158,0.44169856655595197,02:32:06,473.32 MB,[]
11,stagger_abrupt_100K_22,BOLE_BOCD_F,0.7806778067780678,0.5286158332971284,02:30:20,170.5 MB,[]
12,stagger_abrupt_100K_24,BOLE_BOCD_F,0.7803678036780368,0.5480486882298075,01:46:15,354.98 MB,[]
13,stagger_abrupt_100K_26,BOLE_BOCD_F,0.7310773107731078,0.42177900497077087,02:23:18,508.38 MB,[]
14,stagger_abrupt_100K_28,BOLE_BOCD_F,0.7242372423724237,0.4022925187851308,02:24:12,137.23 MB,[]
15,stagger_abrupt_100K_30,BOLE_BOCD_F,0.7305373053730537,0.43611822322176647,01:50:23,208.16 MB,[]
16,stagger_abrupt_100K_32,BOLE_BOCD_F,0.7311573115731157,0.4124031826971382,02:27:01,447.16 MB,[]
17,stagger_abrupt_100K_34,BOLE_BOCD_F,0.7336573365733657,0.4407073591297403,02:03:09,211.05 MB,[]
18,stagger_abrupt_100K_36,BOLE_BOCD_F,0.7137171371713718,0.3746147083558683,02:20:14,113.77 MB,[]
19,stagger_abrupt_100K_38,BOLE_BOCD_F,0.7252372523725237,0.41238741187129735,02:10:16,132.26 MB,[]
20,stagger_abrupt_100K_40,BOLE_BOCD_F,0.7486274862748628,0.4559725146679351,02:24:43,87.18 MB,[]
21,stagger_abrupt_100K_42,BOLE_BOCD_F,0.7523175231752317,0.4704489281477868,02:04:59,322.45 MB,[]
22,stagger_abrupt_100K_44,BOLE_BOCD_F,0.7200772007720078,0.40815397651246654,02:06:54,357.45 MB,[]
23,stagger_abrupt_100K_46,BOLE_BOCD_F,0.7510975109751098,0.4489701667698307,02:43:24,758.31 MB,[]
24,stagger_abrupt_100K_48,BOLE_BOCD_F,0.7661976619766198,0.4955901972129108,02:18:26,303.27 MB,[]
25,stagger_abrupt_100K_50,BOLE_BOCD_F,0.7271472714727147,0.4076402767524921,02:26:28,450.6 MB,[]
26,stagger_abrupt_100K_52,BOLE_BOCD_F,0.6876968769687697,0.34972731774011556,02:07:50,376.84 MB,[]
27,stagger_abrupt_100K_54,BOLE_BOCD_F,0.7598575985759858,0.4785792385646225,02:26:14,131.13 MB,[]
28,stagger_abrupt_100K_56,BOLE_BOCD_F,0.7441574415744158,0.45225999398962385,02:18:32,554.76 MB,[]
29,stagger_abrupt_100K_58,BOLE_BOCD_F,0.7652076520765208,0.5039185653933971,01:44:57,77.87 MB,[]
