,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_100K_0,BOLE_BOCD_F,0.7856178561785618,0.5527286786501879,02:26:36,115.07 MB,[]
1,stagger_gradual_100K_2,BOLE_BOCD_F,0.7180971809718097,0.4059748483383624,02:32:59,81.69 MB,[]
2,stagger_gradual_100K_4,BOLE_BOCD_F,0.7662976629766297,0.4984668816220907,02:53:54,86.88 MB,[]
3,stagger_gradual_100K_6,BOLE_BOCD_F,0.7771277712777128,0.5294638081841103,01:40:50,151.7 MB,[]
4,stagger_gradual_100K_8,BOLE_BOCD_F,0.7859278592785928,0.5436891793125146,02:13:29,179.16 MB,[]
5,stagger_gradual_100K_10,BOLE_BOCD_F,0.7821078210782108,0.553460659439354,01:46:58,204.21 MB,[]
6,stagger_gradual_100K_12,BOLE_BOCD_F,0.7344973449734498,0.43955683960529124,02:15:04,108.56 MB,[]
7,stagger_gradual_100K_14,BOLE_BOCD_F,0.7390073900739007,0.446684005407366,02:16:43,124.92 MB,[]
8,stagger_gradual_100K_16,BOLE_BOCD_F,0.7832878328783288,0.5414098685174368,02:11:24,117.04 MB,[]
9,stagger_gradual_100K_18,BOLE_BOCD_F,0.7139371393713937,0.4013760283245161,02:08:30,119.59 MB,[]
10,stagger_gradual_100K_20,BOLE_BOCD_F,0.7739977399773997,0.5195013472207121,02:13:26,230.54 MB,[]
11,stagger_gradual_100K_22,BOLE_BOCD_F,0.7819578195781958,0.5366191644464016,02:11:50,53.45 MB,[]
12,stagger_gradual_100K_24,BOLE_BOCD_F,0.7149271492714927,0.40142729967481267,02:12:28,312.26 MB,[]
13,stagger_gradual_100K_26,BOLE_BOCD_F,0.7601376013760137,0.4863235819642819,02:51:34,137.63 MB,[]
14,stagger_gradual_100K_28,BOLE_BOCD_F,0.7556775567755678,0.48792458920331555,02:44:16,411.27 MB,[]
15,stagger_gradual_100K_30,BOLE_BOCD_F,0.7310973109731097,0.4351219225960177,02:51:21,382.11 MB,[]
16,stagger_gradual_100K_32,BOLE_BOCD_F,0.7610776107761078,0.4904087165930876,02:27:40,194.4 MB,[]
17,stagger_gradual_100K_34,BOLE_BOCD_F,0.7748877488774888,0.5298153828217491,02:24:00,445.54 MB,[]
18,stagger_gradual_100K_36,BOLE_BOCD_F,0.7401174011740117,0.44795981265630025,02:19:12,286.38 MB,[]
19,stagger_gradual_100K_38,BOLE_BOCD_F,0.7692576925769258,0.5142397622995643,02:20:39,212.56 MB,[]
20,stagger_gradual_100K_40,BOLE_BOCD_F,0.7602476024760247,0.48839144471701706,02:27:25,114.6 MB,[]
21,stagger_gradual_100K_42,BOLE_BOCD_F,0.7363073630736308,0.4353420542005163,02:19:46,135.73 MB,[]
22,stagger_gradual_100K_44,BOLE_BOCD_F,0.7651276512765127,0.5118439143801894,01:59:06,84.65 MB,[]
23,stagger_gradual_100K_46,BOLE_BOCD_F,0.8132281322813228,0.5974015202211557,02:00:52,140.33 MB,[]
24,stagger_gradual_100K_48,BOLE_BOCD_F,0.7518475184751847,0.46534770666728115,02:13:43,405.07 MB,[]
25,stagger_gradual_100K_50,BOLE_BOCD_F,0.7508675086750868,0.4778506353648498,02:52:33,168.66 MB,[]
26,stagger_gradual_100K_52,BOLE_BOCD_F,0.7673876738767388,0.5241099591726147,02:06:58,326.98 MB,[]
27,stagger_gradual_100K_54,BOLE_BOCD_F,0.7598275982759828,0.4844584188132215,02:38:39,272.08 MB,[]
28,stagger_gradual_100K_56,BOLE_BOCD_F,0.7894478944789448,0.5596188176307119,02:43:20,76.78 MB,[]
29,stagger_gradual_100K_58,BOLE_BOCD_F,0.7866578665786658,0.5585870426333999,02:07:25,181.66 MB,[]
