generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
stagger;abrupt;10K;NB;basic;0.6369;0.0018;0.1484;0.0038;1.0;0.0;22298.2827;200.3561;0.0;0.0
stagger;abrupt;10K;HT;basic;0.6358;0.0055;0.2118;0.0128;0.0;0.0;133927.2533;85.9592;0.0;0.0
stagger;abrupt;10K;NoChange;basic;0.6324;0.0029;0.2333;0.0061;0.0;0.0;624.6;25.3859;0.0;0.0
stagger;abrupt;10K;MajClass;basic;0.6012;0.0016;-0.0;0.0;0.0;0.0;730.6;25.3859;0.0;0.0
stagger;abrupt;10K;BOLE;basic;0.8078;0.0191;0.5925;0.0423;5.0667;0.0947;1193629.0133;29997.3856;0.0;0.0
stagger;abrupt;10K;BOLE;ADWIN;0.7389;0.0174;0.4376;0.0378;11.9333;0.0947;155437.7387;6771.0621;0.0;0.0
stagger;abrupt;10K;BOLE;BOCD;0.7767;0.0155;0.5223;0.0362;515.4667;59.1199;236778597.0347;41883514.311;0.0;0.0
stagger;abrupt;10K;BOLE;CUSUM;0.938;0.0121;0.8697;0.0257;7.0;0.0;256863.9147;11621.1419;0.0;0.0
stagger;abrupt;10K;BOLE;DDM;0.9148;0.0148;0.826;0.0294;7.7667;0.1606;289339.0507;26857.331;0.0;0.0
stagger;abrupt;10K;BOLE;ECDD;0.849;0.0135;0.6923;0.0274;8.7667;0.1606;165810.176;6225.8092;0.0;0.0
stagger;abrupt;10K;BOLE;EDDM;0.8075;0.0184;0.5991;0.0395;7.0;0.0;165026.4747;11818.8007;0.0;0.0
stagger;abrupt;10K;BOLE;GMA;0.8078;0.0191;0.5925;0.0423;7.2333;0.1606;1209707.1787;29969.1755;0.0;0.0
stagger;abrupt;10K;BOLE;HDDMA;0.8629;0.0081;0.7199;0.0158;9.4;0.1861;208101.0347;14835.0567;0.0;0.0
stagger;abrupt;10K;BOLE;HDDMW;0.8833;0.0116;0.7587;0.0239;9.5333;0.1895;186637.6533;8713.8244;0.0;0.0
stagger;abrupt;10K;BOLE;KSWIN1;0.9071;0.0142;0.8081;0.0295;39.4667;0.7515;242637.824;13174.0828;0.0;0.0
stagger;abrupt;10K;BOLE;KSWIN51;0.9106;0.0169;0.8146;0.0354;40.4;0.6836;218772.48;15640.3317;0.0;0.0
stagger;abrupt;10K;BOLE;KSWIN101;0.9141;0.0132;0.8228;0.027;39.8;0.7233;238723.7547;13729.5432;0.0;0.0
stagger;abrupt;10K;BOLE;KSWIN151;0.9114;0.0146;0.8171;0.0301;40.6333;0.7626;227649.536;14356.5419;0.0;0.0
