,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_10K_0,BOLE_basic_F,0.6895689568956895,0.3412173559551012,00:00:04,823.43 KB,[]
1,stagger_abrupt_10K_0,BOLE_ADWIN_F,0.7882788278827882,0.5551736222552103,00:00:09,211.26 KB,[]
2,stagger_abrupt_10K_0,BOLE_BOCD_F,0.8529852985298529,0.6918990137644361,00:07:49,105.59 MB,[]
3,stagger_abrupt_10K_0,BOLE_CUSUM_F,0.908990899089909,0.8117662727471663,00:00:05,277.5 KB,[]
4,stagger_abrupt_10K_0,BOLE_DDM_F,0.9477947794779478,0.8920071461176472,00:00:06,267.46 KB,[]
5,stagger_abrupt_10K_0,BOLE_ECDD_F,0.89008900890089,0.776364322712059,00:00:07,128.54 KB,[]
6,stagger_abrupt_10K_0,BOLE_EDDM_F,0.7784778477847785,0.5391569824293883,00:00:06,141.03 KB,[]
7,stagger_abrupt_10K_0,BOLE_GMA_F,0.6895689568956895,0.3412173559551012,00:00:06,839.17 KB,[]
8,stagger_abrupt_10K_0,BOLE_HDDMA_F,0.8322832283228323,0.6604844769701933,00:00:08,209.87 KB,[]
9,stagger_abrupt_10K_0,BOLE_HDDMW_F,0.8704870487048705,0.7261390545243571,00:00:08,176.67 KB,[]
10,stagger_abrupt_10K_0,BOLE_KSWIN1_F,0.8866886688668867,0.7677529188413308,00:00:30,280.73 KB,[]
11,stagger_abrupt_10K_0,BOLE_KSWIN51_F,0.8793879387938794,0.7534726421715812,00:00:32,273.87 KB,[]
12,stagger_abrupt_10K_0,BOLE_KSWIN101_F,0.8504850485048505,0.6962062198272886,00:00:33,254.04 KB,[]
13,stagger_abrupt_10K_0,BOLE_KSWIN151_F,0.9072907290729073,0.8100390098390575,00:00:33,203.77 KB,[]
14,stagger_abrupt_10K_0,BOLE_KSWIN201_F,0.888088808880888,0.7706764326055464,00:00:33,246.67 KB,[]
15,stagger_abrupt_10K_0,BOLE_PH_F,0.8668866886688669,0.7199700845116334,00:00:05,295.25 KB,[]
16,stagger_abrupt_10K_0,BOLE_RDDM_F,0.90999099909991,0.8157804266288757,00:00:06,830.74 KB,[]
17,stagger_abrupt_10K_0,BOLE_STEPD_F,0.6981698169816982,0.35054098373568754,00:00:14,184.69 KB,[]
18,stagger_abrupt_10K_2,BOLE_basic_F,0.7916791679167917,0.5612332621819717,00:00:04,1.06 MB,[]
19,stagger_abrupt_10K_2,BOLE_ADWIN_F,0.7334733473347335,0.43840280114341246,00:00:09,155.75 KB,[]
20,stagger_abrupt_10K_2,BOLE_BOCD_F,0.6832683268326832,0.3164573364230737,00:10:24,286.53 MB,[]
21,stagger_abrupt_10K_2,BOLE_CUSUM_F,0.8856885688568857,0.7602884352016759,00:00:06,245.49 KB,[]
22,stagger_abrupt_10K_2,BOLE_DDM_F,0.9522952295229523,0.9005976471214941,00:00:06,288.39 KB,[]
23,stagger_abrupt_10K_2,BOLE_ECDD_F,0.8123812381238124,0.6254902605151429,00:00:07,159.88 KB,[]
24,stagger_abrupt_10K_2,BOLE_EDDM_F,0.8451845184518452,0.684638655106064,00:00:05,139.61 KB,[]
25,stagger_abrupt_10K_2,BOLE_GMA_F,0.7916791679167917,0.5612332621819717,00:00:06,1.07 MB,[]
26,stagger_abrupt_10K_2,BOLE_HDDMA_F,0.8243824382438244,0.648490232676693,00:00:08,154.27 KB,[]
27,stagger_abrupt_10K_2,BOLE_HDDMW_F,0.8814881488148815,0.757689808131872,00:00:08,174.79 KB,[]
28,stagger_abrupt_10K_2,BOLE_KSWIN1_F,0.9251925192519251,0.8440391364125505,00:00:33,258.99 KB,[]
29,stagger_abrupt_10K_2,BOLE_KSWIN51_F,0.9325932593259326,0.8596677048685768,00:00:36,211.42 KB,[]
30,stagger_abrupt_10K_2,BOLE_KSWIN101_F,0.8679867986798679,0.726101990478934,00:00:36,124.19 KB,[]
31,stagger_abrupt_10K_2,BOLE_KSWIN151_F,0.8960896089608961,0.7883934997840236,00:00:32,234.16 KB,[]
32,stagger_abrupt_10K_2,BOLE_KSWIN201_F,0.883988398839884,0.760198833242379,00:00:34,168.02 KB,[]
33,stagger_abrupt_10K_2,BOLE_PH_F,0.8544854485448545,0.691537872262239,00:00:05,269.96 KB,[]
34,stagger_abrupt_10K_2,BOLE_RDDM_F,0.9066906690669067,0.8050016864965086,00:00:06,769.92 KB,[]
35,stagger_abrupt_10K_2,BOLE_STEPD_F,0.8795879587958796,0.7512471430336015,00:00:14,222.67 KB,[]
36,stagger_abrupt_10K_4,BOLE_basic_F,0.7765776577657766,0.5226699530088456,00:00:04,1.15 MB,[]
37,stagger_abrupt_10K_4,BOLE_ADWIN_F,0.7428742874287428,0.45196603026332616,00:00:09,164.22 KB,[]
38,stagger_abrupt_10K_4,BOLE_BOCD_F,0.7903790379037904,0.5572742468557836,00:07:16,180.28 MB,[]
39,stagger_abrupt_10K_4,BOLE_CUSUM_F,0.7948794879487949,0.5677940656257914,00:00:06,303.11 KB,[]
40,stagger_abrupt_10K_4,BOLE_DDM_F,0.8712871287128713,0.7410808366714007,00:00:06,448.6 KB,[]
41,stagger_abrupt_10K_4,BOLE_ECDD_F,0.8950895089508951,0.7834243197021339,00:00:07,148.88 KB,[]
42,stagger_abrupt_10K_4,BOLE_EDDM_F,0.7751775177517751,0.5238181671199319,00:00:05,135 KB,[]
43,stagger_abrupt_10K_4,BOLE_GMA_F,0.7765776577657766,0.5226699530088456,00:00:06,1.17 MB,[]
44,stagger_abrupt_10K_4,BOLE_HDDMA_F,0.8784878487848785,0.7522628464101774,00:00:07,202.93 KB,[]
45,stagger_abrupt_10K_4,BOLE_HDDMW_F,0.873087308730873,0.736474312928237,00:00:08,174.01 KB,[]
46,stagger_abrupt_10K_4,BOLE_KSWIN1_F,0.9386938693869387,0.8713120037156549,00:00:34,232.93 KB,[]
47,stagger_abrupt_10K_4,BOLE_KSWIN51_F,0.8881888188818882,0.7680437283375164,00:00:34,262.63 KB,[]
48,stagger_abrupt_10K_4,BOLE_KSWIN101_F,0.9081908190819082,0.8108717348468076,00:00:34,186.71 KB,[]
49,stagger_abrupt_10K_4,BOLE_KSWIN151_F,0.9191919191919192,0.8326229455622953,00:00:34,314.97 KB,[]
50,stagger_abrupt_10K_4,BOLE_KSWIN201_F,0.8637863786378638,0.7243290688726434,00:00:34,240.32 KB,[]
51,stagger_abrupt_10K_4,BOLE_PH_F,0.8216821682168217,0.6307641579086579,00:00:05,368.08 KB,[]
52,stagger_abrupt_10K_4,BOLE_RDDM_F,0.9363936393639364,0.8687431106461345,00:00:06,836.49 KB,[]
53,stagger_abrupt_10K_4,BOLE_STEPD_F,0.7035703570357036,0.3563685234294865,00:00:13,192.58 KB,[]
54,stagger_abrupt_10K_6,BOLE_basic_F,0.7651765176517652,0.4956102098359659,00:00:04,1.18 MB,[]
55,stagger_abrupt_10K_6,BOLE_ADWIN_F,0.7385738573857386,0.41413511036857265,00:00:09,149.14 KB,[]
56,stagger_abrupt_10K_6,BOLE_BOCD_F,0.7334733473347335,0.41129925374662646,00:08:07,321.01 MB,[]
57,stagger_abrupt_10K_6,BOLE_CUSUM_F,0.8722872287228722,0.7267697637276456,00:00:06,222.68 KB,[]
58,stagger_abrupt_10K_6,BOLE_DDM_F,0.9502950295029503,0.8973306756191151,00:00:06,189.39 KB,[]
59,stagger_abrupt_10K_6,BOLE_ECDD_F,0.8683868386838683,0.733141473418922,00:00:07,152.91 KB,[]
60,stagger_abrupt_10K_6,BOLE_EDDM_F,0.8178817881788178,0.6248106015843642,00:00:06,167.26 KB,[]
61,stagger_abrupt_10K_6,BOLE_GMA_F,0.7651765176517652,0.4956102098359659,00:00:06,1.19 MB,[]
62,stagger_abrupt_10K_6,BOLE_HDDMA_F,0.8677867786778678,0.7279271371165782,00:00:08,166.73 KB,[]
63,stagger_abrupt_10K_6,BOLE_HDDMW_F,0.946994699469947,0.8907043226968654,00:00:08,155.93 KB,[]
64,stagger_abrupt_10K_6,BOLE_KSWIN1_F,0.9336933693369337,0.8637467252525279,00:00:34,192.68 KB,[]
65,stagger_abrupt_10K_6,BOLE_KSWIN51_F,0.9126912691269127,0.8218677727940887,00:00:33,186.36 KB,[]
66,stagger_abrupt_10K_6,BOLE_KSWIN101_F,0.8891889188918892,0.7751485385791149,00:00:35,210.7 KB,[]
67,stagger_abrupt_10K_6,BOLE_KSWIN151_F,0.9744974497449745,0.9471915183830523,00:00:29,260.22 KB,[]
68,stagger_abrupt_10K_6,BOLE_KSWIN201_F,0.9206920692069207,0.8382534133829863,00:00:33,190.29 KB,[]
69,stagger_abrupt_10K_6,BOLE_PH_F,0.9280928092809281,0.8497692180529092,00:00:05,271.83 KB,[]
70,stagger_abrupt_10K_6,BOLE_RDDM_F,0.9241924192419242,0.8424300219538968,00:00:06,907.4 KB,[]
71,stagger_abrupt_10K_6,BOLE_STEPD_F,0.8013801380138014,0.5860923371526282,00:00:15,197.66 KB,[]
72,stagger_abrupt_10K_8,BOLE_basic_F,0.8563856385638564,0.7021621457024131,00:00:05,1.17 MB,[]
73,stagger_abrupt_10K_8,BOLE_ADWIN_F,0.7561756175617562,0.4913724128025396,00:00:09,140.89 KB,[]
74,stagger_abrupt_10K_8,BOLE_BOCD_F,0.767976797679768,0.5102429007464561,00:07:38,114.57 MB,[]
75,stagger_abrupt_10K_8,BOLE_CUSUM_F,0.9821982198219822,0.9627315091583912,00:00:06,245.52 KB,[]
76,stagger_abrupt_10K_8,BOLE_DDM_F,0.9684968496849685,0.9340200155531424,00:00:06,250.48 KB,[]
77,stagger_abrupt_10K_8,BOLE_ECDD_F,0.8101810181018102,0.5854051604000223,00:00:06,127.01 KB,[]
