,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_10K_0,HT_basic_F,0.6207620762076208,0.1845816846988484,00:00:00,131.74 KB,[]
1,stagger_abrupt_10K_0,HT_ADWIN_F,0.701970197019702,0.41239348221616395,00:00:01,17.62 KB,"[2111, 5247, 5535, 6079, 8127]"
2,stagger_abrupt_10K_0,HT_BOCD_F,0.703970397039704,0.42684468637116085,00:01:52,58.3 MB,"[2048, 5362, 5761, 6077, 8046]"
3,stagger_abrupt_10K_0,HT_CUSUM_F,0.7055705570557056,0.4214481955279291,00:00:00,11.12 KB,"[2102, 6123, 8099]"
4,stagger_abrupt_10K_0,HT_DDM_F,0.8390839083908391,0.6459265386289095,00:00:01,12.42 KB,"[2063, 4079, 6015, 8059]"
5,stagger_abrupt_10K_0,HT_ECDD_F,0.9336933693369337,0.8614109487896109,00:00:01,13.24 KB,"[195, 555, 1049, 2001, 3998, 5997, 6820, 7046, 7998]"
6,stagger_abrupt_10K_0,HT_EDDM_F,0.686968696869687,0.3900567514432252,00:00:00,16.97 KB,"[263, 2102, 2166, 2231, 2281, 6407, 6580, 6929, 8057, 8133, 8197, 8268, 8393, 8505]"
7,stagger_abrupt_10K_0,HT_GMA_F,0.6207620762076208,0.1845816846988484,00:00:01,132.89 KB,[]
8,stagger_abrupt_10K_0,HT_HDDMA_F,0.7212721272127213,0.4589260816196981,00:00:01,17.62 KB,"[2010, 6016, 8007]"
9,stagger_abrupt_10K_0,HT_HDDMW_F,0.7491749174917491,0.4994085723237718,00:00:01,14.82 KB,"[2017, 3285, 3681, 6011, 8014, 9282, 9678]"
10,stagger_abrupt_10K_0,HT_KSWIN1_F,0.7188718871887189,0.4525658095436145,00:00:04,12.51 KB,"[2024, 6017, 8021]"
11,stagger_abrupt_10K_0,HT_KSWIN51_F,0.7197719771977198,0.4552281049211938,00:00:04,12.51 KB,"[2026, 6017, 8024]"
12,stagger_abrupt_10K_0,HT_KSWIN101_F,0.7187718771877187,0.45247263705657226,00:00:04,12.51 KB,"[2028, 6017, 8026]"
13,stagger_abrupt_10K_0,HT_KSWIN151_F,0.7188718871887189,0.45272825310385806,00:00:04,12.51 KB,"[2024, 6017, 8025]"
14,stagger_abrupt_10K_0,HT_KSWIN201_F,0.7194719471947195,0.4545033964498099,00:00:04,12.51 KB,"[2027, 6017, 8024]"
15,stagger_abrupt_10K_0,HT_PH_F,0.6424642464246425,0.3108363383392055,00:00:00,11.2 KB,"[2179, 7211, 8152]"
16,stagger_abrupt_10K_0,HT_RDDM_F,0.7928792879287929,0.5898922429657951,00:00:01,68.48 KB,"[282, 560, 1049, 1304, 1441, 2012, 2228, 6088, 8027]"
17,stagger_abrupt_10K_0,HT_STEPD_F,0.7004700470047005,0.4044013632080484,00:00:02,29.03 KB,"[2006, 2274, 2986, 3293, 3631, 4403, 4465, 4693, 4911, 5128, 5307, 5455, 5676, 5877, 6007, 8003, 8280, 8983, 9290, 9628]"
18,stagger_abrupt_10K_2,HT_basic_F,0.6204620462046204,0.17635612201489037,00:00:00,130.73 KB,[]
19,stagger_abrupt_10K_2,HT_ADWIN_F,0.6937693769376938,0.40314320393033837,00:00:01,17.62 KB,"[2143, 5471, 5855, 6271, 8159]"
20,stagger_abrupt_10K_2,HT_BOCD_F,0.7014701470147015,0.4152984735530681,00:01:14,56.06 MB,"[2051, 4669, 5033, 5415, 5795, 6157, 8084]"
21,stagger_abrupt_10K_2,HT_CUSUM_F,0.7070707070707071,0.42846552116892267,00:00:00,11.12 KB,"[2109, 6123, 8093]"
22,stagger_abrupt_10K_2,HT_DDM_F,0.8763876387638764,0.7294048979196118,00:00:01,17.04 KB,"[76, 2089, 4062, 6006, 6076, 8089]"
23,stagger_abrupt_10K_2,HT_ECDD_F,0.9273927392739274,0.8467831695374479,00:00:01,16.74 KB,"[76, 364, 1219, 2001, 4001, 6000, 6076, 6364, 7219, 8001]"
24,stagger_abrupt_10K_2,HT_EDDM_F,0.6754675467546755,0.36065682499904095,00:00:00,18.24 KB,"[1214, 1261, 1441, 1674, 1903, 2027, 2093, 2151, 2208, 2320, 6410, 6721, 6949, 7166, 7415, 7579, 7899, 8012, 8192, 8242, 8305, 8360, 8422, 8485]"
