,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_10K_0,BOLE_basic_F,0.8392839283928393,0.6619709803251853,00:00:05,0.97 MB,[]
1,stagger_gradual_10K_0,BOLE_ADWIN_F,0.8455845584558456,0.6858769286776126,00:00:09,177.46 KB,[]
2,stagger_gradual_10K_0,BOLE_BOCD_F,0.8999899989999,0.7927894457276204,00:03:34,80.83 MB,[]
3,stagger_gradual_10K_0,BOLE_CUSUM_F,0.9151915191519152,0.8248781283911313,00:00:06,161.53 KB,[]
4,stagger_gradual_10K_0,BOLE_DDM_F,0.8975897589758975,0.788515490517565,00:00:07,159.58 KB,[]
5,stagger_gradual_10K_0,BOLE_ECDD_F,0.8462846284628462,0.6872406389158892,00:00:07,166.87 KB,[]
6,stagger_gradual_10K_0,BOLE_EDDM_F,0.8535853585358536,0.6996694063495252,00:00:06,145.25 KB,[]
7,stagger_gradual_10K_0,BOLE_GMA_F,0.8392839283928393,0.6619709803251853,00:00:07,0.98 MB,[]
8,stagger_gradual_10K_0,BOLE_HDDMA_F,0.8436843684368437,0.684365189766084,00:00:08,159.61 KB,[]
9,stagger_gradual_10K_0,BOLE_HDDMW_F,0.8903890389038904,0.7746179175697763,00:00:08,156.91 KB,[]
10,stagger_gradual_10K_0,BOLE_KSWIN1_F,0.9014901490149015,0.7967852880448095,00:00:34,130.23 KB,[]
11,stagger_gradual_10K_0,BOLE_KSWIN51_F,0.9133913391339133,0.8206826808491444,00:00:36,236.52 KB,[]
12,stagger_gradual_10K_0,BOLE_KSWIN101_F,0.9136913691369137,0.8207328430561422,00:00:34,146.86 KB,[]
13,stagger_gradual_10K_0,BOLE_KSWIN151_F,0.9140914091409141,0.8223347437724945,00:00:33,119.77 KB,[]
14,stagger_gradual_10K_0,BOLE_KSWIN201_F,0.904990499049905,0.8030104343158456,00:00:33,121.07 KB,[]
15,stagger_gradual_10K_0,BOLE_PH_F,0.9245924592459246,0.8438247020865408,00:00:06,246.91 KB,[]
16,stagger_gradual_10K_0,BOLE_RDDM_F,0.9090909090909091,0.8118898965272333,00:00:06,784.7 KB,[]
17,stagger_gradual_10K_0,BOLE_STEPD_F,0.8200820082008201,0.6246432006183928,00:00:15,195.59 KB,[]
18,stagger_gradual_10K_2,BOLE_basic_F,0.8624862486248625,0.714079376300458,00:00:05,1.01 MB,[]
19,stagger_gradual_10K_2,BOLE_ADWIN_F,0.7671767176717672,0.519149175793383,00:00:11,140.07 KB,[]
20,stagger_gradual_10K_2,BOLE_BOCD_F,0.8524852485248525,0.7016440369863262,00:05:38,38.29 MB,[]
21,stagger_gradual_10K_2,BOLE_CUSUM_F,0.9081908190819082,0.8111766852047445,00:00:06,172.5 KB,[]
22,stagger_gradual_10K_2,BOLE_DDM_F,0.8690869086908691,0.7340457893785147,00:00:07,363.97 KB,[]
23,stagger_gradual_10K_2,BOLE_ECDD_F,0.834083408340834,0.6608537163631222,00:00:07,144.16 KB,[]
24,stagger_gradual_10K_2,BOLE_EDDM_F,0.8673867386738674,0.7278558971499476,00:00:06,135.33 KB,[]
25,stagger_gradual_10K_2,BOLE_GMA_F,0.8624862486248625,0.714079376300458,00:00:06,1.02 MB,[]
26,stagger_gradual_10K_2,BOLE_HDDMA_F,0.8560856085608561,0.7068045886593919,00:00:08,192 KB,[]
27,stagger_gradual_10K_2,BOLE_HDDMW_F,0.8787878787878788,0.7510091814068427,00:00:08,189.91 KB,[]
28,stagger_gradual_10K_2,BOLE_KSWIN1_F,0.890989098909891,0.7770737102383471,00:00:33,253.73 KB,[]
29,stagger_gradual_10K_2,BOLE_KSWIN51_F,0.9114911491149115,0.8172548348726111,00:00:34,205.9 KB,[]
30,stagger_gradual_10K_2,BOLE_KSWIN101_F,0.9081908190819082,0.8103705770814511,00:00:34,251.42 KB,[]
31,stagger_gradual_10K_2,BOLE_KSWIN151_F,0.9103910391039104,0.8149606473224751,00:00:33,171.94 KB,[]
32,stagger_gradual_10K_2,BOLE_KSWIN201_F,0.9028902890289029,0.7996609619080258,00:00:33,109.51 KB,[]
33,stagger_gradual_10K_2,BOLE_PH_F,0.9212921292129213,0.8364575592043876,00:00:06,160.57 KB,[]
34,stagger_gradual_10K_2,BOLE_RDDM_F,0.8784878487848785,0.7505456256511231,00:00:06,828.49 KB,[]
35,stagger_gradual_10K_2,BOLE_STEPD_F,0.7996799679967996,0.5847271505815281,00:00:14,220.57 KB,[]
36,stagger_gradual_10K_4,BOLE_basic_F,0.8345834583458346,0.6480561092972105,00:00:04,1.09 MB,[]
37,stagger_gradual_10K_4,BOLE_ADWIN_F,0.8543854385438544,0.6918437183213929,00:00:09,168.39 KB,[]
