,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_1M_0,BOLE_basic_F,0.9595819595819596,0.9172036978488783,00:06:26,1.71 MB,[]
1,stagger_abrupt_1M_0,BOLE_ADWIN_F,0.7647487647487647,0.4869394452153939,00:16:27,587.25 KB,[]
2,stagger_abrupt_1M_0,BOLE_CUSUM_F,0.9997099997099997,0.9993960684199225,00:07:44,320.08 KB,[]
3,stagger_abrupt_1M_0,BOLE_DDM_F,0.9970849970849971,0.9939293028360479,00:09:00,880.59 KB,[]
4,stagger_abrupt_1M_0,BOLE_ECDD_F,0.9661879661879662,0.9295480472393115,00:12:52,3.82 MB,[]
5,stagger_abrupt_1M_0,BOLE_EDDM_F,0.993969993969994,0.9874454812805539,00:07:56,1.02 MB,[]
6,stagger_abrupt_1M_0,BOLE_GMA_F,0.9595819595819596,0.9172036978488783,00:07:55,1.73 MB,[]
7,stagger_abrupt_1M_0,BOLE_HDDMA_F,0.9885199885199886,0.9761012237451026,00:12:02,1.86 MB,[]
8,stagger_abrupt_1M_0,BOLE_HDDMW_F,0.9973229973229973,0.9944263605496438,00:11:09,636.62 KB,[]
9,stagger_abrupt_1M_0,BOLE_KSWIN1_F,0.9975349975349975,0.994868380103734,00:26:29,491.64 KB,[]
10,stagger_abrupt_1M_0,BOLE_KSWIN51_F,0.998956998956999,0.997827904509557,00:28:30,573.84 KB,[]
11,stagger_abrupt_1M_0,BOLE_KSWIN101_F,0.998973998973999,0.9978633086780057,00:29:27,498.8 KB,[]
12,stagger_abrupt_1M_0,BOLE_KSWIN151_F,0.9990929990929991,0.9981110759237046,00:29:40,493.35 KB,[]
13,stagger_abrupt_1M_0,BOLE_KSWIN201_F,0.9993829993829993,0.9987150531217295,00:28:09,454.04 KB,[]
14,stagger_abrupt_1M_0,BOLE_PH_F,0.9997479997479998,0.999475201670091,00:07:00,336.61 KB,[]
15,stagger_abrupt_1M_0,BOLE_RDDM_F,0.996992996992997,0.9937375971230444,00:10:03,1.36 MB,[]
