,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_1M_0,HT_basic_F,0.9824399824399824,0.9633769765709118,00:01:14,176.07 KB,[]
1,stagger_abrupt_1M_0,HT_ADWIN_F,0.7561307561307561,0.5174816724510957,00:02:15,42.71 KB,"[4223, 8831, 13439, 18175, 23007, 27455, 31871, 36511, 41119, 45695, 50303, 54751, 59071, 63839, 68575, 73183, 77759, 82367, 87423, 92031, 96575, 101183, 105631, 110367, 115263, 119743, 124447, 129279, 133887, 138591, 143103, 147647, 152255, 156735, 161183, 165823, 170655, 175231, 179807, 184415, 188863, 193375, 198015, 200127, 203999, 207807, 211711, 215455, 219199, 222943, 226687, 230495, 234463, 238431, 242239, 246175, 250143, 254079, 258143, 261887, 265599, 269439, 273471, 275071, 279039, 283007, 285439, 289471, 293471, 294655, 298495, 302559, 306367, 310399, 314207, 317887, 321759, 325567, 329375, 333311, 337119, 341119, 344831, 348639, 352543, 356383, 360095, 363903, 367743, 371551, 375295, 379167, 383007, 386687, 390399, 394239, 398047, 401567, 401951, 402399, 402783, 403167, 403551, 403935, 404319, 404703, 405119, 405503, 405791, 406143, 406591, 407007, 407455, 407871, 408223, 408575, 408959, 409279, 409695, 409983, 410431, 410815, 411199, 411647, 412095, 412479, 412927, 413279, 413631, 414015, 414399, 414687, 415071, 415455, 415807, 416191, 416479, 416927, 417343, 417631, 418015, 418463, 418751, 419199, 419647, 420031, 420479, 420927, 421311, 421663, 422047, 422431, 422815, 423199, 423551, 423967, 424351, 424799, 425247, 425567, 425951, 426335, 426719, 427103, 427391, 427775, 428223, 428511, 428895, 429343, 429727, 430143, 430527, 430943, 431327, 431743, 432127, 432511, 432927, 433215, 433599, 434015, 434399, 434783, 435167, 435615, 435999, 436383, 436767, 437151, 437503, 437887, 438303, 438559, 438943, 439391, 439743, 440127, 440479, 440863, 441247, 441695, 442143, 442591, 443071, 443519, 443967, 444255, 444703, 445087, 445375, 445855, 446271, 446719, 447071, 447551, 447935, 448287, 448671, 449087, 449471, 449919, 450367, 450751, 451135, 451487, 451935, 452415, 452767, 453151, 453535, 453919, 454367, 454815, 455263, 455647, 455999, 456383, 456799, 457183, 457567, 457983, 458367, 458655, 459103, 459551, 459999, 460447, 460831, 461247, 461631, 461983, 462367, 462783, 463135, 463423, 463839, 464287, 464703, 465087, 465471, 465887, 466399, 466783, 467071, 467551, 467999, 468287, 468671, 469055, 469503, 469855, 470239, 470591, 470975, 471359, 471775, 472159, 472575, 472959, 473343, 473759, 474047, 474335, 474751, 475167, 475615, 475903, 476351, 476735, 477151, 477439, 477791, 478175, 478559, 478975, 479359, 479743, 480127, 480511, 480895, 481183, 481631, 482047, 482431, 482847, 483327, 483775, 484191, 484479, 484831, 485215, 485631, 485887, 486239, 486527, 486975, 487327, 487743, 488031, 488319, 488767, 489183, 489631, 490015, 490463, 490911, 491327, 491743, 492127, 492543, 492959, 493343, 493759, 494175, 494527, 494879, 495295, 495679, 496063, 496511, 496895, 497183, 497567, 497951, 498399, 498847, 499231, 499615, 500031, 500415, 500767, 501151, 501599, 502047, 502431, 502911, 503391, 503679, 504063, 504447, 504799, 505247, 505663, 506015, 506399, 506687, 507103, 507391, 507807, 508255, 508703, 509151, 509631, 510015, 510303, 510751, 511199, 511615, 511999, 512415, 512831, 513183, 513631, 514079, 514463, 514879, 515263, 515679, 516063, 516511, 516895, 517343, 517727, 518111, 518495, 518911, 519327, 519711, 519999, 520383, 520799, 521215, 521663, 522015, 522303, 522815, 523199, 523647, 524063, 524447, 524831, 525215, 525663, 526079, 526527, 526911, 527263, 527647, 528031, 528415, 528799, 529087, 529375, 529759, 530143, 530527, 530911, 531263, 531679, 531999, 532383, 532863, 533215, 533567, 533951, 534303, 534687, 535039, 535423, 535743, 536159, 536607, 536991, 537375, 537823, 538175, 538591, 538911, 539295, 539679, 539967, 540319, 540735, 541151, 541599, 541983, 542367, 542815, 543231, 543615, 543999, 544415, 544735, 545023, 545535, 545919, 546335, 546719, 547103, 547487, 547775, 548159, 548543, 548927, 549311, 549599, 549983, 550399, 550815, 551231, 551615, 551999, 552383, 552799, 553215, 553727, 554175, 554591, 554975, 555263, 555743, 556127, 556575, 556991, 557375, 557791, 558079, 558463, 558847, 559263, 559647, 560031, 560479, 560863, 561247, 561599, 562015, 562527, 562911, 563295, 563647, 564063, 564447, 564831, 565119, 565567, 565983, 566399, 566783, 567167, 567551, 567967, 568351, 568703, 569087, 569503, 569919, 570271, 570655, 571103, 571519, 571903, 572255, 572639, 573055, 573503, 573791, 574239, 574623, 575007, 575359, 575743, 576127, 576511, 576895, 577215, 577663, 578111, 578527, 578975, 579359, 579807, 580191, 580575, 580991, 581407, 581759, 582143, 582591, 582975, 583359, 583807, 584255, 584671, 585087, 585439, 585727, 586175, 586591, 587039, 587487, 587935, 588319, 588703, 589087, 589471, 589855, 590239, 590687, 590943, 591391, 591743, 592191, 592479, 592863, 593247, 593695, 594047, 594431, 594815, 595199, 595647, 596031, 596511, 596927, 597343, 597759, 598143, 598527, 598815, 599199, 599583, 599999, 604223, 608831, 613439, 618175, 623007, 627455, 631871, 636511, 641119, 645695, 650303, 654751, 659071, 663839, 668575, 673183, 677759, 682367, 687423, 692031, 696575, 701183, 705631, 710367, 715263, 719743, 724447, 729279, 733887, 738591, 743103, 747647, 752255, 756735, 761183, 765823, 770655, 775231, 779807, 784415, 788863, 793375, 798015, 800127, 803999, 807807, 811711, 815455, 819199, 822943, 826687, 830495, 834463, 838431, 842239, 846175, 850143, 854079, 858143, 861887, 865599, 869439, 873471, 875071, 879039, 883007, 885439, 889471, 893471, 894655, 898495, 902559, 906367, 910399, 914207, 917887, 921759, 925567, 929375, 933311, 937119, 941119, 944831, 948639, 952543, 956383, 960095, 963903, 967743, 971551, 975295, 979167, 983007, 986687, 990399, 994239, 998047]"
2,stagger_abrupt_1M_0,HT_CUSUM_F,0.9954219954219954,0.9904728181860449,00:01:35,34.88 KB,"[200084, 400099, 600068, 800084]"
3,stagger_abrupt_1M_0,HT_DDM_F,0.9935459935459936,0.9865690805145946,00:01:37,36.29 KB,"[200072, 203429, 205127, 400136, 600016, 800072, 803398, 805151]"
4,stagger_abrupt_1M_0,HT_ECDD_F,0.9404119404119404,0.8742279195846202,00:01:47,59.15 KB,"[195, 555, 1049, 2156, 2751, 3285, 3812, 4216, 5178, 5958, 6754, 7153, 7344, 7540, 7935, 8939, 9359, 10223, 11730, 12096, 12862, 13917, 15161, 15949, 16224, 16420, 16903, 17389, 18285, 19239, 19456, 20225, 20570, 20939, 21588, 24382, 26593, 27830, 28505, 28783, 29269, 29815, 30912, 32318, 33005, 33523, 33671, 33805, 35022, 36907, 38939, 39615, 39774, 39927, 40162, 40721, 41332, 41723, 42090, 42399, 43115, 43384, 44065, 45050, 45516, 45786, 46004, 46874, 47602, 47724, 48307, 49590, 49932, 50700, 51010, 51740, 54360, 56137, 57031, 59101, 60801, 61185, 61538, 63143, 64384, 65366, 66365, 66628, 67850, 68840, 69127, 69578, 70081, 70627, 71540, 72433, 73548, 74869, 76357, 77100, 77688, 78760, 79214, 79532, 79802, 80367, 80630, 81308, 83136, 83918, 84434, 85656, 86409, 86643, 87041, 87933, 88758, 89646, 90263, 90891, 91084, 91195, 91890, 92893, 94601, 95176, 95681, 95994, 96370, 96567, 96931, 97693, 98478, 99660, 101216, 101949, 102369, 103088, 103558, 104962, 105495, 106027, 106638, 106949, 107614, 107991, 108877, 109366, 109541, 109674, 111145, 111954, 112379, 113232, 113944, 114723, 115965, 116764, 117534, 119199, 120117, 120546, 121317, 122210, 122843, 123430, 124363, 124708, 125790, 126291, 126587, 127274, 128493, 131247, 132761, 134327, 134987, 135337, 136000, 136575, 137185, 137862, 138611, 139634, 141752, 143370, 144343, 144534, 145628, 146254, 146754, 147427, 147726, 148316, 150181, 151549, 153031, 154327, 155002, 155616, 156644, 157433, 158074, 159287, 160350, 161051, 161730, 162551, 163392, 164178, 166109, 167526, 168625, 170364, 171766, 173058, 173906, 175265, 175695, 176088, 176985, 177969, 178352, 179506, 180075, 180740, 183408, 184490, 185404, 186750, 187448, 188259, 188513, 189236, 190688, 191749, 192311, 193108, 193573, 193978, 194436, 194936, 195351, 195590, 195772, 195881, 196279, 196671, 197748, 198392, 199189, 199914, 200005, 201289, 204379, 400000, 599999, 600195, 600555, 601049, 602156, 602751, 603285, 603812, 604216, 605178, 605958, 606754, 607153, 607344, 607540, 607935, 608939, 609359, 610223, 611730, 612096, 612862, 613917, 615161, 615949, 616224, 616420, 616903, 617389, 618285, 619239, 619456, 620225, 620570, 620939, 621588, 624382, 626593, 627830, 628505, 628783, 629269, 629815, 630912, 632318, 633005, 633523, 633671, 633805, 635022, 636907, 638939, 639615, 639774, 639927, 640162, 640721, 641332, 641723, 642090, 642399, 643115, 643384, 644065, 645050, 645516, 645786, 646004, 646874, 647602, 647724, 648307, 649590, 649932, 650700, 651010, 651740, 654360, 656137, 657031, 659101, 660801, 661185, 661538, 663143, 664384, 665366, 666365, 666628, 667850, 668840, 669127, 669578, 670081, 670627, 671540, 672433, 673548, 674869, 676357, 677100, 677688, 678760, 679214, 679532, 679802, 680367, 680630, 681308, 683136, 683918, 684434, 685656, 686409, 686643, 687041, 687933, 688758, 689646, 690263, 690891, 691084, 691195, 691890, 692893, 694601, 695176, 695681, 695994, 696370, 696567, 696931, 697693, 698478, 699660, 701216, 701949, 702369, 703088, 703558, 704962, 705495, 706027, 706638, 706949, 707614, 707991, 708877, 709366, 709541, 709674, 711145, 711954, 712379, 713232, 713944, 714723, 715965, 716764, 717534, 719199, 720117, 720546, 721317, 722210, 722843, 723430, 724363, 724708, 725790, 726291, 726587, 727274, 728493, 731247, 732761, 734327, 734987, 735337, 736000, 736575, 737185, 737862, 738611, 739634, 741752, 743370, 744343, 744534, 745628, 746254, 746754, 747427, 747726, 748316, 750181, 751549, 753031, 754327, 755002, 755616, 756644, 757433, 758074, 759287, 760350, 761051, 761730, 762551, 763392, 764178, 766109, 767526, 768625, 770364, 771766, 773058, 773906, 775265, 775695, 776088, 776985, 777969, 778352, 779506, 780075, 780740, 783408, 784490, 785404, 786750, 787448, 788259, 788513, 789236, 790688, 791749, 792311, 793108, 793573, 793978, 794436, 794936, 795351, 795590, 795772, 795881, 796279, 796671, 797748, 798392, 799189, 799914, 800005, 801289, 804379]"
5,stagger_abrupt_1M_0,HT_EDDM_F,0.9933709933709933,0.9862068967494502,00:01:27,40.6 KB,"[263, 200183, 203504, 205250, 205326, 205614, 205661, 205725, 205780, 205922, 205978, 206030, 206113, 206290, 206360, 206410, 206513, 400751, 600035, 600240, 800183, 803504]"
6,stagger_abrupt_1M_0,HT_GMA_F,0.9824399824399824,0.9633769765709118,00:01:35,178.44 KB,[]
7,stagger_abrupt_1M_0,HT_HDDMA_F,0.9956959956959957,0.9910429300094097,00:01:54,41.41 KB,"[200004, 400006, 600005, 800004]"
8,stagger_abrupt_1M_0,HT_HDDMW_F,0.9855129855129855,0.9699560914183606,00:01:47,43.56 KB,"[200031, 201286, 201506, 201682, 203450, 205928, 208517, 211322, 400012, 600014, 800031, 801286, 801506, 801682, 803450, 805928, 808517, 811322]"
9,stagger_abrupt_1M_0,HT_KSWIN1_F,0.9934549934549934,0.9863408651387126,00:05:00,99.51 KB,"[400020, 600020]"
