,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_1M_0,NoChange_basic_F,0.634948634948635,0.23973926883610958,00:00:26,739 B,[]
1,stagger_abrupt_1M_0,MajClass_basic_F,0.5995835995835996,0.0,00:00:31,845 B,[]
2,stagger_abrupt_1M_0,NB_basic_F,0.6367656367656368,0.1515543068019287,00:01:35,24.56 KB,[]
3,stagger_abrupt_1M_0,NB_ADWIN_F,0.8417358417358417,0.6792457063387303,00:03:27,34.8 KB,"[201087, 401183, 601887, 801183]"
4,stagger_abrupt_1M_0,NB_CUSUM_F,0.8466878466878467,0.6889703346573967,00:02:38,25.21 KB,"[200074, 215056, 220954, 225904, 230860, 251225, 253436, 258640, 292366, 400122, 470170, 478763, 484708, 529739, 538148, 583481, 600064, 800074, 815056, 820954, 825904, 830860, 851225, 853436, 858640, 892366]"
5,stagger_abrupt_1M_0,NB_DDM_F,0.8791108791108792,0.7499487912999862,00:02:41,46.26 KB,"[200405, 207944, 208057, 209307, 209370, 211407, 212216, 212750, 212807, 214281, 214725, 215902, 216016, 218267, 218364, 220122, 220551, 404569, 600735, 800170, 800497, 800573, 801135, 801173]"
6,stagger_abrupt_1M_0,NB_ECDD_F,0.8783878783878784,0.749601122967519,00:02:50,100.05 KB,"[195, 555, 704, 1049, 1178, 1474, 2146, 2410, 2591, 2751, 2944, 3203, 3812, 4130, 4216, 4990, 5178, 5957, 6159, 6753, 6812, 7041, 7092, 7153, 7341, 7540, 7667, 7933, 8030, 8411, 8582, 8939, 9358, 10223, 10594, 11728, 11841, 12096, 12862, 13607, 13811, 14162, 14752, 15161, 15273, 15604, 15895, 16224, 16369, 16421, 16857, 16903, 17284, 17389, 17682, 18135, 18285, 18464, 19015, 19239, 19293, 19456, 19809, 20110, 20225, 20377, 20569, 20939, 21166, 21588, 21845, 22025, 22284, 22653, 24382, 25292, 25644, 25824, 26587, 27531, 27830, 28180, 28505, 28783, 28904, 29269, 29530, 29566, 29813, 30198, 30912, 31009, 31305, 31632, 32318, 32776, 33004, 33433, 33671, 33805, 33913, 35022, 35408, 36907, 37273, 37486, 37633, 37821, 38327, 38633, 38939, 39047, 39388, 39615, 39773, 39927, 40162, 40224, 40721, 41224, 41331, 41434, 41583, 41723, 41988, 42090, 42399, 42955, 43114, 43383, 44065, 44314, 44384, 45050, 45514, 45786, 46002, 46874, 47601, 47722, 48006, 48307, 48381, 49590, 49931, 50033, 50700, 51009, 51214, 51740, 51799, 52651, 52878, 53066, 54192, 54360, 54551, 55089, 55783, 55897, 56042, 56134, 57031, 58606, 58948, 59101, 59511, 60138, 60801, 61095, 61538, 61713, 63143, 63495, 63718, 63880, 64357, 64719, 65366, 66035, 66365, 66627, 67850, 67977, 68840, 69127, 69578, 69652, 70081, 70627, 71540, 71847, 72433, 73548, 73747, 74338, 74869, 75393, 76196, 76333, 76543, 76615, 76818, 77098, 77394, 77688, 77853, 77952, 78095, 78517, 78758, 78995, 79072, 79214, 79390, 79532, 79802, 80367, 80630, 80867, 81308, 83136, 83253, 83918, 84433, 85656, 86041, 86239, 86409, 86642, 86720, 87041, 87086, 87933, 88758, 89487, 89630, 90263, 90891, 91084, 91195, 91890, 92737, 92893, 93882, 93949, 94345, 94601, 94929, 95175, 95302, 95531, 95681, 95994, 96370, 96560, 96931, 97692, 97952, 98093, 98478, 99038, 99645, 99930, 101216, 101905, 101948, 102369, 103088, 103284, 103318, 103558, 104170, 104962, 105167, 105494, 105632, 105720, 106638, 106948, 107614, 107990, 108178, 108877, 109124, 109165, 109324, 109541, 109602, 110616, 111145, 111380, 111639, 111930, 112379, 113191, 113944, 114265, 114302, 114505, 114723, 115260, 115602, 115964, 116570, 116763, 117137, 117534, 118061, 119199, 119264, 119754, 120117, 120546, 120618, 121317, 121412, 121978, 122204, 122843, 122993, 123430, 124309, 124363, 124600, 124708, 124783, 125789, 126053, 126291, 126587, 126732, 127039, 127274, 127421, 128493, 128569, 129523, 129961, 130051, 130352, 131129, 131629, 132105, 132356, 132524, 132761, 132947, 133739, 134327, 134680, 134840, 134987, 135337, 135423, 136000, 136272, 136574, 137001, 137184, 137352, 137862, 138611, 138676, 139634, 139984, 141252, 141752, 142124, 142414, 142649, 142789, 143214, 143369, 143462, 144004, 144086, 144339, 144512, 145628, 145665, 146254, 146362, 146754, 147080, 147427, 147725, 147926, 148314, 150181, 150404, 151230, 151549, 151665, 152150, 153031, 153150, 153446, 153488, 154200, 154327, 154676, 155000, 155061, 155565, 155616, 155870, 156644, 156778, 156906, 157433, 157486, 158074, 158782, 159287, 159392, 159744, 160343, 161051, 161325, 161730, 162377, 162551, 162619, 162749, 162856, 163386, 163782, 163951, 164072, 164178, 164220, 164492, 165404, 165800, 166109, 166302, 166637, 167526, 168534, 168625, 168691, 170208, 170364, 170731, 170897, 171168, 171419, 171765, 172321, 172667, 172862, 173058, 173421, 173905, 174080, 174178, 174621, 174946, 175265, 175393, 175631, 175695, 176049, 176088, 176214, 176834, 176985, 177110, 177257, 177969, 178255, 178352, 179486, 179636, 179733, 180075, 180129, 180223, 180740, 181348, 182252, 183408, 184096, 184241, 184487, 184758, 185404, 185701, 185733, 185833, 186678, 186750, 186835, 186966, 187208, 187448, 187520, 188259, 188489, 189236, 189951, 190688, 190866, 191173, 191602, 191749, 191958, 192311, 192611, 193107, 193572, 193735, 193978, 194415, 194936, 195351, 195590, 195772, 195880, 196026, 196279, 196665, 196936, 197748, 197954, 198391, 199189, 199365, 199913, 200002, 200568, 200823, 201235, 201578, 202627, 202989, 203278, 203763, 204012, 204244, 204395, 204955, 205348, 206746, 210320, 210625, 210895, 211285, 211744, 212200, 213201, 213413, 213698, 213958, 215307, 219176, 219329, 219527, 220595, 220815, 221117, 221372, 221568, 221948, 222221, 222531, 223368, 223943, 224698, 227821, 229065, 229516, 230065, 230535, 231241, 231435, 231573, 232201, 233378, 233427, 234138, 234934, 235453, 235684, 235984, 236708, 241043, 241497, 241650, 242033, 242479, 242680, 243433, 243701, 244439, 244851, 245125, 245612, 245823, 246300, 246514, 246791, 247017, 247632, 253659, 254068, 254257, 254469, 256265, 256734, 257167, 257304, 257613, 259148, 259360, 260161, 260838, 261072, 261615, 262013, 262577, 263269, 263532, 264118, 264299, 267760, 268164, 268497, 269036, 269926, 272370, 273512, 273781, 274130, 274619, 275190, 276271, 283162, 284715, 285199, 285838, 286068, 286208, 287065, 287162, 287374, 287567, 287958, 288361, 288605, 288781, 288984, 289235, 289841, 290076, 290652, 294427, 294754, 294940, 295262, 295599, 295848, 296024, 296641, 297465, 298625, 298921, 300932, 301622, 302155, 302806, 303003, 303243, 303591, 304492, 304634, 307059, 307661, 308469, 309828, 310187, 310431, 310738, 311212, 311592, 311875, 312192, 312664, 312952, 313466, 313804, 314277, 317111, 317538, 318363, 319489, 319885, 320438, 321815, 322097, 329703, 329898, 330158, 330514, 330671, 331120, 331498, 331822, 332133, 332570, 333189, 333867, 334481, 335179, 335774, 336017, 336411, 336906, 337495, 337929, 338797, 339203, 339720, 340148, 340972, 353880, 354114, 354497, 356041, 356422, 356725, 357214, 357773, 357941, 358486, 365186, 365454, 366012, 366737, 367017, 367303, 367878, 368475, 369018, 369251, 369690, 369890, 370622, 370833, 371177, 371815, 372399, 372588, 373168, 375115, 375249, 375648, 388181, 388830, 389135, 389740, 391322, 391938, 392433, 392585, 393101, 393617, 394133, 394517, 394803, 395345, 395517, 396546, 397121, 397608, 398036, 398311, 398740, 399525, 400000, 400282, 401048, 401195, 401303, 401505, 402065, 402594, 402711, 402827, 402899, 403049, 403165, 403496, 403823, 404122, 404592, 404732, 405183, 405296, 405414, 405924, 406103, 406267, 406520, 406979, 407540, 407916, 408338, 408472, 408615, 408786, 408940, 409048, 410337, 410711, 411444, 411901, 412549, 412885, 413044, 413119, 413465, 413811, 413918, 414150, 414409, 414674, 415203, 415555, 415952, 416106, 417405, 417625, 418137, 418193, 418465, 419456, 419535, 420085, 420379, 420939, 421098, 421412, 421486, 422450, 422792, 422861, 423047, 423645, 423866, 424154, 424216, 424428, 424877, 425474, 425643, 426018, 426106, 426367, 426606, 427118, 427595, 428180, 428243, 428548, 428689, 430199, 430288, 430919, 431532, 431659, 431892, 432049, 432330, 433005, 433350, 433750, 433804, 434549, 434801, 435020, 435165, 436276, 436401, 436552, 436730, 437100, 437284, 437513, 437637, 437694, 437813, 438330, 438453, 438816, 439074, 439388, 439508, 439604, 441140, 441224, 441334, 441578, 442224, 442707, 443059, 443631, 444046, 444187, 444381, 444729, 444949, 446305, 446625, 446878, 447604, 447724, 447908, 448574, 448984, 449750, 450360, 450707, 450894, 451012, 451485, 451737, 452639, 452777, 452876, 453392, 453868, 454070, 454320, 455140, 455644, 455782, 456044, 456562, 456762, 457889, 458472, 458538, 459295, 459360, 460327, 460416, 460881, 461184, 461710, 462054, 462802, 462857, 463153, 463323, 463686, 464036, 464195, 464300, 464734, 464908, 465382, 465722, 465820, 466082, 466465, 466628, 466792, 467070, 467401, 467746, 468625, 468677, 468879, 469367, 469534, 469581, 470166, 470257, 470731, 470903, 471779, 472455, 472653, 473358, 473568, 473682, 473992, 474563, 475038, 475365, 475669, 476557, 476785, 477394, 477509, 477933, 478194, 478656, 478926, 479547, 479784, 479979, 480037, 480633, 481870, 482047, 482297, 482478, 483543, 483910, 484189, 484571, 485420, 485528, 485658, 486001, 486365, 486410, 486838, 486973, 487288, 487639, 487769, 488320, 488450, 489712, 489816, 490095, 490263, 491889, 492032, 492391, 492968, 493187, 493446, 493857, 494253, 494525, 495190, 495263, 495852, 496391, 496569, 496909, 497732, 497951, 498157, 498283, 499393, 499693, 499830, 500177, 500508, 501102, 501255, 501949, 502256, 502389, 502564, 503326, 503799, 504014, 504414, 504539, 505171, 505742, 505776, 506013, 506305, 506450, 506871, 507232, 507908, 507992, 508796, 509364, 509612, 510325, 510533, 511584, 512705, 513085, 513191, 513522, 513586, 513908, 514087, 514265, 514829, 515014, 517324, 517585, 518087, 518247, 518921, 519009, 519839, 520004, 520379, 520456, 520620, 520749, 521036, 521189, 521530, 521810, 522044, 522206, 522621, 523109, 523450, 523938, 524379, 524498, 524652, 524882, 525450, 525601, 526294, 526837, 527513, 527793, 527959, 528106, 528305, 528720, 529616, 529703, 530182, 530500, 531046, 531641, 531788, 532699, 534043, 534307, 534404, 534845, 534985, 536001, 536213, 536574, 536872, 536987, 537245, 537374, 537494, 537786, 537871, 538378, 538575, 538678, 539078, 539694, 540006, 540056, 540730, 541274, 541973, 542635, 543230, 543371, 543772, 543947, 544172, 544536, 544679, 545492, 545824, 546398, 547302, 547477, 547682, 547925, 548314, 549162, 549406, 550183, 550561, 551584, 551907, 552213, 552649, 552931, 553155, 553672, 554005, 554314, 554467, 554647, 555650, 556701, 556919, 557179, 557488, 557733, 557918, 559113, 559403, 559744, 560352, 560507, 561052, 561362, 562062, 562285, 562706, 563080, 563401, 564075, 564605, 564731, 564854, 565091, 565392, 565800, 565992, 566558, 566637, 566826, 567229, 567301, 567398, 567500, 568534, 568835, 569610, 570178, 570897, 570943, 571749, 571898, 572132, 572865, 573598, 573843, 574081, 574177, 574508, 574549, 574776, 575032, 576646, 578159, 579377, 579732, 580076, 580741, 580966, 581153, 581330, 581546, 581932, 582300, 582797, 583609, 583928, 584096, 584252, 584528, 584756, 585525, 586110, 586682, 586752, 586801, 587106, 587298, 587799, 588260, 588490, 589254, 589837, 590332, 590725, 591280, 591548, 591751, 591862, 591959, 592139, 592374, 593030, 593757, 593970, 594107, 594447, 594602, 595591, 596282, 596425, 597210, 597550, 598403, 598536, 599211, 599589, 599913, 600014, 600195, 600555, 600704, 601049, 601178, 601474, 602146, 602410, 602591, 602751, 602944, 603203, 603812, 604130, 604216, 604990, 605178, 605957, 606159, 606753, 606812, 607041, 607092, 607153, 607341, 607540, 607667, 607933, 608030, 608411, 608582, 608939, 609358, 610223, 610594, 611728, 611841, 612096, 612862, 613607, 613811, 614162, 614752, 615161, 615273, 615604, 615895, 616224, 616369, 616421, 616857, 616903, 617284, 617389, 617682, 618135, 618285, 618464, 619015, 619239, 619293, 619456, 619809, 620110, 620225, 620377, 620569, 620939, 621166, 621588, 621845, 622025, 622284, 622653, 624382, 625292, 625644, 625824, 626587, 627531, 627830, 628180, 628505, 628783, 628904, 629269, 629530, 629566, 629813, 630198, 630912, 631009, 631305, 631632, 632318, 632776, 633004, 633433, 633671, 633805, 633913, 635022, 635408, 636907, 637273, 637486, 637633, 637821, 638327, 638633, 638939, 639047, 639388, 639615, 639773, 639927, 640162, 640224, 640721, 641224, 641331, 641434, 641583, 641723, 641988, 642090, 642399, 642955, 643114, 643383, 644065, 644314, 644384, 645050, 645514, 645786, 646002, 646874, 647601, 647722, 648006, 648307, 648381, 649590, 649931, 650033, 650700, 651009, 651214, 651740, 651799, 652651, 652878, 653066, 654192, 654360, 654551, 655089, 655783, 655897, 656042, 656134, 657031, 658606, 658948, 659101, 659511, 660138, 660801, 661095, 661538, 661713, 663143, 663495, 663718, 663880, 664357, 664719, 665366, 666035, 666365, 666627, 667850, 667977, 668840, 669127, 669578, 669652, 670081, 670627, 671540, 671847, 672433, 673548, 673747, 674338, 674869, 675393, 676196, 676333, 676543, 676615, 676818, 677098, 677394, 677688, 677853, 677952, 678095, 678517, 678758, 678995, 679072, 679214, 679390, 679532, 679802, 680367, 680630, 680867, 681308, 683136, 683253, 683918, 684433, 685656, 686041, 686239, 686409, 686642, 686720, 687041, 687086, 687933, 688758, 689487, 689630, 690263, 690891, 691084, 691195, 691890, 692737, 692893, 693882, 693949, 694345, 694601, 694929, 695175, 695302, 695531, 695681, 695994, 696370, 696560, 696931, 697692, 697952, 698093, 698478, 699038, 699645, 699930, 701216, 701905, 701948, 702369, 703088, 703284, 703318, 703558, 704170, 704962, 705167, 705494, 705632, 705720, 706638, 706948, 707614, 707990, 708178, 708877, 709124, 709165, 709324, 709541, 709602, 710616, 711145, 711380, 711639, 711930, 712379, 713191, 713944, 714265, 714302, 714505, 714723, 715260, 715602, 715964, 716570, 716763, 717137, 717534, 718061, 719199, 719264, 719754, 720117, 720546, 720618, 721317, 721412, 721978, 722204, 722843, 722993, 723430, 724309, 724363, 724600, 724708, 724783, 725789, 726053, 726291, 726587, 726732, 727039, 727274, 727421, 728493, 728569, 729523, 729961, 730051, 730352, 731129, 731629, 732105, 732356, 732524, 732761, 732947, 733739, 734327, 734680, 734840, 734987, 735337, 735423, 736000, 736272, 736574, 737001, 737184, 737352, 737862, 738611, 738676, 739634, 739984, 741252, 741752, 742124, 742414, 742649, 742789, 743214, 743369, 743462, 744004, 744086, 744339, 744512, 745628, 745665, 746254, 746362, 746754, 747080, 747427, 747725, 747926, 748314, 750181, 750404, 751230, 751549, 751665, 752150, 753031, 753150, 753446, 753488, 754200, 754327, 754676, 755000, 755061, 755565, 755616, 755870, 756644, 756778, 756906, 757433, 757486, 758074, 758782, 759287, 759392, 759744, 760343, 761051, 761325, 761730, 762377, 762551, 762619, 762749, 762856, 763386, 763782, 763951, 764072, 764178, 764220, 764492, 765404, 765800, 766109, 766302, 766637, 767526, 768534, 768625, 768691, 770208, 770364, 770731, 770897, 771168, 771419, 771765, 772321, 772667, 772862, 773058, 773421, 773905, 774080, 774178, 774621, 774946, 775265, 775393, 775631, 775695, 776049, 776088, 776214, 776834, 776985, 777110, 777257, 777969, 778255, 778352, 779486, 779636, 779733, 780075, 780129, 780223, 780740, 781348, 782252, 783408, 784096, 784241, 784487, 784758, 785404, 785701, 785733, 785833, 786678, 786750, 786835, 786966, 787208, 787448, 787520, 788259, 788489, 789236, 789951, 790688, 790866, 791173, 791602, 791749, 791958, 792311, 792611, 793107, 793572, 793735, 793978, 794415, 794936, 795351, 795590, 795772, 795880, 796026, 796279, 796665, 796936, 797748, 797954, 798391, 799189, 799365, 799913, 800002, 800568, 800823, 801235, 801578, 802627, 802989, 803278, 803763, 804012, 804244, 804395, 804955, 805348, 806746, 810320, 810625, 810895, 811285, 811744, 812200, 813201, 813413, 813698, 813958, 815307, 819176, 819329, 819527, 820595, 820815, 821117, 821372, 821568, 821948, 822221, 822531, 823368, 823943, 824698, 827821, 829065, 829516, 830065, 830535, 831241, 831435, 831573, 832201, 833378, 833427, 834138, 834934, 835453, 835684, 835984, 836708, 841043, 841497, 841650, 842033, 842479, 842680, 843433, 843701, 844439, 844851, 845125, 845612, 845823, 846300, 846514, 846791, 847017, 847632, 853659, 854068, 854257, 854469, 856265, 856734, 857167, 857304, 857613, 859148, 859360, 860161, 860838, 861072, 861615, 862013, 862577, 863269, 863532, 864118, 864299, 867760, 868164, 868497, 869036, 869926, 872370, 873512, 873781, 874130, 874619, 875190, 876271, 883162, 884715, 885199, 885838, 886068, 886208, 887065, 887162, 887374, 887567, 887958, 888361, 888605, 888781, 888984, 889235, 889841, 890076, 890652, 894427, 894754, 894940, 895262, 895599, 895848, 896024, 896641, 897465, 898625, 898921, 900932, 901622, 902155, 902806, 903003, 903243, 903591, 904492, 904634, 907059, 907661, 908469, 909828, 910187, 910431, 910738, 911212, 911592, 911875, 912192, 912664, 912952, 913466, 913804, 914277, 917111, 917538, 918363, 919489, 919885, 920438, 921815, 922097, 929703, 929898, 930158, 930514, 930671, 931120, 931498, 931822, 932133, 932570, 933189, 933867, 934481, 935179, 935774, 936017, 936411, 936906, 937495, 937929, 938797, 939203, 939720, 940148, 940972, 953880, 954114, 954497, 956041, 956422, 956725, 957214, 957773, 957941, 958486, 965186, 965454, 966012, 966737, 967017, 967303, 967878, 968475, 969018, 969251, 969690, 969890, 970622, 970833, 971177, 971815, 972399, 972588, 973168, 975115, 975249, 975648, 988181, 988830, 989135, 989740, 991322, 991938, 992433, 992585, 993101, 993617, 994133, 994517, 994803, 995345, 995517, 996546, 997121, 997608, 998036, 998311, 998740, 999525]"
7,stagger_abrupt_1M_0,NB_EDDM_F,0.8928368928368928,0.7757291609372655,00:02:33,36.1 KB,"[263, 211077, 415933, 600023, 600242, 811081]"
8,stagger_abrupt_1M_0,NB_GMA_F,0.6367656367656368,0.1515543068019287,00:02:35,24.24 KB,[]
9,stagger_abrupt_1M_0,NB_HDDMA_F,0.9107519107519108,0.8140884304286462,00:02:55,36.28 KB,"[200422, 400143, 600005, 800422]"
