,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_1M_0,BOLE_basic_F,0.998978998978999,0.9978739092755605,00:09:02,2.22 MB,[]
1,stagger_gradual_1M_0,BOLE_ADWIN_F,0.7720797720797721,0.5034108541288083,00:20:08,575.44 KB,[]
2,stagger_gradual_1M_0,BOLE_CUSUM_F,0.9986449986449987,0.9971781688985638,00:10:30,510.18 KB,[]
3,stagger_gradual_1M_0,BOLE_DDM_F,0.9951399951399952,0.9898784191564673,00:11:00,1.14 MB,[]
4,stagger_gradual_1M_0,BOLE_ECDD_F,0.9814469814469814,0.961333876627421,00:14:02,2.96 MB,[]
5,stagger_gradual_1M_0,BOLE_EDDM_F,0.9841279841279841,0.9669542057661601,00:11:16,1.76 MB,[]
6,stagger_gradual_1M_0,BOLE_GMA_F,0.998978998978999,0.9978739092755605,00:11:01,2.24 MB,[]
7,stagger_gradual_1M_0,BOLE_HDDMA_F,0.9855989855989856,0.9700197019752563,00:15:30,2.25 MB,[]
8,stagger_gradual_1M_0,BOLE_HDDMW_F,0.9963589963589964,0.9924192676709337,00:13:55,728.01 KB,[]
9,stagger_gradual_1M_0,BOLE_KSWIN1_F,0.9960279960279961,0.9917311218543462,00:37:10,677.62 KB,[]
10,stagger_gradual_1M_0,BOLE_KSWIN51_F,0.9966719966719967,0.9930713190022781,00:36:51,650.47 KB,[]
11,stagger_gradual_1M_0,BOLE_KSWIN101_F,0.9973199973199973,0.9944186817903425,00:40:45,825.01 KB,[]
12,stagger_gradual_1M_0,BOLE_KSWIN151_F,0.9978929978929979,0.9956120282494776,00:37:45,738.8 KB,[]
13,stagger_gradual_1M_0,BOLE_KSWIN201_F,0.996969996969997,0.9936911758530508,00:36:26,684.16 KB,[]
14,stagger_gradual_1M_0,BOLE_PH_F,0.9988869988869988,0.9976822147587568,00:10:04,583.91 KB,[]
15,stagger_gradual_1M_0,BOLE_RDDM_F,0.9967809967809967,0.9932964012207055,00:11:42,1.35 MB,[]
16,stagger_gradual_1M_0,BOLE_STEPD_F,0.7753127753127753,0.5175280173533259,00:30:24,2.44 MB,[]
17,stagger_gradual_1M_2,BOLE_basic_F,0.9988749988749989,0.9976568717252091,00:08:32,2.13 MB,[]
18,stagger_gradual_1M_2,BOLE_ADWIN_F,0.7783787783787783,0.5188759368240503,00:19:53,629.35 KB,[]
19,stagger_gradual_1M_2,BOLE_CUSUM_F,0.998022998022998,0.9958826920705054,00:10:33,507.09 KB,[]
20,stagger_gradual_1M_2,BOLE_DDM_F,0.9951449951449951,0.9898898413712099,00:11:15,1.16 MB,[]
21,stagger_gradual_1M_2,BOLE_ECDD_F,0.9698059698059698,0.9369859563902071,00:13:39,3.04 MB,[]
22,stagger_gradual_1M_2,BOLE_EDDM_F,0.9852089852089853,0.9691945393681269,00:12:01,1.6 MB,[]
23,stagger_gradual_1M_2,BOLE_GMA_F,0.9988749988749989,0.9976568717252091,00:10:22,2.15 MB,[]
24,stagger_gradual_1M_2,BOLE_HDDMA_F,0.9881339881339881,0.9752991781445747,00:13:44,1.72 MB,[]
25,stagger_gradual_1M_2,BOLE_HDDMW_F,0.9972469972469973,0.9942663337966784,00:13:24,715.46 KB,[]
26,stagger_gradual_1M_2,BOLE_KSWIN1_F,0.9953069953069953,0.9902278767236902,00:36:08,716.62 KB,[]
27,stagger_gradual_1M_2,BOLE_KSWIN51_F,0.9973509973509973,0.9944824292713986,00:36:06,700.68 KB,[]
28,stagger_gradual_1M_2,BOLE_KSWIN101_F,0.9972289972289973,0.9942279566387756,00:37:35,675.38 KB,[]
29,stagger_gradual_1M_2,BOLE_KSWIN151_F,0.996928996928997,0.9936039508328096,00:35:44,790.27 KB,[]
30,stagger_gradual_1M_2,BOLE_KSWIN201_F,0.9973169973169973,0.9944118389566742,00:37:10,683.06 KB,[]
31,stagger_gradual_1M_2,BOLE_PH_F,0.9982529982529983,0.9963619846151439,00:10:00,650.54 KB,[]
32,stagger_gradual_1M_2,BOLE_RDDM_F,0.9965609965609966,0.9928382171688463,00:11:35,1.32 MB,[]
33,stagger_gradual_1M_2,BOLE_STEPD_F,0.8947878947878948,0.7812366833531454,00:30:54,2.93 MB,[]
34,stagger_gradual_1M_4,BOLE_basic_F,0.9982369982369982,0.9963300662803026,00:09:00,2.49 MB,[]
35,stagger_gradual_1M_4,BOLE_ADWIN_F,0.7674587674587675,0.49704086863881913,00:19:53,608.72 KB,[]
36,stagger_gradual_1M_4,BOLE_CUSUM_F,0.997974997974998,0.9957841706621118,00:10:27,457.18 KB,[]
37,stagger_gradual_1M_4,BOLE_DDM_F,0.9958269958269959,0.9913135404967782,00:11:32,959.82 KB,[]
38,stagger_gradual_1M_4,BOLE_ECDD_F,0.9803479803479803,0.9590848668262871,00:15:03,3.18 MB,[]
39,stagger_gradual_1M_4,BOLE_EDDM_F,0.9931209931209931,0.9856809575308182,00:09:43,1.1 MB,[]
40,stagger_gradual_1M_4,BOLE_GMA_F,0.9982369982369982,0.9963300662803026,00:11:16,2.51 MB,[]
41,stagger_gradual_1M_4,BOLE_HDDMA_F,0.9858599858599859,0.970565822421515,00:14:14,2.27 MB,[]
42,stagger_gradual_1M_4,BOLE_HDDMW_F,0.9973119973119973,0.9944037079478869,00:13:17,685.28 KB,[]
43,stagger_gradual_1M_4,BOLE_KSWIN1_F,0.9973019973019973,0.9943828977018272,00:37:17,709.33 KB,[]
44,stagger_gradual_1M_4,BOLE_KSWIN51_F,0.9967489967489968,0.9932316490900499,00:35:29,718.28 KB,[]
45,stagger_gradual_1M_4,BOLE_KSWIN101_F,0.9971909971909972,0.9941520696750674,00:38:12,684.52 KB,[]
46,stagger_gradual_1M_4,BOLE_KSWIN151_F,0.9972239972239972,0.9942205724966825,00:36:42,739.27 KB,[]
47,stagger_gradual_1M_4,BOLE_KSWIN201_F,0.9974599974599975,0.9947118764919335,00:36:44,629.97 KB,[]
48,stagger_gradual_1M_4,BOLE_PH_F,0.9985589985589985,0.9969996277172889,00:09:45,622.59 KB,[]
49,stagger_gradual_1M_4,BOLE_RDDM_F,0.995052995052995,0.9897013280419679,00:11:13,1.46 MB,[]
50,stagger_gradual_1M_4,BOLE_STEPD_F,0.8286298286298286,0.63757036080032,00:28:49,2.44 MB,[]
51,stagger_gradual_1M_6,BOLE_basic_F,0.9981239981239981,0.9960924031795066,00:08:49,2.29 MB,[]
52,stagger_gradual_1M_6,BOLE_ADWIN_F,0.7698357698357698,0.5002603152448631,00:19:36,601.44 KB,[]
53,stagger_gradual_1M_6,BOLE_CUSUM_F,0.9985909985909986,0.9970640118874313,00:10:16,436.97 KB,[]
54,stagger_gradual_1M_6,BOLE_DDM_F,0.9952559952559953,0.9901168200092992,00:10:59,1.07 MB,[]
55,stagger_gradual_1M_6,BOLE_ECDD_F,0.9729349729349729,0.9436067172530873,00:14:45,3.26 MB,[]
56,stagger_gradual_1M_6,BOLE_EDDM_F,0.9810879810879811,0.9605947175328757,00:11:55,1.88 MB,[]
57,stagger_gradual_1M_6,BOLE_GMA_F,0.9981239981239981,0.9960924031795066,00:10:56,2.3 MB,[]
58,stagger_gradual_1M_6,BOLE_HDDMA_F,0.9851259851259851,0.9690064546238956,00:14:50,2.18 MB,[]
59,stagger_gradual_1M_6,BOLE_HDDMW_F,0.996018996018996,0.9917068741413281,00:14:30,798.73 KB,[]
60,stagger_gradual_1M_6,BOLE_KSWIN1_F,0.9970689970689971,0.9938931073900177,00:36:49,666 KB,[]
61,stagger_gradual_1M_6,BOLE_KSWIN51_F,0.996928996928997,0.9936008538769976,00:40:29,753.23 KB,[]
62,stagger_gradual_1M_6,BOLE_KSWIN101_F,0.9977409977409978,0.9952927708757987,00:35:21,659.15 KB,[]
63,stagger_gradual_1M_6,BOLE_KSWIN151_F,0.9976779976779977,0.9951616694702202,00:35:24,713.82 KB,[]
64,stagger_gradual_1M_6,BOLE_KSWIN201_F,0.9974389974389974,0.9946636204906497,00:35:07,695.39 KB,[]
65,stagger_gradual_1M_6,BOLE_PH_F,0.9987929987929988,0.9974850238327023,00:08:53,657.67 KB,[]
66,stagger_gradual_1M_6,BOLE_RDDM_F,0.9964599964599965,0.9926230063254456,00:11:04,1.45 MB,[]
67,stagger_gradual_1M_6,BOLE_STEPD_F,0.8066758066758066,0.5912916991329975,00:26:06,2.32 MB,[]
68,stagger_gradual_1M_8,BOLE_basic_F,0.9986029986029986,0.9970890897503653,00:08:22,2.45 MB,[]
69,stagger_gradual_1M_8,BOLE_ADWIN_F,0.7694527694527694,0.49941527796185486,00:17:55,593 KB,[]
70,stagger_gradual_1M_8,BOLE_CUSUM_F,0.9982819982819983,0.9964197071601048,00:09:33,499.47 KB,[]
71,stagger_gradual_1M_8,BOLE_DDM_F,0.994937994937995,0.9894536606901083,00:10:00,1.2 MB,[]
72,stagger_gradual_1M_8,BOLE_ECDD_F,0.9776639776639776,0.9534471608580093,00:12:26,2.91 MB,[]
73,stagger_gradual_1M_8,BOLE_EDDM_F,0.9911079911079911,0.981476170048392,00:09:53,1.31 MB,[]
74,stagger_gradual_1M_8,BOLE_GMA_F,0.9986029986029986,0.9970890897503653,00:10:00,2.47 MB,[]
75,stagger_gradual_1M_8,BOLE_HDDMA_F,0.9903689903689904,0.9799306552049607,00:12:19,1.88 MB,[]
76,stagger_gradual_1M_8,BOLE_HDDMW_F,0.9976599976599977,0.9951240163410104,00:11:47,682.28 KB,[]
77,stagger_gradual_1M_8,BOLE_KSWIN1_F,0.9971419971419971,0.9940452490810973,00:30:23,714.24 KB,[]
78,stagger_gradual_1M_8,BOLE_KSWIN51_F,0.9972129972129972,0.9941930904815638,00:33:44,708.4 KB,[]
79,stagger_gradual_1M_8,BOLE_KSWIN101_F,0.9974279974279975,0.994640563085016,00:34:57,786.41 KB,[]
