,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_1M_0,HT_basic_F,0.9828959828959829,0.9643281779366901,00:01:13,175.89 KB,[]
1,stagger_gradual_1M_0,HT_ADWIN_F,0.7582497582497583,0.521371893586964,00:02:12,42.02 KB,"[4223, 8831, 13439, 18175, 23007, 27455, 31871, 36511, 41119, 45695, 50303, 54751, 59071, 63839, 68575, 73183, 77759, 82367, 87423, 92031, 96575, 101183, 105631, 110367, 115263, 119743, 124447, 129279, 133887, 138591, 143103, 147647, 152255, 156735, 161183, 165823, 170655, 175231, 179807, 184415, 188863, 193375, 198015, 200159, 200927, 201887, 205599, 209599, 213535, 217375, 221343, 225279, 229279, 233119, 237119, 241055, 245023, 248735, 252767, 256863, 260703, 264543, 268255, 272255, 274271, 278175, 282047, 285759, 289695, 293535, 294655, 298495, 302559, 306399, 310367, 314431, 318239, 322079, 325919, 329695, 333695, 337631, 341407, 345023, 348767, 352639, 353215, 357215, 361119, 364895, 368575, 372543, 376447, 377215, 381055, 384895, 388671, 392511, 396479, 400383, 400799, 401247, 401695, 402143, 402591, 402975, 403423, 403743, 404191, 404575, 404863, 405247, 405631, 405983, 406367, 406751, 407199, 407647, 408031, 408415, 408703, 409183, 409631, 410047, 410463, 410847, 411135, 411647, 412095, 412543, 412927, 413439, 413855, 414143, 414527, 414911, 415295, 415679, 416063, 416415, 416799, 417151, 417503, 417887, 418175, 418623, 419007, 419519, 419967, 420351, 420799, 421151, 421535, 421919, 422303, 422719, 423103, 423487, 423839, 424127, 424575, 425023, 425439, 425855, 426207, 426591, 427007, 427391, 427839, 428127, 428511, 428799, 429183, 429567, 430015, 430431, 430847, 431199, 431615, 431999, 432351, 432735, 433183, 433663, 434111, 434559, 434943, 435327, 435775, 436159, 436511, 436895, 437183, 437535, 437919, 438303, 438591, 438975, 439423, 439775, 440159, 440511, 440895, 441279, 441695, 442111, 442495, 442943, 443327, 443775, 444159, 444543, 444927, 445311, 445759, 446143, 446431, 446879, 447263, 447679, 448031, 448415, 448799, 449279, 449663, 450015, 450399, 450783, 451199, 451647, 451999, 452447, 452799, 453183, 453567, 453951, 454399, 454815, 455231, 455679, 456031, 456415, 456831, 457279, 457727, 458111, 458495, 458783, 459231, 459647, 460031, 460447, 460895, 461151, 461503, 461887, 462271, 462655, 463103, 463487, 463935, 464319, 464703, 465087, 465535, 465983, 466431, 466815, 467103, 467615, 467999, 468415, 468799, 469151, 469535, 469919, 470207, 470559, 470847, 471295, 471679, 472031, 472479, 472863, 473375, 473791, 474175, 474559, 474943, 475359, 475743, 476223, 476607, 477055, 477439, 477823, 478207, 478591, 479007, 479391, 479775, 480159, 480575, 480927, 481215, 481663, 482079, 482591, 482943, 483455, 483871, 484319, 484703, 485087, 485375, 485823, 486271, 486559, 487007, 487359, 487775, 488159, 488511, 488959, 489343, 489727, 490111, 490495, 490943, 491295, 491743, 492127, 492575, 493055, 493439, 493855, 494271, 494655, 495039, 495423, 495807, 496223, 496735, 497119, 497567, 497951, 498335, 498623, 499007, 499391, 499775, 500063, 500415, 500895, 501311, 501823, 502207, 502623, 503103, 503487, 503935, 504319, 504767, 505023, 505407, 505823, 506207, 506623, 507071, 507423, 507839, 508287, 508735, 509183, 509599, 509983, 510367, 510847, 511231, 511615, 511999, 512447, 512863, 513279, 513727, 514207, 514591, 514975, 515327, 515775, 516191, 516607, 516959, 517407, 517855, 518271, 518559, 518975, 519423, 519871, 520255, 520639, 521023, 521407, 521791, 522175, 522463, 522847, 523231, 523679, 524191, 524575, 524991, 525407, 525855, 526335, 526719, 527103, 527551, 527935, 528319, 528703, 529087, 529471, 529823, 530239, 530687, 531103, 531487, 531839, 532127, 532511, 532895, 533247, 533759, 534143, 534527, 534975, 535263, 535615, 535999, 536383, 536767, 537151, 537535, 537823, 538175, 538623, 538943, 539359, 539839, 540287, 540735, 541119, 541535, 541919, 542335, 542751, 543167, 543615, 544031, 544447, 544767, 545055, 545535, 545951, 546367, 546751, 547135, 547519, 547807, 548191, 548543, 548991, 549375, 549759, 550175, 550559, 550847, 551263, 551647, 552031, 552415, 552799, 553247, 553759, 554207, 554591, 555039, 555423, 555807, 556159, 556511, 557023, 557439, 557855, 558239, 558623, 559007, 559359, 559711, 560095, 560543, 560927, 561279, 561599, 561983, 562367, 562751, 563135, 563583, 563999, 564479, 564863, 565151, 565567, 565855, 566271, 566687, 566975, 567359, 567775, 568063, 568479, 568767, 569151, 569503, 569951, 570303, 570719, 571103, 571551, 571999, 572383, 572799, 573183, 573567, 573855, 574143, 574559, 575007, 575391, 575775, 576159, 576543, 576927, 577279, 577663, 578047, 578463, 578847, 579231, 579615, 579999, 580415, 580799, 581183, 581535, 581823, 582207, 582655, 583039, 583487, 583871, 584319, 584767, 585183, 585631, 586015, 586367, 586879, 587295, 587679, 588063, 588479, 588863, 589247, 589631, 590015, 590463, 590911, 591327, 591775, 592223, 592607, 593023, 593407, 593791, 594207, 594591, 595007, 595391, 595775, 596223, 596575, 597023, 597439, 597823, 598175, 598559, 598847, 599231, 599615, 600255, 600703, 605407, 609919, 614367, 619039, 623807, 628479, 633183, 637759, 642335, 646623, 651199, 655903, 660543, 665055, 669663, 674239, 678815, 683391, 687999, 692575, 697279, 701695, 706335, 710975, 715583, 720351, 724959, 729599, 734463, 739039, 743487, 747967, 752511, 757087, 761663, 766271, 771071, 775519, 780063, 784415, 788959, 793503, 798175, 800191, 800447, 804735, 808351, 812063, 815839, 819807, 823359, 827199, 831039, 835071, 839039, 842879, 846943, 850879, 854719, 857247, 861151, 864767, 868511, 872351, 874015, 875103, 878911, 882783, 886751, 890527, 894623, 898463, 902495, 906271, 910207, 914239, 918015, 922015, 925887, 929663, 933503, 937567, 941407, 945119, 948895, 952895, 956671, 960479, 964095, 967903, 971935, 975775, 979615, 983327, 987359, 991423, 995263, 999103]"
2,stagger_gradual_1M_0,HT_CUSUM_F,0.9974889974889974,0.9947677143028161,00:01:33,34.79 KB,"[200030, 203638, 400070, 600021, 603946, 800072, 803680]"
3,stagger_gradual_1M_0,HT_DDM_F,0.9963399963399964,0.9923671698719563,00:01:34,39.68 KB,"[200000, 200344, 200415, 400095, 599741, 599799, 600033, 603653, 800041, 800370, 800457]"
4,stagger_gradual_1M_0,HT_ECDD_F,0.9433389433389433,0.8804065513940196,00:01:43,59.01 KB,"[195, 555, 1049, 2156, 2751, 3285, 3812, 4216, 5178, 5958, 6754, 7153, 7344, 7540, 7935, 8939, 9359, 10223, 11730, 12096, 12862, 13917, 15161, 15949, 16224, 16420, 16903, 17389, 18285, 19239, 19456, 20225, 20570, 20939, 21588, 24382, 26593, 27830, 28505, 28783, 29269, 29815, 30912, 32318, 33005, 33523, 33671, 33805, 35022, 36907, 38939, 39615, 39774, 39927, 40162, 40721, 41332, 41723, 42090, 42399, 43115, 43384, 44065, 45050, 45516, 45786, 46004, 46874, 47602, 47724, 48307, 49590, 49932, 50700, 51010, 51740, 54360, 56137, 57031, 59101, 60801, 61185, 61538, 63143, 64384, 65366, 66365, 66628, 67850, 68840, 69127, 69578, 70081, 70627, 71540, 72433, 73548, 74869, 76357, 77100, 77688, 78760, 79214, 79532, 79802, 80367, 80630, 81308, 83136, 83918, 84434, 85656, 86409, 86643, 87041, 87933, 88758, 89646, 90263, 90891, 91084, 91195, 91890, 92893, 94601, 95176, 95681, 95994, 96370, 96567, 96931, 97693, 98478, 99660, 101216, 101949, 102369, 103088, 103558, 104962, 105495, 106027, 106638, 106949, 107614, 107991, 108877, 109366, 109541, 109674, 111145, 111954, 112379, 113232, 113944, 114723, 115965, 116764, 117534, 119199, 120117, 120546, 121317, 122210, 122843, 123430, 124363, 124708, 125790, 126291, 126587, 127274, 128493, 131247, 132761, 134327, 134987, 135337, 136000, 136575, 137185, 137862, 138611, 139634, 141752, 143370, 144343, 144534, 145628, 146254, 146754, 147427, 147726, 148316, 150181, 151549, 153031, 154327, 155002, 155616, 156644, 157433, 158074, 159287, 160350, 161051, 161730, 162551, 163392, 164178, 166109, 167526, 168625, 170364, 171766, 173058, 173906, 175265, 175695, 176088, 176985, 177969, 178352, 179506, 180075, 180740, 183408, 184490, 185404, 186750, 187448, 188259, 188513, 189236, 190688, 191749, 192311, 193108, 193573, 193978, 194436, 194936, 195351, 195590, 195772, 195881, 196279, 196671, 197748, 198392, 199189, 199599, 199983, 203373, 206762, 208121, 399451, 400071, 599355, 599909, 600217, 600273, 603673, 603854, 604258, 605220, 606000, 606795, 607195, 607385, 607582, 607977, 608981, 609401, 610265, 611772, 612138, 612904, 613959, 615203, 615991, 616266, 616462, 616945, 617431, 618327, 619281, 619498, 620267, 620612, 620981, 621630, 624424, 626635, 627872, 628547, 628825, 629311, 629857, 630954, 632360, 633047, 633565, 633713, 633847, 635064, 636949, 638981, 639657, 639816, 639969, 640204, 640763, 641374, 641765, 642132, 642441, 643157, 643426, 644107, 645092, 645558, 645828, 646046, 646916, 647644, 647766, 648349, 649632, 649974, 650742, 651052, 651782, 654402, 656179, 657073, 659143, 660843, 661227, 661580, 663185, 664426, 665408, 666407, 666670, 667892, 668882, 669169, 669620, 670123, 670669, 671582, 672475, 673590, 674911, 676399, 677142, 677730, 678802, 679256, 679574, 679844, 680409, 680672, 681350, 683178, 683960, 684476, 685698, 686451, 686685, 687083, 687975, 688800, 689688, 690305, 690933, 691126, 691237, 691932, 692935, 694643, 695218, 695723, 696036, 696412, 696609, 696973, 697735, 698520, 699702, 701258, 701991, 702411, 703130, 703600, 705004, 705537, 706069, 706680, 706991, 707656, 708033, 708919, 709408, 709583, 709716, 711187, 711996, 712421, 713274, 713986, 714765, 716007, 716806, 717576, 719241, 720159, 720588, 721359, 722252, 722885, 723472, 724405, 724750, 725832, 726333, 726629, 727316, 728535, 731289, 732803, 734369, 735029, 735379, 736042, 736617, 737227, 737904, 738653, 739676, 741794, 743412, 744385, 744576, 745670, 746296, 746796, 747469, 747768, 748358, 750223, 751591, 753073, 754369, 755044, 755658, 756686, 757475, 758116, 759329, 760392, 761093, 761772, 762593, 763434, 764220, 766151, 767568, 768667, 770406, 771808, 773100, 773948, 775307, 775737, 776130, 777027, 778011, 778394, 779548, 780117, 780782, 783450, 784532, 785446, 786792, 787490, 788301, 788555, 789278, 790730, 791791, 792353, 793150, 793615, 794020, 794478, 794978, 795393, 795632, 795814, 795923, 796321, 796713, 797790, 798434, 799231, 799641, 800025, 803415, 806804, 808163]"
5,stagger_gradual_1M_0,HT_EDDM_F,0.9921699921699921,0.9837044874454244,00:01:23,42.59 KB,"[263, 200174, 200224, 203638, 203828, 205166, 205222, 205282, 400763, 599866, 599985, 600060, 603605, 603898, 604202, 605032, 800220, 800266, 803699, 803771, 803842, 803899, 803984, 804037, 804091, 804149, 804835, 804895, 804957, 805031, 805129, 805405, 805471, 805576, 805628, 805696, 805777, 805830, 805980, 806034, 806086, 806169, 806346, 806416, 806466, 806569]"
6,stagger_gradual_1M_0,HT_GMA_F,0.9828959828959829,0.9643281779366901,00:01:34,178.06 KB,[]
7,stagger_gradual_1M_0,HT_HDDMA_F,0.994957994957995,0.9895054843472492,00:01:49,41.3 KB,"[200019, 203442, 400025, 599999, 603853, 800061, 803485]"
8,stagger_gradual_1M_0,HT_HDDMW_F,0.9885829885829885,0.9762983758387945,00:01:47,43.08 KB,"[200051, 203525, 205942, 208531, 211336, 400100, 600041, 800093, 803567, 805984, 808573, 811378]"
9,stagger_gradual_1M_0,HT_KSWIN1_F,0.9828959828959829,0.9643281779366901,00:05:06,179.46 KB,[]
