,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_1M_0,NoChange_basic_F,0.6348126348126348,0.2394471993928084,00:00:25,659 B,[]
1,stagger_gradual_1M_0,MajClass_basic_F,0.5995975995975996,0.0,00:00:30,765 B,[]
2,stagger_gradual_1M_0,NB_basic_F,0.6368196368196368,0.1516785726469378,00:01:32,21.68 KB,[]
3,stagger_gradual_1M_0,NB_ADWIN_F,0.8417088417088417,0.6792060536348418,00:03:24,34.43 KB,"[201183, 401215, 602431, 801279]"
4,stagger_gradual_1M_0,NB_CUSUM_F,0.93997393997394,0.8757454945225905,00:02:36,25.1 KB,"[200141, 202348, 212404, 251259, 253212, 263816, 268860, 275813, 289988, 295296, 301309, 311265, 319061, 327485, 336919, 341186, 353960, 368029, 380279, 400070, 600021, 800071, 804708, 808341, 811426, 815112, 821010, 825960, 830916, 851281, 853492, 858696, 892422]"
5,stagger_gradual_1M_0,NB_DDM_F,0.9264179264179264,0.8477858454154326,00:02:38,45.75 KB,"[200547, 210956, 425358, 599355, 599849, 599903, 800003, 824924, 825086, 827877, 828376, 829138, 829178, 829724, 830176, 830320, 830358, 830600, 830811, 831646, 834267]"
6,stagger_gradual_1M_0,NB_ECDD_F,0.9679179679179679,0.9327202970943318,00:02:47,61.59 KB,"[195, 555, 704, 1049, 1178, 1474, 2146, 2410, 2591, 2751, 2944, 3203, 3812, 4130, 4216, 4990, 5178, 5957, 6159, 6753, 6812, 7041, 7092, 7153, 7341, 7540, 7667, 7933, 8030, 8411, 8582, 8939, 9358, 10223, 10594, 11728, 11841, 12096, 12862, 13607, 13811, 14162, 14752, 15161, 15273, 15604, 15895, 16224, 16369, 16421, 16857, 16903, 17284, 17389, 17682, 18135, 18285, 18464, 19015, 19239, 19293, 19456, 19809, 20110, 20225, 20377, 20569, 20939, 21166, 21588, 21845, 22025, 22284, 22653, 24382, 25292, 25644, 25824, 26587, 27531, 27830, 28180, 28505, 28783, 28904, 29269, 29530, 29566, 29813, 30198, 30912, 31009, 31305, 31632, 32318, 32776, 33004, 33433, 33671, 33805, 33913, 35022, 35408, 36907, 37273, 37486, 37633, 37821, 38327, 38633, 38939, 39047, 39388, 39615, 39773, 39927, 40162, 40224, 40721, 41224, 41331, 41434, 41583, 41723, 41988, 42090, 42399, 42955, 43114, 43383, 44065, 44314, 44384, 45050, 45514, 45786, 46002, 46874, 47601, 47722, 48006, 48307, 48381, 49590, 49931, 50033, 50700, 51009, 51214, 51740, 51799, 52651, 52878, 53066, 54192, 54360, 54551, 55089, 55783, 55897, 56042, 56134, 57031, 58606, 58948, 59101, 59511, 60138, 60801, 61095, 61538, 61713, 63143, 63495, 63718, 63880, 64357, 64719, 65366, 66035, 66365, 66627, 67850, 67977, 68840, 69127, 69578, 69652, 70081, 70627, 71540, 71847, 72433, 73548, 73747, 74338, 74869, 75393, 76196, 76333, 76543, 76615, 76818, 77098, 77394, 77688, 77853, 77952, 78095, 78517, 78758, 78995, 79072, 79214, 79390, 79532, 79802, 80367, 80630, 80867, 81308, 83136, 83253, 83918, 84433, 85656, 86041, 86239, 86409, 86642, 86720, 87041, 87086, 87933, 88758, 89487, 89630, 90263, 90891, 91084, 91195, 91890, 92737, 92893, 93882, 93949, 94345, 94601, 94929, 95175, 95302, 95531, 95681, 95994, 96370, 96560, 96931, 97692, 97952, 98093, 98478, 99038, 99645, 99930, 101216, 101905, 101948, 102369, 103088, 103284, 103318, 103558, 104170, 104962, 105167, 105494, 105632, 105720, 106638, 106948, 107614, 107990, 108178, 108877, 109124, 109165, 109324, 109541, 109602, 110616, 111145, 111380, 111639, 111930, 112379, 113191, 113944, 114265, 114302, 114505, 114723, 115260, 115602, 115964, 116570, 116763, 117137, 117534, 118061, 119199, 119264, 119754, 120117, 120546, 120618, 121317, 121412, 121978, 122204, 122843, 122993, 123430, 124309, 124363, 124600, 124708, 124783, 125789, 126053, 126291, 126587, 126732, 127039, 127274, 127421, 128493, 128569, 129523, 129961, 130051, 130352, 131129, 131629, 132105, 132356, 132524, 132761, 132947, 133739, 134327, 134680, 134840, 134987, 135337, 135423, 136000, 136272, 136574, 137001, 137184, 137352, 137862, 138611, 138676, 139634, 139984, 141252, 141752, 142124, 142414, 142649, 142789, 143214, 143369, 143462, 144004, 144086, 144339, 144512, 145628, 145665, 146254, 146362, 146754, 147080, 147427, 147725, 147926, 148314, 150181, 150404, 151230, 151549, 151665, 152150, 153031, 153150, 153446, 153488, 154200, 154327, 154676, 155000, 155061, 155565, 155616, 155870, 156644, 156778, 156906, 157433, 157486, 158074, 158782, 159287, 159392, 159744, 160343, 161051, 161325, 161730, 162377, 162551, 162619, 162749, 162856, 163386, 163782, 163951, 164072, 164178, 164220, 164492, 165404, 165800, 166109, 166302, 166637, 167526, 168534, 168625, 168691, 170208, 170364, 170731, 170897, 171168, 171419, 171765, 172321, 172667, 172862, 173058, 173421, 173905, 174080, 174178, 174621, 174946, 175265, 175393, 175631, 175695, 176049, 176088, 176214, 176834, 176985, 177110, 177257, 177969, 178255, 178352, 179486, 179636, 179733, 180075, 180129, 180223, 180740, 181348, 182252, 183408, 184096, 184241, 184487, 184758, 185404, 185701, 185733, 185833, 186678, 186750, 186835, 186966, 187208, 187448, 187520, 188259, 188489, 189236, 189951, 190688, 190866, 191173, 191602, 191749, 191958, 192311, 192611, 193107, 193572, 193735, 193978, 194415, 194936, 195351, 195590, 195772, 195880, 196026, 196279, 196665, 196936, 197748, 197954, 198391, 199189, 199367, 199881, 205909, 206760, 207095, 207381, 207532, 207677, 208085, 209248, 209627, 210065, 210639, 210909, 211311, 212028, 212390, 213056, 213425, 213890, 215338, 218378, 218805, 219342, 220805, 221353, 221590, 221965, 222235, 222535, 223382, 223957, 224712, 227835, 229079, 229530, 230079, 230549, 231255, 231449, 231587, 232215, 233392, 233441, 234152, 234948, 235467, 235698, 235998, 236722, 241057, 241511, 241664, 242047, 242493, 242694, 243447, 243715, 244453, 244865, 245139, 245626, 245837, 246314, 246528, 246805, 247031, 247646, 253673, 254082, 254271, 254483, 256279, 256748, 257181, 257318, 257627, 259162, 259374, 260175, 260852, 261086, 261629, 262027, 262591, 263283, 263546, 264132, 264313, 267774, 268178, 268511, 269050, 269940, 272384, 273526, 273795, 274144, 274633, 275204, 276285, 283176, 284729, 285213, 285852, 286082, 286222, 287079, 287176, 287388, 287581, 287972, 288375, 288619, 288795, 288998, 289249, 289855, 290090, 290666, 294441, 294768, 294954, 295276, 295613, 295862, 296038, 296655, 297479, 298639, 298935, 300946, 301636, 302169, 302820, 303017, 303257, 303605, 304506, 304648, 307073, 307675, 308483, 309842, 310201, 310445, 310752, 311226, 311606, 311889, 312206, 312678, 312966, 313480, 313818, 314291, 317125, 317552, 318377, 319503, 319899, 320452, 321829, 322111, 329717, 329912, 330172, 330528, 330685, 331134, 331512, 331836, 332147, 332584, 333203, 333881, 334495, 335193, 335788, 336031, 336425, 336920, 337509, 337943, 338811, 339217, 339734, 340162, 340986, 353894, 354128, 354511, 356055, 356436, 356739, 357228, 357787, 357955, 358500, 365200, 365468, 366026, 366751, 367031, 367317, 367892, 368489, 369032, 369265, 369704, 369904, 370636, 370847, 371191, 371829, 372413, 372602, 373182, 375129, 375263, 375662, 388195, 388844, 389149, 389754, 391336, 391952, 392447, 392599, 393115, 393631, 394147, 394531, 394817, 395359, 395531, 396560, 397135, 397622, 398050, 398325, 398754, 399542, 399853, 599355, 599794, 600135, 799369, 799923, 805951, 807142, 807679, 807783, 808463, 809332, 809669, 809920, 810157, 810582, 810951, 811176, 811341, 811807, 812255, 812824, 813107, 813257, 813469, 813754, 814014, 815363, 819232, 819385, 819583, 820651, 820871, 821173, 821428, 821624, 822004, 822277, 822587, 823424, 823999, 824754, 827877, 829121, 829572, 830121, 830591, 831297, 831491, 831629, 832257, 833434, 833483, 834194, 834990, 835509, 835740, 836040, 836764, 841099, 841553, 841706, 842089, 842535, 842736, 843489, 843757, 844495, 844907, 845181, 845668, 845879, 846356, 846570, 846847, 847073, 847688, 853715, 854124, 854313, 854525, 856321, 856790, 857223, 857360, 857669, 859204, 859416, 860217, 860894, 861128, 861671, 862069, 862633, 863325, 863588, 864174, 864355, 867816, 868220, 868553, 869092, 869982, 872426, 873568, 873837, 874186, 874675, 875246, 876327, 883218, 884771, 885255, 885894, 886124, 886264, 887121, 887218, 887430, 887623, 888014, 888417, 888661, 888837, 889040, 889291, 889897, 890132, 890708, 894483, 894810, 894996, 895318, 895655, 895904, 896080, 896697, 897521, 898681, 898977, 900988, 901678, 902211, 902862, 903059, 903299, 903647, 904548, 904690, 907115, 907717, 908525, 909884, 910243, 910487, 910794, 911268, 911648, 911931, 912248, 912720, 913008, 913522, 913860, 914333, 917167, 917594, 918419, 919545, 919941, 920494, 921871, 922153, 929759, 929954, 930214, 930570, 930727, 931176, 931554, 931878, 932189, 932626, 933245, 933923, 934537, 935235, 935830, 936073, 936467, 936962, 937551, 937985, 938853, 939259, 939776, 940204, 941028, 953936, 954170, 954553, 956097, 956478, 956781, 957270, 957829, 957997, 958542, 965242, 965510, 966068, 966793, 967073, 967359, 967934, 968531, 969074, 969307, 969746, 969946, 970678, 970889, 971233, 971871, 972455, 972644, 973224, 975171, 975305, 975704, 988237, 988886, 989191, 989796, 991378, 991994, 992489, 992641, 993157, 993673, 994189, 994573, 994859, 995401, 995573, 996602, 997177, 997664, 998092, 998367, 998796, 999581]"
7,stagger_gradual_1M_0,NB_EDDM_F,0.9588679588679588,0.9136707064395477,00:02:28,36.48 KB,"[263, 211349, 211404, 215338, 215470, 215835, 218403, 218785, 219126, 219387, 220774, 221911, 222234, 222756, 223615, 223951, 224553, 225044, 228389, 228940, 229165, 229712, 230434, 231768, 232385, 233446, 234089, 234737, 235092, 235698, 236464, 236841, 238701, 239641, 239931, 240224, 240665, 241240, 241670, 242127, 242740, 245550, 245886, 246454, 246804, 247142, 254556, 256558, 256848, 257181, 259890, 263683, 264609, 268034, 268378, 268612, 268796, 269087, 269940, 270220, 272520, 273878, 274185, 274510, 274816, 275437, 276429, 277411, 283192, 285312, 285581, 285905, 286249, 286641, 287357, 288081, 288408, 288848, 289211, 289944, 290668, 291592, 293769, 294106, 294413, 294781, 295152, 296012, 297808, 298556, 298833, 301297, 304078, 310517, 310886, 311955, 312640, 313691, 314021, 314390, 316215, 316781, 317990, 321316, 321749, 322296, 330191, 330684, 331381, 331625, 332578, 333081, 334593, 334900, 335631, 336046, 336496, 338143, 339425, 339722, 340224, 340605, 340994, 341227, 341823, 342621, 344078, 353702, 354017, 354449, 356126, 356419, 356913, 357611, 358004, 367363, 368739, 369108, 369795, 370675, 371386, 371841, 372580, 372796, 373194, 374780, 375477, 388327, 389375, 390409, 391569, 392151, 392666, 393217, 393631, 394531, 394988, 395490, 395756, 396626, 397300, 399075, 399469, 399851, 400107, 599700, 599920, 600041, 800003, 804341, 806420, 807235, 807729, 808163, 809290, 809664, 810160, 810680, 811014, 811454, 811873, 813686, 814195, 815363, 815730, 815982, 818502, 819113, 819577, 820933, 821428, 821743, 822371, 822628, 823491, 823992, 824740, 825017, 828412, 829053, 829317, 829713, 830417, 831387, 831692, 833628, 834195, 834807, 835689, 837036, 842285, 842761, 845180, 845786, 846093, 846693, 847573, 847919, 854716, 856350, 856922, 857652, 859416, 859970, 860921, 863765, 864615, 868231, 868555, 868829, 869129, 869997, 870256, 872717, 873600, 874123, 874509, 874861, 875440, 877041, 877379, 883271, 885255, 885511, 885964, 886388, 886880, 887270, 887546, 887944, 888454, 888783, 889095, 890474, 890751, 891584, 894076, 894374, 894805, 895087, 895532, 895904, 896224, 896744, 897766, 899172, 903760, 904107, 910781, 912696, 917418, 920760, 939437, 939853, 940294, 940846, 941126, 941406, 941842, 942646, 944067, 953879, 954143, 954491, 956168, 956461, 956955, 957653, 958046, 967405, 968781, 969150, 969837, 970717, 971428, 971883, 972622, 972838, 973236, 974822, 975519, 988369, 989417, 990451, 991611, 992193, 992708, 993259, 993673, 994573, 995030, 995532, 995798, 996668, 997342, 999117, 999509]"
8,stagger_gradual_1M_0,NB_GMA_F,0.6368196368196368,0.1516785726469378,00:02:31,23.87 KB,[]
9,stagger_gradual_1M_0,NB_HDDMA_F,0.9341789341789342,0.8640857524316538,00:02:52,36.04 KB,"[200045, 204664, 208452, 215053, 400136, 599999, 800058, 804729, 808394, 810160]"
