,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_20K_0,HT_basic_F,0.7028851442572128,0.36785402745155066,00:00:01,130.73 KB,[]
1,stagger_gradual_20K_0,HT_ADWIN_F,0.7871893594679734,0.558096370045344,00:00:02,18.61 KB,"[4031, 4479, 4927, 8447, 8895, 9247, 9631, 10047, 10431, 10815, 11263, 11711, 12543, 16031, 16479, 16767, 17343]"
2,stagger_gradual_20K_0,HT_BOCD_F,0.791939596979849,0.5670338455619288,00:05:29,146.04 MB,"[4000, 4619, 5226, 8929, 9312, 9716, 10229, 10982, 11435, 12119, 13650, 16002, 16907]"
3,stagger_gradual_20K_0,HT_CUSUM_F,0.927996399819991,0.848633780606085,00:00:01,11.21 KB,"[4004, 7630, 11992, 16029, 19662]"
4,stagger_gradual_20K_0,HT_DDM_F,0.9215460773038652,0.8351800369155298,00:00:02,12.58 KB,"[3977, 4483, 7606, 8034, 11805, 11952, 15971, 19409]"
5,stagger_gradual_20K_0,HT_ECDD_F,0.9112455622781139,0.814904748375373,00:00:02,13.5 KB,"[195, 555, 1049, 2156, 2751, 3285, 3837, 3983, 7380, 8257, 11480, 11806, 11980, 15381, 15816, 15963, 19359, 19953]"
6,stagger_gradual_20K_0,HT_EDDM_F,0.9238961948097405,0.8406053466488637,00:00:01,17.89 KB,"[263, 4013, 4064, 7505, 7570, 7636, 7964, 8047, 11760, 11925, 15971, 16049, 19483, 19547, 19612, 19782]"
7,stagger_gradual_20K_0,HT_GMA_F,0.7028851442572128,0.36785402745155066,00:00:01,132.89 KB,[]
8,stagger_gradual_20K_0,HT_HDDMA_F,0.9162958147907395,0.8251898685424738,00:00:02,13.22 KB,"[3980, 7421, 11963, 15950, 19400]"
9,stagger_gradual_20K_0,HT_HDDMW_F,0.9308465423271164,0.8540242607448756,00:00:02,35.44 KB,"[3979, 7737, 8075, 11976, 15958]"
10,stagger_gradual_20K_0,HT_KSWIN1_F,0.7028851442572128,0.36785402745155066,00:00:09,133.78 KB,[]
11,stagger_gradual_20K_0,HT_KSWIN51_F,0.7028851442572128,0.36785402745155066,00:00:09,133.78 KB,[]
12,stagger_gradual_20K_0,HT_KSWIN101_F,0.7028851442572128,0.36785402745155066,00:00:09,133.78 KB,[]
13,stagger_gradual_20K_0,HT_KSWIN151_F,0.7028851442572128,0.36785402745155066,00:00:09,133.78 KB,[]
14,stagger_gradual_20K_0,HT_KSWIN201_F,0.7028851442572128,0.36785402745155066,00:00:09,133.78 KB,[]
15,stagger_gradual_20K_0,HT_PH_F,0.9260963048152407,0.8446393942609677,00:00:01,21.25 KB,"[4144, 8145, 12267, 16292]"
16,stagger_gradual_20K_0,HT_RDDM_F,0.9237461873093654,0.839332110963593,00:00:02,68.78 KB,"[282, 560, 1049, 1304, 1441, 2826, 2986, 3284, 3484, 3836, 3992, 7422, 8255, 11719, 11976, 15937, 19371]"
17,stagger_gradual_20K_0,HT_STEPD_F,0.8161908095404771,0.6262577586531121,00:00:04,29.36 KB,"[3886, 3979, 4363, 4423, 4690, 5007, 5930, 8719, 8910, 9138, 9322, 9439, 9659, 9834, 10054, 10278, 10475, 10701, 10851, 11067, 11294, 11504, 11715, 11786, 11988, 15864, 16126, 19483, 19543]"
18,stagger_gradual_20K_2,HT_basic_F,0.6974348717435872,0.3336053507062328,00:00:01,130.73 KB,[]
19,stagger_gradual_20K_2,HT_ADWIN_F,0.7424871243562178,0.4829002061262841,00:00:02,18.49 KB,"[4063, 4511, 5087, 9375, 9759, 10111, 10527, 10911, 11263, 11711, 12351, 12895, 16319, 16703, 17247]"
20,stagger_gradual_20K_2,HT_BOCD_F,0.8194909745487274,0.6274978703370204,00:06:38,152.62 MB,"[4113, 5920, 9395, 9767, 10172, 10544, 11064, 11609, 12338, 15956, 16838]"
21,stagger_gradual_20K_2,HT_CUSUM_F,0.9260463023151158,0.8436654372648215,00:00:01,11.21 KB,"[4107, 7725, 12069, 15960, 19644]"
22,stagger_gradual_20K_2,HT_DDM_F,0.9147957397869894,0.8176257942424539,00:00:02,12.73 KB,"[76, 4086, 7608, 7708, 8169, 11816, 12124, 15626, 15755, 15956, 19403]"
23,stagger_gradual_20K_2,HT_ECDD_F,0.9306465323266163,0.8538002449816915,00:00:02,18.03 KB,"[76, 364, 1219, 2788, 3453, 3839, 3988, 4134, 7518, 8077, 11524, 12024, 15415, 15508, 15892, 16042, 16188, 19571]"
24,stagger_gradual_20K_2,HT_EDDM_F,0.9332966648332417,0.8600675026579326,00:00:01,18.19 KB,"[1214, 1261, 1441, 1674, 1903, 2139, 2621, 2795, 3070, 3461, 3714, 3870, 4039, 4161, 7600, 8092, 11816, 12038, 12095, 12206, 15732, 15935, 16268, 19659]"
25,stagger_gradual_20K_2,HT_GMA_F,0.6974348717435872,0.3336053507062328,00:00:01,132.89 KB,[]
26,stagger_gradual_20K_2,HT_HDDMA_F,0.9159457972898645,0.8234959195881123,00:00:02,13.28 KB,"[4103, 7524, 8269, 11926, 13736, 16147, 19577]"
27,stagger_gradual_20K_2,HT_HDDMW_F,0.935996799839992,0.8647314618805559,00:00:02,28.33 KB,"[4113, 7767, 12055, 16167]"
28,stagger_gradual_20K_2,HT_KSWIN1_F,0.6974348717435872,0.3336053507062328,00:00:09,133.78 KB,[]
29,stagger_gradual_20K_2,HT_KSWIN51_F,0.6974348717435872,0.3336053507062328,00:00:09,133.78 KB,[]
30,stagger_gradual_20K_2,HT_KSWIN101_F,0.6974348717435872,0.3336053507062328,00:00:09,133.78 KB,[]
31,stagger_gradual_20K_2,HT_KSWIN151_F,0.6974348717435872,0.3336053507062328,00:00:09,133.78 KB,[]
32,stagger_gradual_20K_2,HT_KSWIN201_F,0.6974348717435872,0.3336053507062328,00:00:09,133.78 KB,[]
