,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_gradual_20K_0,NoChange_basic_F,0.624281214060703,0.221736164524045,00:00:00,531 B,[]
1,stagger_gradual_20K_0,MajClass_basic_F,0.5928296414820741,0.0,00:00:00,637 B,[]
2,stagger_gradual_20K_0,NB_basic_F,0.632081604080204,0.15329306866791306,00:00:01,21.68 KB,[]
3,stagger_gradual_20K_0,NB_ADWIN_F,0.8687434371718586,0.7304425702722451,00:00:04,31.25 KB,"[4287, 8127, 9663, 11679, 12191, 12799, 13599, 16063, 16671]"
4,stagger_gradual_20K_0,NB_BOCD_F,0.8994449722486124,0.7922177706737937,00:06:12,233 MB,"[4038, 5133, 8137, 10727, 11636, 12133, 14291, 16093]"
5,stagger_gradual_20K_0,NB_CUSUM_F,0.9344967248362418,0.8634605766844317,00:00:03,23.97 KB,"[4116, 7820, 11986, 16011]"
6,stagger_gradual_20K_0,NB_DDM_F,0.9333966698334917,0.8594596415174319,00:00:03,45.18 KB,"[4082, 8053, 11806, 11922, 15959]"
7,stagger_gradual_20K_0,NB_ECDD_F,0.9396469823491175,0.8734935354558411,00:00:03,46.36 KB,"[195, 555, 704, 1049, 1178, 1474, 2146, 2410, 2591, 2751, 2944, 3203, 3615, 3868, 3980, 7282, 7773, 8035, 11480, 11702, 11926, 15815]"
8,stagger_gradual_20K_0,NB_EDDM_F,0.9220961048052403,0.8384683608706016,00:00:03,25.29 KB,"[263, 4206, 8164, 11760, 11908, 15951, 19823]"
9,stagger_gradual_20K_0,NB_GMA_F,0.632081604080204,0.15329306866791306,00:00:03,23.82 KB,[]
10,stagger_gradual_20K_0,NB_HDDMA_F,0.943897194859743,0.8824687658222027,00:00:03,25.29 KB,"[3989, 7973, 11908, 15951]"
11,stagger_gradual_20K_0,NB_HDDMW_F,0.9454472723636181,0.8856871625634715,00:00:03,26.84 KB,"[3980, 8077, 11976, 15958]"
12,stagger_gradual_20K_0,NB_KSWIN1_F,0.632081604080204,0.15329306866791306,00:00:11,24.76 KB,[]
13,stagger_gradual_20K_0,NB_KSWIN51_F,0.632081604080204,0.15329306866791306,00:00:11,24.76 KB,[]
14,stagger_gradual_20K_0,NB_KSWIN101_F,0.632081604080204,0.15329306866791306,00:00:11,24.76 KB,[]
15,stagger_gradual_20K_0,NB_KSWIN151_F,0.632081604080204,0.15329306866791306,00:00:11,24.76 KB,[]
16,stagger_gradual_20K_0,NB_KSWIN201_F,0.632081604080204,0.15329306866791306,00:00:11,24.76 KB,[]
17,stagger_gradual_20K_0,NB_PH_F,0.9149457472873643,0.8240993827167036,00:00:03,24.04 KB,"[4247, 7909, 12288, 16105]"
18,stagger_gradual_20K_0,NB_RDDM_F,0.9378968948447423,0.870156152352505,00:00:03,80.96 KB,"[282, 560, 1049, 1304, 1441, 2815, 2991, 3202, 3951, 4145, 5554, 7049, 7266, 7552, 7770, 8077, 11724, 11923, 15923]"
19,stagger_gradual_20K_0,NB_STEPD_F,0.9242462123106155,0.8425720034892153,00:00:06,57.04 KB,"[3972, 4147, 5515, 6932, 7281, 7341, 7816, 8036, 11719, 11976, 12443, 15663, 15952, 16350, 17081, 17141]"
20,stagger_gradual_20K_2,NoChange_basic_F,0.6185309265463274,0.20589519939645023,00:00:00,531 B,[]
21,stagger_gradual_20K_2,MajClass_basic_F,0.5990299514975749,0.0,00:00:00,637 B,[]
22,stagger_gradual_20K_2,NB_basic_F,0.6342317115855792,0.14474148407704074,00:00:01,21.68 KB,[]
23,stagger_gradual_20K_2,NB_ADWIN_F,0.855792789639482,0.7055998755045798,00:00:04,31.25 KB,"[4287, 5087, 7999, 8447, 8671, 12447, 14239, 16191, 16735]"
24,stagger_gradual_20K_2,NB_BOCD_F,0.8820441022051102,0.755187885439118,00:07:04,221.81 MB,"[4131, 7577, 8967, 11612, 12175, 13352, 16188]"
25,stagger_gradual_20K_2,NB_CUSUM_F,0.944247212360618,0.882578858544877,00:00:03,23.97 KB,"[4160, 8033, 12040, 16161]"
26,stagger_gradual_20K_2,NB_DDM_F,0.8935446772338617,0.7703919519616963,00:00:03,45.23 KB,"[76, 4285, 8302, 11784, 11843, 12124, 16019]"
27,stagger_gradual_20K_2,NB_ECDD_F,0.9406970348517426,0.8749479270733657,00:00:03,46.56 KB,"[76, 364, 876, 1219, 1380, 1677, 1901, 2128, 2502, 2768, 2966, 3453, 3789, 4124, 6842, 7140, 7631, 7828, 8072, 11524, 11816, 12109, 12208, 12414, 15542, 15732, 15967]"
28,stagger_gradual_20K_2,NB_EDDM_F,0.9398969948497425,0.8737512751811315,00:00:03,25.86 KB,"[1214, 1402, 1693, 1985, 2212, 2581, 2795, 3069, 3461, 3839, 4038, 4146, 7340, 7802, 7923, 8071, 11815, 12055, 12255, 15843, 16247, 18943, 19298]"
29,stagger_gradual_20K_2,NB_GMA_F,0.6342317115855792,0.14474148407704074,00:00:03,23.82 KB,[]
30,stagger_gradual_20K_2,NB_HDDMA_F,0.943397169858493,0.8806416976787942,00:00:03,25.24 KB,"[4103, 7949, 11973, 16112]"
31,stagger_gradual_20K_2,NB_HDDMW_F,0.9459972998649933,0.8863571671036627,00:00:03,26.84 KB,"[4113, 8099, 12055, 16167]"
32,stagger_gradual_20K_2,NB_KSWIN1_F,0.6342317115855792,0.14474148407704074,00:00:11,24.76 KB,[]
33,stagger_gradual_20K_2,NB_KSWIN51_F,0.6342317115855792,0.14474148407704074,00:00:11,24.76 KB,[]
34,stagger_gradual_20K_2,NB_KSWIN101_F,0.6342317115855792,0.14474148407704074,00:00:11,24.76 KB,[]
35,stagger_gradual_20K_2,NB_KSWIN151_F,0.6342317115855792,0.14474148407704074,00:00:11,24.76 KB,[]
36,stagger_gradual_20K_2,NB_KSWIN201_F,0.6342317115855792,0.14474148407704074,00:00:11,24.76 KB,[]
37,stagger_gradual_20K_2,NB_PH_F,0.9354967748387419,0.8645929449375788,00:00:03,24.04 KB,"[4259, 8083, 12269, 16363]"
38,stagger_gradual_20K_2,NB_RDDM_F,0.9373968698434921,0.8673851319859327,00:00:03,80.51 KB,"[1292, 4074, 7974, 11840, 12108, 15958, 16179]"
39,stagger_gradual_20K_2,NB_STEPD_F,0.9463473173658683,0.8868792057532128,00:00:06,56.95 KB,"[84, 1693, 1903, 2788, 3458, 3913, 4139, 7710, 8100, 11735, 12042, 12456, 15735, 16183]"
40,stagger_gradual_20K_4,NoChange_basic_F,0.6233311665583279,0.21457907244678542,00:00:00,531 B,[]
41,stagger_gradual_20K_4,MajClass_basic_F,0.6010300515025752,0.0,00:00:00,637 B,[]
42,stagger_gradual_20K_4,NB_basic_F,0.6406320316015801,0.15774535381248542,00:00:01,21.68 KB,[]
43,stagger_gradual_20K_4,NB_ADWIN_F,0.8515925796289815,0.6955410402116327,00:00:04,31.28 KB,"[4255, 4703, 7263, 8319, 8607, 11679, 12191, 12607, 16223, 16735]"
44,stagger_gradual_20K_4,NB_BOCD_F,0.8900945047252362,0.771275801416092,00:07:15,227.9 MB,"[4119, 7407, 9014, 11489, 12096, 12866, 16136]"
45,stagger_gradual_20K_4,NB_CUSUM_F,0.951647582379119,0.8980164682529879,00:00:03,23.97 KB,"[4164, 8058, 11993, 16108]"
46,stagger_gradual_20K_4,NB_DDM_F,0.9392969648482424,0.8711845576475648,00:00:03,45.2 KB,"[112, 4119, 8024, 11838, 12057, 15993]"
47,stagger_gradual_20K_4,NB_ECDD_F,0.9477473873693685,0.889860701022996,00:00:03,46.33 KB,"[213, 361, 814, 987, 1459, 1752, 2383, 2614, 2950, 3856, 4124, 7382, 7533, 7772, 7901, 11512, 11738, 12011, 15534, 15775, 16136]"
48,stagger_gradual_20K_4,NB_EDDM_F,0.9342467123356167,0.8617980469700246,00:00:03,35.74 KB,"[210, 406, 751, 1047, 4160, 7822, 11883, 16086]"
49,stagger_gradual_20K_4,NB_GMA_F,0.6406320316015801,0.15774535381248542,00:00:03,23.82 KB,[]
50,stagger_gradual_20K_4,NB_HDDMA_F,0.944047202360118,0.88176928777063,00:00:03,25.24 KB,"[4095, 7974, 11896, 16078]"
51,stagger_gradual_20K_4,NB_HDDMW_F,0.9517475873793689,0.8982534146082114,00:00:03,26.84 KB,"[4096, 8224, 12013, 16108]"
52,stagger_gradual_20K_4,NB_KSWIN1_F,0.6406320316015801,0.15774535381248542,00:00:11,24.76 KB,[]
53,stagger_gradual_20K_4,NB_KSWIN51_F,0.6406320316015801,0.15774535381248542,00:00:11,24.76 KB,[]
54,stagger_gradual_20K_4,NB_KSWIN101_F,0.6406320316015801,0.15774535381248542,00:00:11,24.76 KB,[]
55,stagger_gradual_20K_4,NB_KSWIN151_F,0.6406320316015801,0.15774535381248542,00:00:11,24.76 KB,[]
56,stagger_gradual_20K_4,NB_KSWIN201_F,0.6406320316015801,0.15774535381248542,00:00:11,24.76 KB,[]
57,stagger_gradual_20K_4,NB_PH_F,0.935746787339367,0.8649681483079488,00:00:03,24.04 KB,"[4333, 8137, 12145, 16333]"
58,stagger_gradual_20K_4,NB_RDDM_F,0.9471973598679934,0.888318414705545,00:00:03,80.46 KB,"[4082, 7918, 11830, 12015, 15911, 16133]"
59,stagger_gradual_20K_4,NB_STEPD_F,0.9284464223211161,0.8494405909555536,00:00:06,57.12 KB,"[2391, 2967, 3941, 4588, 6559, 7017, 7077, 7602, 7771, 7835, 11776, 12014, 12296, 15486, 15952, 16760, 18544, 19587]"
60,stagger_gradual_20K_6,NoChange_basic_F,0.6201810090504525,0.20937906923150412,00:00:00,531 B,[]
61,stagger_gradual_20K_6,MajClass_basic_F,0.5989799489974499,0.0,00:00:00,637 B,[]
62,stagger_gradual_20K_6,NB_basic_F,0.6385819290964548,0.15697559834368457,00:00:01,21.68 KB,[]
63,stagger_gradual_20K_6,NB_ADWIN_F,0.8540927046352318,0.7000898809171896,00:00:04,30.66 KB,"[4191, 4607, 8287, 8799, 11903, 12575, 13343, 16287, 18495]"
