,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,stagger_abrupt_500K_0,NoChange_basic_F,0.6353452706905414,0.24084549854945636,00:00:13,739 B,[]
1,stagger_abrupt_500K_0,MajClass_basic_F,0.5991371982743966,0.0,00:00:15,845 B,[]
2,stagger_abrupt_500K_0,NB_basic_F,0.6361912723825448,0.15090610267249085,00:00:47,24.56 KB,[]
3,stagger_abrupt_500K_0,NB_ADWIN_F,0.8405616811233623,0.6768308917080867,00:01:40,34.23 KB,"[100799, 201023, 301151, 400863]"
4,stagger_abrupt_500K_0,NB_CUSUM_F,0.848763697527395,0.6928793341682272,00:01:18,25.07 KB,"[100086, 115055, 120953, 125903, 130859, 151224, 153435, 158639, 192365, 200065, 270168, 278761, 284706, 300073, 400083, 415052, 420950, 425900, 430856, 451221, 453432, 458636, 492362]"
5,stagger_abrupt_500K_0,NB_DDM_F,0.8629537259074518,0.7239692456950029,00:01:19,45.81 KB,"[100326, 110282, 110367, 203954, 205720, 300437, 400123, 400644, 400841, 400895]"
6,stagger_abrupt_500K_0,NB_ECDD_F,0.8769037538075076,0.7466593249785116,00:01:24,84.01 KB,"[195, 555, 704, 1049, 1178, 1474, 2146, 2410, 2591, 2751, 2944, 3203, 3812, 4130, 4216, 4990, 5178, 5957, 6159, 6753, 6812, 7041, 7092, 7153, 7341, 7540, 7667, 7933, 8030, 8411, 8582, 8939, 9358, 10223, 10594, 11728, 11841, 12096, 12862, 13607, 13811, 14162, 14752, 15161, 15273, 15604, 15895, 16224, 16369, 16421, 16857, 16903, 17284, 17389, 17682, 18135, 18285, 18464, 19015, 19239, 19293, 19456, 19809, 20110, 20225, 20377, 20569, 20939, 21166, 21588, 21845, 22025, 22284, 22653, 24382, 25292, 25644, 25824, 26587, 27531, 27830, 28180, 28505, 28783, 28904, 29269, 29530, 29566, 29813, 30198, 30912, 31009, 31305, 31632, 32318, 32776, 33004, 33433, 33671, 33805, 33913, 35022, 35408, 36907, 37273, 37486, 37633, 37821, 38327, 38633, 38939, 39047, 39388, 39615, 39773, 39927, 40162, 40224, 40721, 41224, 41331, 41434, 41583, 41723, 41988, 42090, 42399, 42955, 43114, 43383, 44065, 44314, 44384, 45050, 45514, 45786, 46002, 46874, 47601, 47722, 48006, 48307, 48381, 49590, 49931, 50033, 50700, 51009, 51214, 51740, 51799, 52651, 52878, 53066, 54192, 54360, 54551, 55089, 55783, 55897, 56042, 56134, 57031, 58606, 58948, 59101, 59511, 60138, 60801, 61095, 61538, 61713, 63143, 63495, 63718, 63880, 64357, 64719, 65366, 66035, 66365, 66627, 67850, 67977, 68840, 69127, 69578, 69652, 70081, 70627, 71540, 71847, 72433, 73548, 73747, 74338, 74869, 75393, 76196, 76333, 76543, 76615, 76818, 77098, 77394, 77688, 77853, 77952, 78095, 78517, 78758, 78995, 79072, 79214, 79390, 79532, 79802, 80367, 80630, 80867, 81308, 83136, 83253, 83918, 84433, 85656, 86041, 86239, 86409, 86642, 86720, 87041, 87086, 87933, 88758, 89487, 89630, 90263, 90891, 91084, 91195, 91890, 92737, 92893, 93882, 93949, 94345, 94601, 94929, 95175, 95302, 95531, 95681, 95994, 96370, 96560, 96931, 97692, 97952, 98093, 98478, 99038, 99645, 99930, 100002, 100567, 100822, 101234, 101577, 102626, 102988, 103277, 103762, 104011, 104243, 104394, 104954, 105347, 106745, 110319, 110624, 110894, 111284, 111743, 112199, 113200, 113412, 113697, 113957, 115306, 119175, 119328, 119526, 120594, 120814, 121116, 121371, 121567, 121947, 122220, 122530, 123367, 123942, 124697, 127820, 129064, 129515, 130064, 130534, 131240, 131434, 131572, 132200, 133377, 133426, 134137, 134933, 135452, 135683, 135983, 136707, 141042, 141496, 141649, 142032, 142478, 142679, 143432, 143700, 144438, 144850, 145124, 145611, 145822, 146299, 146513, 146790, 147016, 147631, 153658, 154067, 154256, 154468, 156264, 156733, 157166, 157303, 157612, 159147, 159359, 160160, 160837, 161071, 161614, 162012, 162576, 163268, 163531, 164117, 164298, 167759, 168163, 168496, 169035, 169925, 172369, 173511, 173780, 174129, 174618, 175189, 176270, 183161, 184714, 185198, 185837, 186067, 186207, 187064, 187161, 187373, 187566, 187957, 188360, 188604, 188780, 188983, 189234, 189840, 190075, 190651, 194426, 194753, 194939, 195261, 195598, 195847, 196023, 196640, 197464, 198624, 198920, 199998, 200280, 201046, 201193, 201301, 201503, 202063, 202592, 202709, 202825, 202897, 203047, 203163, 203494, 203821, 204120, 204590, 204730, 205181, 205294, 205412, 205922, 206101, 206265, 206518, 206977, 207538, 207914, 208336, 208470, 208613, 208784, 208938, 209046, 210335, 210709, 211442, 211899, 212547, 212883, 213042, 213117, 213463, 213809, 213916, 214148, 214407, 214672, 215201, 215553, 215950, 216104, 217403, 217623, 218135, 218191, 218463, 219454, 219533, 220083, 220377, 220937, 221096, 221410, 221484, 222448, 222790, 222859, 223045, 223643, 223864, 224152, 224214, 224426, 224875, 225472, 225641, 226016, 226104, 226365, 226604, 227116, 227593, 228178, 228241, 228546, 228687, 230197, 230286, 230917, 231530, 231657, 231890, 232047, 232328, 233003, 233348, 233748, 233802, 234547, 234799, 235018, 235163, 236274, 236399, 236550, 236728, 237098, 237282, 237511, 237635, 237692, 237811, 238328, 238451, 238814, 239072, 239386, 239506, 239602, 241138, 241222, 241332, 241576, 242222, 242705, 243057, 243629, 244044, 244185, 244379, 244727, 244947, 246303, 246623, 246876, 247602, 247722, 247906, 248572, 248982, 249748, 250358, 250705, 250892, 251010, 251483, 251735, 252637, 252775, 252874, 253390, 253866, 254068, 254318, 255138, 255642, 255780, 256042, 256560, 256760, 257887, 258470, 258536, 259293, 259358, 260325, 260414, 260879, 261182, 261708, 262052, 262800, 262855, 263151, 263321, 263684, 264034, 264193, 264298, 264732, 264906, 265380, 265720, 265818, 266080, 266463, 266626, 266790, 267068, 267399, 267744, 268623, 268675, 268877, 269365, 269532, 269579, 270164, 270255, 270729, 270901, 271777, 272453, 272651, 273356, 273566, 273680, 273990, 274561, 275036, 275363, 275667, 276555, 276783, 277392, 277507, 277931, 278192, 278654, 278924, 279545, 279782, 279977, 280035, 280631, 281868, 282045, 282295, 282476, 283541, 283908, 284187, 284569, 285418, 285526, 285656, 285999, 286363, 286408, 286836, 286971, 287286, 287637, 287767, 288318, 288448, 289710, 289814, 290093, 290261, 291887, 292030, 292389, 292966, 293185, 293444, 293855, 294251, 294523, 295188, 295261, 295850, 296389, 296567, 296907, 297730, 297949, 298155, 298281, 299391, 299691, 299828, 300015, 300192, 300552, 300701, 301046, 301175, 301471, 302143, 302407, 302588, 302748, 302941, 303200, 303809, 304127, 304213, 304987, 305175, 305954, 306156, 306750, 306809, 307038, 307089, 307150, 307338, 307537, 307664, 307930, 308027, 308408, 308579, 308936, 309355, 310220, 310591, 311725, 311838, 312093, 312859, 313604, 313808, 314159, 314749, 315158, 315270, 315601, 315892, 316221, 316366, 316418, 316854, 316900, 317281, 317386, 317679, 318132, 318282, 318461, 319012, 319236, 319290, 319453, 319806, 320107, 320222, 320374, 320566, 320936, 321163, 321585, 321842, 322022, 322281, 322650, 324379, 325289, 325641, 325821, 326584, 327528, 327827, 328177, 328502, 328780, 328901, 329266, 329527, 329563, 329810, 330195, 330909, 331006, 331302, 331629, 332315, 332773, 333001, 333430, 333668, 333802, 333910, 335019, 335405, 336904, 337270, 337483, 337630, 337818, 338324, 338630, 338936, 339044, 339385, 339612, 339770, 339924, 340159, 340221, 340718, 341221, 341328, 341431, 341580, 341720, 341985, 342087, 342396, 342952, 343111, 343380, 344062, 344311, 344381, 345047, 345511, 345783, 345999, 346871, 347598, 347719, 348003, 348304, 348378, 349587, 349928, 350030, 350697, 351006, 351211, 351737, 351796, 352648, 352875, 353063, 354189, 354357, 354548, 355086, 355780, 355894, 356039, 356131, 357028, 358603, 358945, 359098, 359508, 360135, 360798, 361092, 361535, 361710, 363140, 363492, 363715, 363877, 364354, 364716, 365363, 366032, 366362, 366624, 367847, 367974, 368837, 369124, 369575, 369649, 370078, 370624, 371537, 371844, 372430, 373545, 373744, 374335, 374866, 375390, 376193, 376330, 376540, 376612, 376815, 377095, 377391, 377685, 377850, 377949, 378092, 378514, 378755, 378992, 379069, 379211, 379387, 379529, 379799, 380364, 380627, 380864, 381305, 383133, 383250, 383915, 384430, 385653, 386038, 386236, 386406, 386639, 386717, 387038, 387083, 387930, 388755, 389484, 389627, 390260, 390888, 391081, 391192, 391887, 392734, 392890, 393879, 393946, 394342, 394598, 394926, 395172, 395299, 395528, 395678, 395991, 396367, 396557, 396928, 397689, 397949, 398090, 398475, 399035, 399642, 399927, 399999, 400564, 400819, 401231, 401574, 402623, 402985, 403274, 403759, 404008, 404240, 404391, 404951, 405344, 406742, 410316, 410621, 410891, 411281, 411740, 412196, 413197, 413409, 413694, 413954, 415303, 419172, 419325, 419523, 420591, 420811, 421113, 421368, 421564, 421944, 422217, 422527, 423364, 423939, 424694, 427817, 429061, 429512, 430061, 430531, 431237, 431431, 431569, 432197, 433374, 433423, 434134, 434930, 435449, 435680, 435980, 436704, 441039, 441493, 441646, 442029, 442475, 442676, 443429, 443697, 444435, 444847, 445121, 445608, 445819, 446296, 446510, 446787, 447013, 447628, 453655, 454064, 454253, 454465, 456261, 456730, 457163, 457300, 457609, 459144, 459356, 460157, 460834, 461068, 461611, 462009, 462573, 463265, 463528, 464114, 464295, 467756, 468160, 468493, 469032, 469922, 472366, 473508, 473777, 474126, 474615, 475186, 476267, 483158, 484711, 485195, 485834, 486064, 486204, 487061, 487158, 487370, 487563, 487954, 488357, 488601, 488777, 488980, 489231, 489837, 490072, 490648, 494423, 494750, 494936, 495258, 495595, 495844, 496020, 496637, 497461, 498621, 498917]"
7,stagger_abrupt_500K_0,NB_EDDM_F,0.8924877849755699,0.7751152528175459,00:01:17,36.1 KB,"[263, 105482, 207707, 300032, 300249, 405482]"
8,stagger_abrupt_500K_0,NB_GMA_F,0.6361912723825448,0.15090610267249085,00:01:18,24.24 KB,[]
9,stagger_abrupt_500K_0,NB_HDDMA_F,0.9098838197676395,0.8123290537051373,00:01:25,36.28 KB,"[100169, 200821, 300002, 400166]"
