generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
stagger;abrupt;1M;NB;basic;0.6365;0.0002;0.1495;0.0008;95.3;1.2182;22495.232;667.1373;0.0;0.0
stagger;gradual;1M;NB;basic;0.6365;0.0002;0.1497;0.0009;88.1;3.0434;22200.32;0.0;0.0;0.0
stagger;abrupt;1M;HT;basic;0.9829;0.0005;0.9644;0.001;73.6;0.3694;179806.208;2737.3044;0.0;0.0
stagger;gradual;1M;HT;basic;0.9835;0.0005;0.9655;0.001;73.2;2.8375;179926.016;2599.6627;0.0;0.0
stagger;abrupt;1M;NoChange;basic;0.6347;0.0004;0.2389;0.001;26.6;0.3694;703.0;17.3268;0.0;0.0
stagger;gradual;1M;NoChange;basic;0.6345;0.0004;0.2385;0.001;24.1;0.9204;623.0;17.3268;0.0;0.0
stagger;abrupt;1M;MajClass;basic;0.6;0.0003;0.0;0.0;31.1;0.6264;809.0;17.3268;0.0;0.0
stagger;gradual;1M;MajClass;basic;0.6;0.0003;0.0;0.0;28.1;1.0367;729.0;17.3268;0.0;0.0
stagger;abrupt;1M;BOLE;basic;0.9267;0.0063;0.8522;0.0123;394.18;18.7576;1814036.48;7615.4598;0.0;0.0
stagger;abrupt;1M;BOLE;ADWIN;0.7695;0.0011;0.4988;0.0025;1020.14;44.7889;611802.112;5280.8524;0.0;0.0
stagger;abrupt;1M;BOLE;CUSUM;0.9995;0.0001;0.9989;0.0002;483.42;22.9567;344790.4256;5832.7094;0.0;0.0
stagger;abrupt;1M;BOLE;DDM;0.9965;0.0002;0.9928;0.0005;564.32;27.1032;990399.6928;37774.8504;0.0;0.0
stagger;abrupt;1M;BOLE;ECDD;0.9746;0.0023;0.947;0.0047;733.66;35.9649;3230033.5104;149450.3185;0.0;0.0
stagger;abrupt;1M;BOLE;EDDM;0.9858;0.0025;0.9705;0.0053;562.66;29.3544;1547522.2528;130877.5016;0.0;0.0
stagger;abrupt;1M;BOLE;GMA;0.9267;0.0063;0.8522;0.0123;511.42;23.7493;1830394.2656;7760.6729;0.0;0.0
stagger;abrupt;1M;BOLE;HDDMA;0.9913;0.0008;0.982;0.0017;741.08;36.7752;1751751.0656;87834.8668;0.0;0.0
stagger;abrupt;1M;BOLE;HDDMW;0.9981;0.0002;0.996;0.0004;672.98;34.1907;622559.4368;16161.1455;0.0;0.0
stagger;abrupt;1M;BOLE;KSWIN;0.9987;0.0001;0.9972;0.0001;1741.548;38.8939;514181.3658;5255.1099;0.0;0.0
stagger;abrupt;1M;BOLE;PH;0.9995;0.0001;0.999;0.0002;431.44;21.9921;359057.408;8765.766;0.0;0.0
stagger;abrupt;1M;BOLE;RDDM;0.9965;0.0004;0.9927;0.0008;604.78;31.367;1441162.8544;29298.2486;0.0;0.0
stagger;abrupt;1M;BOLE;STEPD;0.8303;0.0247;0.6379;0.0543;1496.46;64.2045;2571527.7824;61957.7448;0.0;0.0
stagger;abrupt;1M;HT;ADWIN;0.7566;0.0005;0.5188;0.0009;134.5;0.6079;43109.376;576.9715;694.4;2.7849
stagger;abrupt;1M;HT;CUSUM;0.9956;0.0003;0.9908;0.0006;95.1;0.4061;35647.488;35.0117;4.0;0.0
stagger;abrupt;1M;HT;DDM;0.9957;0.0007;0.991;0.0015;97.0;0.3372;42860.544;2832.8574;6.5;0.9686
stagger;abrupt;1M;HT;ECDD;0.9513;0.0128;0.8971;0.0272;105.7;0.6786;57089.024;4302.0052;422.8;116.5345
stagger;abrupt;1M;HT;EDDM;0.9944;0.0008;0.9884;0.0017;86.5;0.6952;42498.048;479.6386;22.3;4.7217
stagger;abrupt;1M;HT;GMA;0.9829;0.0005;0.9644;0.001;94.9;0.4061;182167.552;2747.7936;0.0;0.0
stagger;abrupt;1M;HT;HDDMA;0.9958;0.0002;0.9912;0.0005;112.8;0.9418;39336.96;1550.2075;4.0;0.0
stagger;abrupt;1M;HT;HDDMW;0.9797;0.018;0.9583;0.0367;106.6;0.5002;43283.456;2030.8136;31.7;28.7729
