generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
stagger;abrupt;20K;NB;basic;0.6371;0.0013;0.1495;0.0022;2.0;0.0;22298.2827;200.3561;0.0;0.0
stagger;gradual;20K;NB;basic;0.6397;0.0014;0.1567;0.0025;1.0;0.0;22200.32;0.0;0.0;0.0
stagger;abrupt;20K;HT;basic;0.6844;0.0052;0.312;0.0128;1.0;0.0;133901.9947;70.5086;0.0;0.0
stagger;gradual;20K;HT;basic;0.7056;0.0031;0.3596;0.009;1.0;0.0;133867.52;0.0;0.0;0.0
stagger;abrupt;20K;NoChange;basic;0.6332;0.0019;0.2352;0.004;0.0;0.0;624.6;25.3859;0.0;0.0
stagger;gradual;20K;NoChange;basic;0.6241;0.0017;0.2164;0.0038;0.0;0.0;531.0;0.0;0.0;0.0
stagger;abrupt;20K;MajClass;basic;0.6008;0.0012;-0.0;0.0;0.0;0.0;730.6;25.3859;0.0;0.0
stagger;gradual;20K;MajClass;basic;0.6008;0.0012;-0.0;0.0;0.0;0.0;637.0;0.0;0.0;0.0
stagger;abrupt;20K;BOLE;basic;0.8577;0.0067;0.7018;0.014;10.8083;0.2139;1295777.792;2631.1682;0.0;0.0
stagger;abrupt;20K;BOLE;ADWIN;0.7347;0.0059;0.4286;0.0129;22.25;0.3137;164939.6907;3553.3259;0.0;0.0
stagger;abrupt;20K;BOLE;BOCD;0.7676;0.0092;0.5068;0.0205;1536.225;74.1541;177342251.008;18814153.0441;0.0;0.0
stagger;abrupt;20K;BOLE;CUSUM;0.9751;0.0034;0.9481;0.0071;12.6833;0.1974;293313.792;3769.518;0.0;0.0
stagger;abrupt;20K;BOLE;DDM;0.9577;0.004;0.9126;0.0081;14.3083;0.2257;361091.6693;15357.7874;0.0;0.0
stagger;abrupt;20K;BOLE;ECDD;0.8479;0.0067;0.6859;0.0141;17.1333;0.286;197865.472;4959.2148;0.0;0.0
stagger;abrupt;20K;BOLE;EDDM;0.8064;0.0064;0.5996;0.0136;13.3417;0.1808;218880.0853;5986.315;0.0;0.0
stagger;abrupt;20K;BOLE;GMA;0.8577;0.0067;0.7018;0.014;15.025;0.2572;1310894.7627;2576.9224;0.0;0.0
stagger;abrupt;20K;BOLE;HDDMA;0.8813;0.0053;0.7552;0.0109;18.15;0.2809;285091.6693;7581.5629;0.0;0.0
